frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,98.00,60.50,82.00,75.00,98.00,60.50,82.00,75.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,5554,14497,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,40.9229,11.2652,3695,1,2,0.3970,100.56,65.19,82.00,75.00,101.00,69.00,82.00,70.00,0.8910,3.84,1,0,3.2357,ACCEPT,0,1703,4934,16787,0,0,3695,0,0,0,0
2,0,1,1,ACCEPT,25.3293,5.4427,3467,2,2,0.3055,105.69,69.88,82.00,75.00,106.00,73.50,84.00,69.00,0.8845,3.64,1,0,3.1428,ACCEPT,0,1979,3849,22110,0,0,3467,0,0,0,0
3,0,1,1,ACCEPT,20.6647,3.6962,3918,3,2,0.2136,113.38,74.56,82.00,75.00,111.50,82.00,81.00,62.00,0.7706,7.67,1,0,2.9078,ACCEPT,0,2342,3073,21951,0,0,3918,0,0,0,0
4,0,1,1,ACCEPT,19.6002,3.7943,4151,1,3,0.2142,115.94,81.59,78.85,72.12,115.50,91.00,77.00,62.00,0.7373,9.42,1,-1,2.8908,ACCEPT,0,3321,2702,25485,0,0,4151,0,0,0,0
5,0,1,1,ACCEPT,15.8786,3.7485,4858,0,4,0.0844,115.94,90.59,78.85,72.12,119.00,100.50,82.00,63.00,0.6977,10.37,1,0,2.7881,ACCEPT,0,4032,2340,29771,0,0,4858,0,0,0,0
6,0,1,1,ACCEPT,13.8795,2.8457,4556,0,5,0.0176,115.94,101.84,78.85,72.12,123.00,109.50,80.00,67.00,0.6821,10.42,1,0,2.7883,ACCEPT,0,5222,2098,25707,0,0,4556,0,0,0,0
7,0,1,1,ACCEPT,12.0151,2.0821,3702,1,3,0.3263,118.41,108.59,75.81,69.34,125.50,117.50,77.00,65.00,0.6489,11.39,1,-1,2.5952,ACCEPT,0,4639,1999,18554,0,0,3702,0,0,0,0
8,0,1,1,ACCEPT,12.4300,2.3856,3421,2,3,0.2479,123.16,115.11,72.90,66.67,126.50,125.00,81.00,66.00,0.6755,10.44,1,-1,2.6955,ACCEPT,0,3304,2110,17095,0,0,3421,0,0,0,0
9,0,1,1,ACCEPT,14.6677,2.9255,3850,2,5,0.0883,127.72,125.50,72.90,66.67,132.00,138.00,78.00,70.00,0.6261,13.21,1,0,2.8222,ACCEPT,0,3256,2717,17419,0,0,3850,0,0,0,0
