frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,118.00,378.50,14.00,81.00,118.00,378.50,14.00,81.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,946,4459,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,8.4886,2.4821,139,3,-4,0.0432,119.31,368.38,14.00,81.00,120.50,368.50,13.00,83.00,0.8204,1.19,1,0,3.3266,ACCEPT,0,475,705,4665,0,0,139,0,0,0,0
2,0,1,1,ACCEPT,10.4183,2.3333,147,4,-3,0.3673,121.06,360.78,14.00,81.00,122.00,358.00,12.00,82.00,0.8050,2.94,1,0,3.2596,ACCEPT,0,191,711,3687,0,0,147,0,0,0,0
3,0,1,1,ACCEPT,7.5012,1.3385,174,3,-3,0.2241,122.38,353.19,14.00,81.00,121.00,350.00,14.00,82.00,0.7645,3.47,1,0,3.2111,ACCEPT,0,324,662,3127,0,0,174,0,0,0,0
4,0,1,1,ACCEPT,5.3672,1.1544,157,-7,-4,0.5287,119.31,343.06,14.00,81.00,121.50,342.50,15.00,83.00,0.7218,2.26,1,0,3.2840,ACCEPT,0,370,652,4242,0,0,157,0,0,0,0
5,0,1,1,ACCEPT,7.1453,2.0074,271,0,-3,0.1402,119.31,335.47,14.00,81.00,121.00,334.50,16.00,81.00,0.7808,1.95,1,0,3.0791,ACCEPT,0,607,687,4612,0,0,271,0,0,0,0
6,0,1,1,ACCEPT,7.5003,1.6731,261,0,-2,0.5556,119.31,330.41,14.00,81.00,121.00,328.00,16.00,80.00,0.7564,2.94,1,0,3.3288,ACCEPT,0,441,711,5077,0,0,261,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-6.1832,1.0891,-428,-6,9,0.0514,119.31,330.41,14.00,81.00,118.00,321.50,34.00,67.00,0.3644,9.00,0,0,0.0000,NOT_RUN,0,1616,410,0,0,0,428,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-7.5320,1.1298,-531,-2,8,0.0829,119.31,330.41,14.00,81.00,116.50,318.00,53.00,54.00,0.2333,12.72,0,0,0.0000,NOT_RUN,0,1391,454,0,0,0,531,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-7.7156,1.0744,-520,-5,7,0.0981,119.31,330.41,14.00,81.00,115.00,312.50,66.00,45.00,0.1813,18.42,0,0,0.0000,NOT_RUN,0,1348,422,0,0,0,520,0,0,0,0
