frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,258.00,825.50,24.00,47.00,258.00,825.50,24.00,47.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3526,24713,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,6.9031,1.5979,155,4,6,0.1226,259.50,829.91,24.00,47.00,258.00,828.50,26.00,47.00,0.8380,2.06,1,0,3.1960,ACCEPT,0,1696,3440,16251,0,0,155,0,0,0,0
2,0,1,0,LOW_PSR,4.5122,1.0600,53,9,-42,0.5283,259.50,829.91,24.00,47.00,267.00,794.50,22.00,51.00,0.1033,36.19,0,0,0.0000,NOT_RUN,0,748,4192,0,0,0,53,0,0,0,0
3,0,1,0,LOW_PSR,4.6253,1.2500,50,-15,-21,0.1200,259.50,829.91,24.00,47.00,267.00,762.50,22.00,45.00,0.0000,67.82,0,0,0.0000,NOT_RUN,0,561,7275,0,0,0,50,0,0,0,0
4,0,1,0,NEGATIVE_PEAK,-3.6294,1.0233,-44,-44,-19,0.5682,259.50,829.91,24.00,47.00,271.50,729.00,27.00,40.00,0.0000,101.62,0,0,0.0000,NOT_RUN,0,922,7948,0,0,0,44,0,0,0,0
5,0,1,0,NEGATIVE_PEAK,-3.5777,1.0233,-44,-17,37,0.6364,259.50,829.91,24.00,47.00,272.00,722.50,26.00,51.00,0.0000,108.13,0,0,0.0000,NOT_RUN,0,941,7716,0,0,0,44,0,0,0,0
6,0,1,1,ACCEPT,6.0272,1.2698,80,-25,-2,0.0125,250.12,828.44,24.00,47.00,294.00,739.50,20.00,47.00,0.0000,99.17,1,-3,1.8413,MAX_STEP,0,948,5840,6383,0,0,80,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-4.2131,1.0686,-109,-5,-28,0.3945,250.12,828.44,24.00,47.00,305.50,804.00,23.00,38.00,0.0000,60.53,0,0,0.0000,NOT_RUN,0,1868,5991,0,0,0,109,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-3.3055,1.0169,-60,-55,-15,0.0667,250.12,828.44,24.00,47.00,329.00,909.00,24.00,38.00,0.0000,112.75,0,0,0.0000,NOT_RUN,0,1223,4988,0,0,0,60,0,0,0,0
9,0,1,0,LOW_PSR,4.5690,1.0875,87,-23,-23,0.1724,250.12,828.44,24.00,47.00,342.50,955.00,25.00,44.00,0.0000,156.69,0,0,0.0000,NOT_RUN,0,1450,5766,0,0,0,87,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-5.1865,1.1942,-123,12,4,0.7886,250.12,828.44,24.00,47.00,351.50,946.00,27.00,38.00,0.0000,155.23,0,0,0.0000,NOT_RUN,0,1452,4861,0,0,0,123,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-5.1695,1.2566,-142,14,-7,0.1127,250.12,828.44,24.00,47.00,352.00,921.50,22.00,37.00,0.0000,137.98,0,0,0.0000,NOT_RUN,0,1838,4440,0,0,0,142,0,0,0,0
12,0,1,0,LOW_PSR,4.4156,1.0641,83,-5,-4,0.4337,250.12,828.44,24.00,47.00,343.00,892.50,26.00,45.00,0.0000,112.83,0,0,0.0000,NOT_RUN,0,1532,5142,0,0,0,83,0,0,0,0
13,0,1,0,LOW_PSR,4.2818,1.0471,89,-25,3,0.2921,250.12,828.44,24.00,47.00,323.00,888.00,24.00,48.00,0.0000,94.12,0,0,0.0000,NOT_RUN,0,1687,3287,0,0,0,89,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-4.3242,1.0714,-60,-9,-9,0.5500,250.12,828.44,24.00,47.00,299.00,819.50,24.00,35.00,0.0000,49.69,0,0,0.0000,NOT_RUN,0,664,2419,0,0,0,60,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-3.9372,1.0312,-33,34,-5,0.5152,250.12,828.44,24.00,47.00,282.50,777.00,23.00,36.00,0.0000,60.78,0,0,0.0000,NOT_RUN,0,398,2079,0,0,0,33,0,0,0,0
