frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,412.00,578.50,176.00,145.00,412.00,578.50,176.00,145.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2145,12653,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,43.0246,2.8553,217,-1,2,0.8894,409.25,583.03,176.00,145.00,409.50,582.50,177.00,145.00,0.9871,0.59,1,0,3.2369,ACCEPT,0,353,2031,12659,0,0,217,0,0,0,0
2,0,1,1,ACCEPT,27.1238,2.5233,217,0,3,0.6774,409.25,589.83,176.00,145.00,409.00,585.00,178.00,156.00,0.9190,4.83,1,0,3.1492,ACCEPT,0,518,1905,11205,0,0,217,0,0,0,0
3,0,1,1,ACCEPT,26.3879,2.7349,227,0,3,0.7489,409.25,596.62,176.00,145.00,408.00,595.00,180.00,150.00,0.9452,2.05,1,0,3.1047,ACCEPT,0,583,1748,8832,0,0,227,0,0,0,0
4,0,1,1,ACCEPT,22.3690,2.5568,225,0,3,0.7733,409.25,603.42,176.00,145.00,412.50,598.00,185.00,154.00,0.8850,6.32,1,0,3.0328,ACCEPT,0,510,1668,9532,0,0,225,0,0,0,0
5,0,1,1,ACCEPT,20.4754,2.0467,219,1,1,0.9178,412.00,605.69,176.00,145.00,414.00,601.00,188.00,158.00,0.8591,5.10,1,0,3.0073,ACCEPT,0,549,1571,11016,0,0,219,0,0,0,0
6,0,1,1,ACCEPT,18.7627,1.9554,219,0,0,1.0000,412.00,605.69,176.00,145.00,417.00,601.50,188.00,157.00,0.8646,6.52,1,0,2.9565,ACCEPT,0,728,1367,11836,0,0,219,0,0,0,0
7,0,1,1,ACCEPT,14.4538,1.7870,193,0,-1,0.9793,412.00,603.42,176.00,145.00,420.00,601.50,192.00,151.00,0.8802,8.23,1,0,2.9408,ACCEPT,0,730,1308,12750,0,0,193,0,0,0,0
8,0,1,1,ACCEPT,9.9831,1.4215,172,0,-6,0.3779,412.00,589.83,176.00,145.00,421.50,593.50,201.00,151.00,0.8337,10.18,1,0,2.7036,ACCEPT,0,733,1255,11384,0,0,172,0,0,0,0
9,0,1,1,ACCEPT,10.4518,1.5804,177,0,-5,0.5763,412.00,578.50,176.00,145.00,424.50,588.00,199.00,152.00,0.7736,15.70,1,0,2.7611,ACCEPT,0,793,1194,11661,0,0,177,0,0,0,0
10,0,1,1,ACCEPT,6.8938,1.1371,141,1,-12,0.3901,414.75,551.31,176.00,145.00,432.00,574.50,198.00,155.00,0.6207,28.90,1,0,2.5685,ACCEPT,0,1237,1072,12494,0,0,141,0,0,0,0
11,0,1,1,ACCEPT,10.2151,1.6406,210,1,-5,0.5810,417.50,539.98,176.00,145.00,436.50,559.50,197.00,155.00,0.6391,27.24,1,0,2.7733,ACCEPT,0,1542,1058,11225,0,0,210,0,0,0,0
12,0,1,1,ACCEPT,10.7169,1.9700,197,0,-8,0.2640,417.50,521.86,176.00,145.00,440.00,537.00,200.00,164.00,0.6542,27.12,1,0,2.8908,ACCEPT,0,1574,928,11464,0,0,197,0,0,0,0
13,0,1,1,ACCEPT,10.8684,1.9783,182,0,-4,0.6484,417.50,512.80,176.00,145.00,440.00,523.00,204.00,172.00,0.6687,24.71,1,0,2.9617,ACCEPT,0,1372,992,10403,0,0,182,0,0,0,0
14,0,1,1,ACCEPT,9.3317,1.8605,160,-3,1,0.7688,409.25,515.06,176.00,145.00,433.50,507.50,215.00,151.00,0.7087,25.40,1,0,3.0033,ACCEPT,0,1321,981,10356,0,0,160,0,0,0,0
15,0,1,1,ACCEPT,8.7774,2.0241,168,-1,3,0.7321,406.50,521.86,176.00,145.00,428.50,508.00,219.00,152.00,0.6717,26.00,1,0,3.0189,ACCEPT,0,1191,972,12523,0,0,168,0,0,0,0
