frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,196.50,196.50,45.00,37.00,196.50,196.50,45.00,37.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,4225,8700,0,0,0,0,0,0,0
1,0,1,0,LOW_PSR,3.5626,1.0390,80,-35,-41,0.9125,196.50,196.50,45.00,37.00,150.50,202.50,43.00,39.00,0.0000,46.39,0,0,0.0000,NOT_RUN,0,1060,4111,0,0,0,80,0,0,0,0
2,0,1,0,LOW_PSR,4.2086,1.2152,96,1,0,0.9479,196.50,196.50,45.00,37.00,125.00,208.50,42.00,37.00,0.0000,72.50,0,0,0.0000,NOT_RUN,0,1107,3520,0,0,0,96,0,0,0,0
3,0,1,0,LOW_PSR,4.1951,1.2152,96,1,0,0.9479,196.50,196.50,45.00,37.00,114.00,215.50,42.00,37.00,0.0000,84.66,0,0,0.0000,NOT_RUN,0,1124,3269,0,0,0,96,0,0,0,0
4,0,1,0,LOW_PSR,4.1332,1.1899,94,1,0,0.9468,196.50,196.50,45.00,37.00,120.00,222.50,40.00,37.00,0.0000,80.80,0,0,0.0000,NOT_RUN,0,1110,2990,0,0,0,94,0,0,0,0
5,0,1,0,LOW_PSR,3.8180,1.1299,87,1,0,0.9310,196.50,196.50,45.00,37.00,143.00,229.00,44.00,38.00,0.0000,62.60,0,0,0.0000,NOT_RUN,0,1131,2766,0,0,0,87,0,0,0,0
6,0,1,0,LOW_PSR,3.9688,1.1325,94,1,0,0.9043,196.50,196.50,45.00,37.00,183.00,235.50,44.00,41.00,0.0000,41.27,0,0,0.0000,NOT_RUN,0,1113,2689,0,0,0,94,0,0,0,0
7,0,1,0,LOW_PSR,3.9429,1.1375,91,1,0,0.9451,196.50,196.50,45.00,37.00,239.00,239.50,44.00,39.00,0.0000,60.46,0,0,0.0000,NOT_RUN,0,1190,2424,0,0,0,91,0,0,0,0
8,0,1,0,LOW_PSR,3.6055,1.0375,83,1,0,0.9398,196.50,196.50,45.00,37.00,304.00,246.50,48.00,43.00,0.0000,118.56,0,0,0.0000,NOT_RUN,0,1183,2251,0,0,0,83,0,0,0,0
9,0,1,0,LOW_PSR,3.8772,1.1125,89,1,0,0.9326,196.50,196.50,45.00,37.00,356.00,246.50,42.00,43.00,0.0000,167.15,0,0,0.0000,NOT_RUN,0,1156,1978,0,0,0,89,0,0,0,0
10,0,1,0,LOW_PSR,4.0618,1.1481,93,1,0,0.9140,196.50,196.50,45.00,37.00,284.50,241.50,45.00,45.00,0.0000,98.84,0,0,0.0000,NOT_RUN,0,1143,1882,0,0,0,93,0,0,0,0
11,0,1,0,LOW_PSR,4.1501,1.1842,90,1,0,0.9111,196.50,196.50,45.00,37.00,225.50,236.00,41.00,36.00,0.0000,49.00,0,0,0.0000,NOT_RUN,0,1121,1644,0,0,0,90,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-3.7872,1.0575,-92,-14,-38,0.8152,196.50,196.50,45.00,37.00,188.00,229.50,40.00,37.00,0.0452,34.08,0,0,0.0000,NOT_RUN,0,1252,1275,0,0,0,92,0,0,0,0
13,0,1,0,LOW_PSR,4.2037,1.1772,93,1,1,0.9247,196.50,196.50,45.00,37.00,164.00,222.00,38.00,38.00,0.0360,41.31,0,0,0.0000,NOT_RUN,0,1050,1543,0,0,0,93,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-3.4599,1.0133,-76,-42,-48,0.8553,196.50,196.50,45.00,37.00,161.50,218.00,41.00,40.00,0.0429,41.08,0,0,0.0000,NOT_RUN,0,1058,1545,0,0,0,76,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-3.9213,1.1446,-95,21,0,0.6211,196.50,196.50,45.00,37.00,172.50,210.50,39.00,39.00,0.1569,27.78,0,0,0.0000,NOT_RUN,0,1159,1347,0,0,0,95,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-3.9649,1.0779,-83,-12,-37,0.7831,196.50,196.50,45.00,37.00,200.50,205.00,41.00,40.00,0.5480,9.39,0,0,0.0000,NOT_RUN,0,1200,898,0,0,0,83,0,0,0,0
17,0,1,0,LOW_PSR,3.8286,1.0361,86,-35,-41,0.7791,196.50,196.50,45.00,37.00,242.50,200.00,45.00,42.00,0.0000,46.13,0,0,0.0000,NOT_RUN,0,1243,936,0,0,0,86,0,0,0,0
18,0,1,0,LOW_PSR,3.7452,1.0247,83,1,0,0.9518,196.50,196.50,45.00,37.00,301.00,194.00,38.00,38.00,0.0000,104.53,0,0,0.0000,NOT_RUN,0,1194,1148,0,0,0,83,0,0,0,0
19,0,1,0,LOW_PSR,3.7800,1.0244,84,1,0,0.9405,196.50,196.50,45.00,37.00,361.50,194.00,35.00,34.00,0.0000,165.02,0,0,0.0000,NOT_RUN,0,1206,1132,0,0,0,84,0,0,0,0
