frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,265.00,213.00,108.00,52.00,265.00,213.00,108.00,52.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1285,26543,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,24.9769,2.5969,335,0,-2,0.9104,265.00,211.38,108.00,52.00,267.00,211.00,112.00,52.00,0.9507,2.03,1,0,3.1886,ACCEPT,0,1155,1359,19368,0,0,335,0,0,0,0
2,0,1,1,ACCEPT,14.6088,1.8987,300,0,-1,0.9933,265.00,210.56,108.00,52.00,269.50,210.00,111.00,50.00,0.8874,4.54,1,0,2.7684,ACCEPT,0,1449,1170,32767,0,0,300,0,0,0,0
3,0,1,1,ACCEPT,12.6201,1.5474,506,0,-3,0.8083,265.00,208.12,108.00,52.00,270.00,206.00,112.00,50.00,0.8435,5.43,1,0,2.3460,ACCEPT,0,2092,1198,32767,0,0,506,0,0,0,0
4,0,1,1,ACCEPT,10.6703,1.3769,442,1,-2,0.8575,266.69,206.50,103.85,50.00,274.00,201.50,110.00,57.00,0.7285,8.86,1,-1,2.2152,ACCEPT,0,1744,1068,26595,0,0,442,0,0,0,0
5,0,1,1,ACCEPT,9.4164,1.4561,415,1,-3,0.7446,268.31,204.16,96.01,46.23,277.50,196.50,111.00,61.00,0.6305,11.96,1,-2,2.0906,ACCEPT,0,2059,1156,27160,0,0,415,0,0,0,0
6,0,1,1,ACCEPT,9.6481,1.6460,451,1,-2,0.8891,269.81,202.72,92.32,44.45,279.00,195.00,110.00,60.00,0.6180,12.00,1,-1,2.4617,ACCEPT,0,2396,1115,27852,0,0,451,0,0,0,0
7,0,1,1,ACCEPT,8.5952,1.5395,468,1,-3,0.6816,271.26,200.63,88.77,42.74,282.00,199.50,106.00,53.00,0.6487,10.80,1,-1,2.6070,ACCEPT,0,2831,1230,28742,0,0,468,0,0,0,0
8,0,1,1,ACCEPT,6.8412,1.4658,450,1,1,0.9178,272.65,201.30,85.35,41.10,282.50,193.00,103.00,66.00,0.5066,12.88,1,-1,2.1310,ACCEPT,0,2696,1307,31057,0,0,450,0,0,0,0
9,0,1,1,ACCEPT,6.0035,1.0665,481,-1,5,0.6403,271.31,204.50,85.35,41.10,282.50,193.00,101.00,66.00,0.4952,16.04,1,-4,1.4903,MAX_STEP,0,3215,1126,31187,0,0,481,0,0,0,0
10,0,1,1,ACCEPT,6.9964,1.3796,527,-2,-1,0.9450,268.64,203.86,85.35,41.10,285.00,194.50,106.00,69.00,0.4311,18.85,1,0,2.5333,ACCEPT,0,3201,1123,32767,0,0,527,0,0,0,0
11,0,1,1,ACCEPT,7.7573,1.5890,580,-1,4,0.6397,267.30,206.42,85.35,41.10,283.00,210.00,98.00,46.00,0.6100,16.10,1,0,2.5668,ACCEPT,0,3370,1068,32767,0,0,580,0,0,0,0
12,0,1,1,ACCEPT,9.9844,2.1315,697,0,6,0.4204,267.30,210.27,82.07,39.52,282.50,214.00,101.00,46.00,0.6067,15.65,1,-1,2.2755,ACCEPT,0,4103,958,32767,0,0,697,0,0,0,0
13,0,1,1,ACCEPT,10.2596,1.6027,718,0,4,0.7744,267.30,212.73,78.91,38.00,285.50,206.50,109.00,67.00,0.3878,19.23,1,-1,2.4179,ACCEPT,0,4274,1093,32767,0,0,718,0,0,0,0
14,0,1,1,ACCEPT,10.0566,1.6043,746,-1,5,0.6850,266.07,215.70,75.88,36.53,284.00,205.00,108.00,84.00,0.2958,20.88,1,-1,2.5788,ACCEPT,0,3777,1486,32767,0,0,746,0,0,0,0
15,0,1,1,ACCEPT,8.3567,1.2670,707,-1,5,0.8515,264.88,218.55,72.96,35.13,282.50,208.50,109.00,65.00,0.3618,20.28,1,-1,2.3851,ACCEPT,0,4126,1815,29993,0,0,707,0,0,0,0
16,0,1,1,ACCEPT,6.7605,1.4729,570,-1,7,0.4877,263.74,222.38,72.96,35.13,281.50,212.00,115.00,72.00,0.3095,20.57,1,0,1.8389,LOW_CONF,0,3526,2119,30402,0,0,570,0,0,0,0
17,0,1,0,NEGATIVE_PEAK,-4.4382,1.0800,-351,12,-14,0.4644,263.74,222.38,72.96,35.13,260.00,214.00,72.00,72.00,0.4528,9.18,0,0,0.0000,NOT_RUN,0,3923,2206,0,0,0,351,0,0,0,0
18,0,1,1,ACCEPT,5.1824,1.0702,427,15,-21,0.2459,280.85,210.90,70.15,33.78,278.00,214.50,114.00,67.00,0.3103,4.59,1,-1,2.4836,ACCEPT,0,5119,2119,21063,0,0,427,0,0,0,0
19,0,1,0,NEGATIVE_PEAK,-5.3135,1.0097,-523,-27,-11,0.4168,280.85,210.90,70.15,33.78,279.50,217.50,113.00,67.00,0.3130,6.74,0,0,0.0000,NOT_RUN,0,4472,2735,0,0,0,523,0,0,0,0
20,0,1,1,ACCEPT,6.3288,1.1005,635,-13,4,0.0000,266.63,213.02,70.15,33.78,278.50,213.50,115.00,51.00,0.4040,11.88,1,0,2.1132,ACCEPT,0,4684,2091,18827,0,0,635,0,0,0,0
21,0,1,1,ACCEPT,7.4496,1.4662,673,0,7,0.3210,266.63,216.74,70.15,33.78,279.50,218.00,117.00,54.00,0.3751,12.93,1,0,2.2346,ACCEPT,0,4548,1217,21851,0,0,673,0,0,0,0
22,0,1,1,ACCEPT,5.6296,1.0632,488,1,5,0.4836,267.73,219.40,70.15,33.78,282.00,224.50,120.00,59.00,0.3347,15.16,1,-16,1.6245,AT_SEARCH_RAIL,0,5130,1700,19253,0,0,488,0,0,0,0
23,0,1,1,ACCEPT,6.4497,1.1047,538,-2,13,0.1468,265.54,226.30,67.46,32.48,282.00,226.50,116.00,53.00,0.3564,16.46,1,-1,2.6028,ACCEPT,0,3798,1900,22160,0,0,538,0,0,0,0
24,0,1,1,ACCEPT,7.5275,1.2973,768,0,6,0.5286,265.54,229.35,64.86,31.23,284.00,229.50,116.00,49.00,0.3564,18.46,1,-1,2.4276,ACCEPT,0,5139,2574,15296,0,0,768,0,0,0,0
25,0,1,1,ACCEPT,6.2327,1.3316,518,2,7,0.5888,267.57,232.74,62.37,30.03,287.00,236.00,116.00,44.00,0.3669,19.70,1,-1,2.0791,ACCEPT,0,4611,2830,13301,0,0,518,0,0,0,0
26,0,1,1,ACCEPT,5.9489,1.3833,415,4,8,0.1398,271.48,236.49,62.37,30.03,286.00,251.50,110.00,71.00,0.2398,20.88,1,0,2.1632,ACCEPT,0,4646,3005,11090,0,0,415,0,0,0,0
27,0,1,1,ACCEPT,6.9586,1.5741,425,3,10,0.0588,274.41,241.18,64.86,31.23,285.50,254.50,109.00,77.00,0.2413,17.33,1,1,2.3652,ACCEPT,0,4276,2838,9660,0,0,425,0,0,0,0
