frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,452.00,749.00,44.00,268.00,452.00,749.00,44.00,268.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1681,16461,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,12.9937,1.6667,395,-7,-4,0.0658,447.19,732.25,44.00,268.00,453.50,729.50,43.00,259.00,0.7243,6.89,1,0,2.8145,ACCEPT,0,1857,1657,19498,0,0,395,0,0,0,0
2,0,1,1,ACCEPT,7.1600,1.0216,472,-11,-4,0.3835,439.62,715.50,44.00,268.00,444.50,712.50,47.00,263.00,0.7906,5.72,1,0,3.0717,ACCEPT,0,3138,1567,17629,0,0,472,0,0,0,0
3,0,1,1,ACCEPT,9.3668,1.3333,556,-10,-3,0.5576,432.75,702.94,44.00,268.00,437.50,686.00,49.00,238.00,0.7248,17.59,1,0,3.1852,ACCEPT,0,2519,1275,19336,0,0,556,0,0,0,0
4,0,1,1,ACCEPT,10.2540,1.2867,588,-11,-3,0.3929,425.19,690.38,44.00,268.00,430.50,701.00,49.00,286.00,0.7396,11.88,1,0,3.1936,ACCEPT,0,2942,1274,19646,0,0,588,0,0,0,0
5,0,1,1,ACCEPT,7.9994,1.0214,478,-14,-2,0.5272,415.56,682.00,44.00,268.00,420.50,671.00,49.00,268.00,0.7500,12.06,1,0,2.9311,ACCEPT,0,2598,1320,17697,0,0,478,0,0,0,0
6,0,1,1,ACCEPT,11.7693,1.4634,559,-11,-2,0.4347,408.00,673.62,44.00,268.00,411.00,679.50,50.00,299.00,0.7888,6.60,1,0,2.9529,ACCEPT,0,2300,1298,18550,0,0,559,0,0,0,0
7,0,1,1,ACCEPT,11.1200,1.2785,482,-7,-2,0.4295,403.19,665.25,44.00,268.00,406.00,671.00,46.00,288.00,0.8232,6.40,1,0,3.0702,ACCEPT,0,2257,1837,18291,0,0,482,0,0,0,0
8,0,1,1,ACCEPT,8.9468,1.2763,559,-7,0,0.3649,398.38,665.25,44.00,268.00,401.50,669.50,51.00,283.00,0.8170,5.28,1,0,2.8588,ACCEPT,0,3756,2622,14189,0,0,559,0,0,0,0
9,0,1,1,ACCEPT,7.7014,1.2170,757,3,-27,0.3131,400.44,552.19,45.76,278.72,396.50,667.00,53.00,292.00,0.3784,114.88,1,1,2.5454,ACCEPT,0,5000,3048,12311,0,0,757,0,0,0,0
10,0,1,1,ACCEPT,12.1753,1.5245,590,-11,-2,0.3119,392.53,543.48,45.76,278.72,391.00,669.50,56.00,291.00,0.3337,126.02,1,0,3.1344,ACCEPT,0,2272,3382,7671,0,0,590,0,0,0,0
11,0,1,1,ACCEPT,6.3427,1.1065,187,-16,-4,0.0856,381.03,526.08,45.76,278.72,390.50,654.50,49.00,305.00,0.2882,128.77,1,0,3.0944,ACCEPT,0,1350,3284,6183,0,0,187,0,0,0,0
12,0,1,1,ACCEPT,5.8938,1.0654,163,-6,-5,0.1043,376.72,504.32,47.59,289.87,384.00,635.00,48.00,284.00,0.3001,130.88,1,1,2.8930,ACCEPT,0,1155,3039,7485,0,0,163,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-9.2216,1.0120,-420,-2,1,0.7619,376.72,504.32,47.59,289.87,390.00,669.00,50.00,260.00,0.1711,165.21,0,0,0.0000,NOT_RUN,0,1738,3052,0,0,0,420,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-11.5531,1.2216,-645,6,0,0.0372,376.72,504.32,47.59,289.87,391.00,649.50,42.00,297.00,0.2080,145.88,0,0,0.0000,NOT_RUN,0,2309,3077,0,0,0,645,0,0,0,0
15,0,1,1,ACCEPT,6.6055,1.0683,469,13,-10,0.1023,386.37,459.01,47.59,289.87,396.50,606.50,55.00,281.00,0.2409,147.84,1,0,2.9834,ACCEPT,0,2805,3304,13535,0,0,469,0,0,0,0
