frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,188.00,350.00,66.00,46.00,188.00,350.00,66.00,46.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1300,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,31.4141,2.6961,550,-1,0,0.9782,186.97,350.00,66.00,46.00,191.00,351.50,64.00,45.00,0.8297,4.30,1,0,2.7899,ACCEPT,0,1280,913,32767,0,0,550,0,0,0,0
2,0,1,1,ACCEPT,18.7048,1.8130,446,0,-2,0.9260,186.97,348.56,68.64,47.84,193.50,352.00,61.00,40.00,0.6873,7.38,1,1,2.4595,ACCEPT,0,1448,936,32767,0,0,446,0,0,0,0
3,0,1,1,ACCEPT,11.0320,1.3901,392,-1,-5,0.7449,185.90,344.81,68.64,47.84,196.00,350.00,64.00,34.00,0.5387,11.36,1,0,3.3500,ACCEPT,0,2116,1207,32767,0,0,392,0,0,0,0
4,0,1,1,ACCEPT,8.6285,1.0308,368,1,4,0.8342,186.97,347.81,68.64,47.84,197.00,346.00,64.00,36.00,0.5690,10.19,1,0,1.7621,LOW_CONF,0,2655,1196,32767,0,0,368,0,0,0,0
5,0,1,1,ACCEPT,5.2411,1.0565,393,1,-6,0.6158,188.04,343.31,63.46,44.23,195.50,341.00,63.00,44.00,0.7179,7.81,1,-2,2.2364,ACCEPT,0,4427,1618,32767,0,0,393,0,0,0,0
6,0,1,1,ACCEPT,6.6060,1.3718,535,-2,-27,0.3720,186.05,324.75,66.00,46.00,196.50,338.00,63.00,48.00,0.4307,16.87,1,1,3.0315,ACCEPT,0,4105,1535,32767,0,0,535,0,0,0,0
7,0,1,1,ACCEPT,9.5865,1.7118,582,0,-4,0.4966,186.05,321.88,66.00,46.00,198.00,338.00,64.00,48.00,0.3665,20.07,1,0,3.2588,ACCEPT,0,2754,1845,32767,0,0,582,0,0,0,0
8,0,1,1,ACCEPT,10.6718,2.0083,723,-1,-8,0.0373,185.02,316.12,66.00,46.00,200.00,342.50,68.00,37.00,0.1651,30.33,1,0,3.2539,ACCEPT,0,4141,1582,32767,0,0,723,0,0,0,0
9,0,1,1,ACCEPT,11.6031,2.3420,897,-1,-11,0.0145,183.99,308.22,66.00,46.00,200.00,341.50,66.00,37.00,0.0811,36.93,1,0,3.1708,ACCEPT,0,4179,1174,32767,0,0,897,0,0,0,0
