frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,265.00,544.00,90.00,178.00,265.00,544.00,90.00,178.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2881,20702,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,28.0341,2.3367,229,-2,1,0.8515,262.19,546.78,90.00,178.00,263.00,546.00,92.00,170.00,0.9352,1.13,1,0,3.0170,ACCEPT,0,521,2698,21274,0,0,229,0,0,0,0
2,0,1,1,ACCEPT,22.2268,1.9310,224,-3,1,0.8348,257.97,549.56,90.00,178.00,260.50,547.00,95.00,164.00,0.8759,3.60,1,0,2.9305,ACCEPT,0,637,2519,22214,0,0,224,0,0,0,0
3,0,1,1,ACCEPT,18.2844,1.8000,216,-4,1,0.7778,252.34,552.34,90.00,178.00,256.00,548.50,102.00,159.00,0.7982,5.30,1,0,2.8407,ACCEPT,0,685,2316,22454,0,0,216,0,0,0,0
4,0,1,1,ACCEPT,13.9075,1.6183,212,-3,1,0.8491,248.12,555.12,90.00,178.00,248.50,546.50,113.00,151.00,0.6972,8.63,1,0,2.7215,ACCEPT,0,961,2173,21539,0,0,212,0,0,0,0
5,0,1,1,ACCEPT,11.2448,1.5370,249,-3,1,0.8434,243.91,557.91,90.00,178.00,242.50,548.00,117.00,148.00,0.6655,10.01,1,0,2.7665,ACCEPT,0,1323,2259,20304,0,0,249,0,0,0,0
6,0,1,1,ACCEPT,10.4230,1.6812,269,-2,2,0.8030,241.09,563.47,90.00,178.00,236.00,554.00,124.00,140.00,0.6064,10.75,1,0,2.5074,ACCEPT,0,1471,2463,19171,0,0,269,0,0,0,0
7,0,1,1,ACCEPT,11.0262,1.8049,296,-1,3,0.7872,239.69,571.81,90.00,178.00,227.00,558.50,132.00,127.00,0.5353,18.39,1,0,2.3705,ACCEPT,0,1396,2618,18678,0,0,296,0,0,0,0
8,0,1,1,ACCEPT,10.4318,1.6798,341,-2,1,0.8504,236.88,574.59,90.00,178.00,218.00,559.00,132.00,122.00,0.5193,24.48,1,0,2.4444,ACCEPT,0,1533,2742,21091,0,0,341,0,0,0,0
9,0,1,1,ACCEPT,10.0470,1.7110,450,-2,1,0.8644,234.06,577.38,90.00,178.00,207.50,561.50,131.00,121.00,0.4677,30.94,1,0,2.5590,ACCEPT,0,1942,2575,26390,0,0,450,0,0,0,0
10,0,1,1,ACCEPT,10.1520,1.4865,605,-1,1,0.9074,232.66,580.16,90.00,178.00,195.00,560.00,124.00,114.00,0.3553,42.71,1,0,2.4335,ACCEPT,0,2864,2451,20365,0,0,605,0,0,0,0
11,0,1,1,ACCEPT,10.8574,1.7397,635,-1,1,0.9291,231.25,582.94,90.00,178.00,183.50,558.50,119.00,113.00,0.2782,53.64,1,0,2.3883,ACCEPT,0,3125,2500,20160,0,0,635,0,0,0,0
12,0,1,1,ACCEPT,11.3977,1.8994,661,0,0,1.0000,231.25,582.94,86.54,171.15,177.50,557.00,121.00,114.00,0.2490,59.68,1,-1,2.3741,ACCEPT,0,3378,2442,17415,0,0,661,0,0,0,0
13,0,1,1,ACCEPT,12.1166,1.8206,619,1,1,0.9725,232.60,585.61,83.21,164.57,168.50,556.00,121.00,118.00,0.1789,70.61,1,-1,2.4643,ACCEPT,0,3018,2455,16691,0,0,619,0,0,0,0
14,0,1,1,ACCEPT,12.7402,1.6722,699,1,0,0.9628,233.90,585.61,80.01,158.24,158.00,557.00,122.00,126.00,0.1132,81.11,1,-1,2.3001,ACCEPT,0,3190,2618,17104,0,0,699,0,0,0,0
15,0,1,1,ACCEPT,13.6889,1.8192,624,2,1,0.8413,236.40,588.08,80.01,158.24,151.00,561.50,116.00,123.00,0.0564,89.44,1,0,2.5304,ACCEPT,0,2070,2596,18696,0,0,624,0,0,0,0
16,0,1,1,ACCEPT,15.2548,1.9939,650,3,1,0.7354,240.15,590.55,80.01,158.24,145.00,564.50,110.00,123.00,0.0000,98.65,1,0,2.6818,ACCEPT,0,2080,2555,18956,0,0,650,0,0,0,0
17,0,1,1,ACCEPT,18.4929,1.9761,662,2,0,0.8565,242.65,590.55,76.93,152.16,137.00,566.00,110.00,128.00,0.0000,108.46,1,-1,2.6202,ACCEPT,0,1864,2573,19683,0,0,662,0,0,0,0
18,0,1,1,ACCEPT,18.7825,2.0865,651,3,0,0.8018,246.26,590.55,73.97,146.30,130.50,567.00,115.00,130.00,0.0000,118.13,1,-1,2.6675,ACCEPT,0,1792,2531,19896,0,0,651,0,0,0,0
19,0,1,1,ACCEPT,17.6199,2.1254,593,4,0,0.6560,250.88,590.55,71.13,140.68,125.50,567.00,111.00,136.00,0.0000,127.57,1,-1,2.7041,ACCEPT,0,1825,2511,18532,0,0,593,0,0,0,0
20,0,1,1,ACCEPT,16.8861,1.9368,490,3,0,0.7367,254.21,590.55,71.13,140.68,119.50,566.50,113.00,139.00,0.0000,136.84,1,0,2.7526,ACCEPT,0,1756,2478,21687,0,0,490,0,0,0,0
21,0,1,1,ACCEPT,14.5633,1.6254,460,4,0,0.6478,258.65,590.55,71.13,140.68,111.00,567.50,122.00,141.00,0.0000,149.44,1,0,2.8078,ACCEPT,0,2162,2447,25148,0,0,460,0,0,0,0
22,0,1,1,ACCEPT,11.0555,1.4406,376,3,-1,0.8271,261.98,588.35,71.13,140.68,103.50,566.50,123.00,137.00,0.0000,159.98,1,0,2.7492,ACCEPT,0,2274,2356,26856,0,0,376,0,0,0,0
23,0,1,1,ACCEPT,9.8589,1.4781,337,6,2,0.6350,268.63,592.74,71.13,140.68,97.50,566.00,125.00,130.00,0.0000,173.21,1,0,2.8207,ACCEPT,0,2227,2183,26294,0,0,337,0,0,0,0
24,0,1,1,ACCEPT,11.0326,1.5535,334,5,0,0.6228,274.18,592.74,71.13,140.68,93.50,567.00,127.00,124.00,0.0000,182.50,1,0,2.7568,ACCEPT,0,2301,2168,27836,0,0,334,0,0,0,0
25,0,1,1,ACCEPT,11.1805,1.4494,358,5,0,0.6257,279.73,592.74,71.13,140.68,88.50,569.00,129.00,120.00,0.0000,192.69,1,0,2.9004,ACCEPT,0,2565,2103,26575,0,0,358,0,0,0,0
26,0,1,1,ACCEPT,13.4891,1.6957,390,4,0,0.6538,284.16,592.74,71.13,140.68,84.50,571.50,133.00,119.00,0.0000,200.79,1,0,2.8337,ACCEPT,0,2355,2044,27148,0,0,390,0,0,0,0
27,0,1,1,ACCEPT,14.9112,1.9513,441,5,0,0.5624,289.71,592.74,71.13,140.68,81.00,573.50,136.00,117.00,0.0000,209.60,1,0,2.8715,ACCEPT,0,2370,1961,26087,0,0,441,0,0,0,0
28,0,1,1,ACCEPT,14.5022,1.9548,432,4,-1,0.7176,294.15,590.55,71.13,140.68,77.50,573.00,139.00,112.00,0.0000,217.36,1,0,2.6480,ACCEPT,0,2165,1983,26491,0,0,432,0,0,0,0
29,0,1,1,ACCEPT,15.5322,2.1509,499,5,-1,0.5451,299.70,588.35,71.13,140.68,70.50,571.50,133.00,111.00,0.0000,229.81,1,0,2.5798,ACCEPT,0,1949,2087,25207,0,0,499,0,0,0,0
30,0,1,1,ACCEPT,13.9843,1.8267,506,3,-1,0.7846,303.02,586.16,71.13,140.68,65.50,571.00,125.00,110.00,0.0000,238.01,1,0,2.5062,ACCEPT,0,1789,2203,23805,0,0,506,0,0,0,0
31,0,1,1,ACCEPT,9.6234,1.3525,399,5,0,0.6892,308.57,586.16,71.13,140.68,60.00,567.50,118.00,111.00,0.0000,249.27,1,0,2.2767,ACCEPT,0,2008,2332,24268,0,0,399,0,0,0,0
32,0,1,1,ACCEPT,8.9178,1.1982,393,6,0,0.5802,315.23,586.16,71.13,140.68,57.00,568.00,114.00,116.00,0.0000,258.86,1,0,2.7049,ACCEPT,0,2180,2273,27437,0,0,393,0,0,0,0
33,0,1,1,ACCEPT,9.7680,1.1098,485,7,-1,0.5216,322.99,583.96,71.13,140.68,55.00,569.00,110.00,120.00,0.0000,268.41,1,0,2.8020,ACCEPT,0,2767,2266,26989,0,0,485,0,0,0,0
34,0,1,1,ACCEPT,12.4659,1.4229,609,7,-1,0.5895,330.76,581.77,71.13,140.68,54.00,568.50,108.00,125.00,0.0000,277.08,1,0,2.8888,ACCEPT,0,2969,2232,27563,0,0,609,0,0,0,0
35,0,1,1,ACCEPT,13.8709,1.4269,712,4,-1,0.8034,335.20,579.57,71.13,140.68,52.50,569.50,105.00,123.00,0.0000,282.87,1,0,2.8120,ACCEPT,0,3485,2281,26273,0,0,712,0,0,0,0
36,0,1,1,ACCEPT,13.6667,1.4649,668,5,-1,0.7725,340.74,577.38,71.13,140.68,52.00,569.50,104.00,123.00,0.0000,288.85,1,0,2.8453,ACCEPT,0,3104,2359,27240,0,0,668,0,0,0,0
37,0,1,1,ACCEPT,13.5122,1.4467,719,4,0,0.8261,345.18,577.38,71.13,140.68,51.00,567.00,102.00,124.00,0.0000,294.36,1,0,2.8452,ACCEPT,0,2918,2407,28113,0,0,719,0,0,0,0
38,0,1,1,ACCEPT,13.4079,1.3875,752,4,-1,0.7859,349.62,575.18,71.13,140.68,51.00,566.50,102.00,129.00,0.0000,298.74,1,0,2.9741,ACCEPT,0,2856,2445,31161,0,0,752,0,0,0,0
39,0,1,1,ACCEPT,13.4465,1.3641,873,4,-2,0.8018,354.05,570.79,71.13,140.68,51.00,564.00,102.00,128.00,0.0000,303.13,1,0,2.9775,ACCEPT,0,3271,2547,32767,0,0,873,0,0,0,0
