frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,387.50,169.00,107.00,76.00,387.50,169.00,107.00,76.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3173,26458,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,7.8598,1.8858,413,-1,0,0.9758,385.83,169.00,111.28,79.04,383.50,169.00,119.00,76.00,0.9014,2.33,1,1,2.7628,ACCEPT,0,2669,3420,30637,0,0,413,0,0,0,0
2,0,1,0,LOW_PSR,4.3154,1.0056,358,-33,12,0.5419,385.83,169.00,111.28,79.04,381.00,165.50,126.00,67.00,0.7622,5.96,0,0,0.0000,NOT_RUN,0,8402,3778,0,0,0,358,0,0,0,0
3,0,1,0,LOW_PSR,4.1457,1.0541,351,-15,-17,0.1026,385.83,169.00,111.28,79.04,381.50,165.00,121.00,76.00,0.8340,5.89,0,0,0.0000,NOT_RUN,0,7559,3525,0,0,0,351,0,0,0,0
4,0,1,0,LOW_PSR,4.7691,1.2297,348,-16,-20,0.1695,385.83,169.00,111.28,79.04,379.00,168.00,100.00,96.00,0.7378,6.90,0,0,0.0000,NOT_RUN,0,2959,2941,0,0,0,348,0,0,0,0
5,0,1,1,ACCEPT,5.4077,1.0434,361,1,3,0.7008,387.57,172.70,111.28,79.04,386.00,167.00,74.00,94.00,0.5906,5.92,1,0,3.0818,ACCEPT,0,3425,2554,32767,0,0,361,0,0,0,0
6,0,1,1,ACCEPT,8.1314,1.5831,543,-2,-1,0.9024,384.09,171.47,111.28,79.04,381.00,172.00,54.00,104.00,0.4208,3.13,1,0,2.6859,ACCEPT,0,3513,2544,32766,0,0,543,0,0,0,0
7,0,1,1,ACCEPT,6.3997,1.4114,422,-1,0,0.9645,382.34,171.47,111.28,79.04,370.00,178.00,58.00,104.00,0.4475,13.97,1,8,2.2165,MAX_STEP,0,3096,2244,32766,0,0,422,0,0,0,0
8,0,1,1,ACCEPT,6.1058,1.2626,351,0,1,0.9972,382.34,172.70,111.28,79.04,351.00,164.00,72.00,96.00,0.4338,32.53,1,0,2.1473,ACCEPT,0,2202,2015,32767,0,0,351,0,0,0,0
9,0,1,1,ACCEPT,8.5315,1.8072,403,1,0,0.9702,384.09,172.70,107.00,76.00,321.50,157.00,115.00,80.00,0.2107,64.53,1,-1,3.4449,ACCEPT,0,1703,1856,32768,0,0,403,0,0,0,0
10,0,1,1,ACCEPT,14.5670,2.0116,521,1,1,0.9808,385.76,173.89,107.00,76.00,304.50,165.00,141.00,68.00,0.1796,81.74,1,0,3.3651,ACCEPT,0,1797,1631,32767,0,0,521,0,0,0,0
11,0,1,1,ACCEPT,16.6436,2.4800,620,-1,0,0.9935,384.09,173.89,107.00,76.00,295.00,166.50,136.00,65.00,0.1370,89.39,1,0,3.5045,ACCEPT,0,1872,1920,32767,0,0,620,0,0,0,0
12,0,1,1,ACCEPT,17.7846,2.2606,694,1,1,0.9870,385.76,175.08,107.00,76.00,290.50,170.00,137.00,62.00,0.1108,95.39,1,0,3.2587,ACCEPT,0,2143,2000,32767,0,0,694,0,0,0,0
13,0,1,1,ACCEPT,19.3837,2.1963,828,-1,1,0.9589,384.09,176.27,107.00,76.00,282.00,174.50,140.00,65.00,0.0879,102.10,1,0,3.4564,ACCEPT,0,2487,2126,32767,0,0,828,0,0,0,0
