frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,626.00,70.50,60.00,105.00,626.00,70.50,60.00,105.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,6777,13862,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,13.8980,2.1739,350,1,10,0.0257,626.94,86.91,60.00,105.00,632.50,89.50,65.00,95.00,0.7655,6.14,1,0,2.8288,ACCEPT,0,1141,4454,14725,0,0,350,0,0,0,0
2,0,1,1,ACCEPT,8.2811,1.3237,274,0,8,0.3175,626.94,100.03,60.00,105.00,637.50,106.50,61.00,81.00,0.5621,12.39,1,1,1.9428,LOW_CONF,0,1798,4595,21757,0,0,274,0,0,0,0
3,0,1,0,NEGATIVE_PEAK,-5.2050,1.1009,-360,-6,28,0.4722,626.94,100.03,60.00,105.00,632.00,123.50,66.00,107.00,0.5573,24.01,0,0,0.0000,NOT_RUN,0,4284,4657,0,0,0,360,0,0,0,0
4,0,1,0,NEGATIVE_PEAK,-4.8915,1.0105,-289,-23,-2,0.4706,626.94,100.03,60.00,105.00,628.50,165.50,65.00,139.00,0.2840,65.49,0,0,0.0000,NOT_RUN,0,3354,3269,0,0,0,289,0,0,0,0
5,0,1,1,ACCEPT,6.1486,1.2387,275,0,15,0.3091,626.94,124.64,60.00,105.00,627.00,190.00,66.00,162.00,0.3168,65.36,1,0,2.7077,ACCEPT,0,2381,2447,14647,0,0,275,0,0,0,0
6,0,1,1,ACCEPT,9.9491,1.4390,413,-1,9,0.1671,626.00,139.41,60.00,105.00,627.50,214.50,61.00,153.00,0.2554,75.11,1,1,1.5137,LOW_CONF,0,2244,2618,14481,0,0,413,0,0,0,0
7,0,1,1,ACCEPT,7.8800,1.5234,326,-2,6,0.3957,624.12,149.25,60.00,105.00,625.50,221.50,65.00,151.00,0.2619,72.26,1,0,2.5620,ACCEPT,0,2555,2345,13497,0,0,326,0,0,0,0
8,0,1,1,ACCEPT,5.0666,1.1429,216,-7,20,0.1204,617.56,182.06,60.00,105.00,620.00,251.00,62.00,142.00,0.2683,68.98,1,0,2.0396,ACCEPT,0,2806,2308,15404,0,0,216,0,0,0,0
9,0,1,1,ACCEPT,5.3202,1.0268,230,6,-37,0.3348,623.19,121.36,60.00,105.00,619.00,289.00,58.00,148.00,0.0000,167.69,1,-8,1.0419,MAX_STEP,0,2349,2051,19344,0,0,230,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-5.9688,1.2356,-493,21,-10,0.0811,623.19,121.36,60.00,105.00,620.50,334.00,57.00,136.00,0.0000,212.66,0,0,0.0000,NOT_RUN,0,3630,5268,0,0,0,493,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-5.3606,1.0024,-422,19,15,0.0355,623.19,121.36,60.00,105.00,622.50,372.00,57.00,144.00,0.0000,250.64,0,0,0.0000,NOT_RUN,0,3727,5313,0,0,0,422,0,0,0,0
12,0,1,1,ACCEPT,5.4619,1.0023,428,3,-12,0.0327,626.00,101.67,60.00,105.00,624.00,403.50,60.00,127.00,0.0000,301.83,1,0,2.2853,ACCEPT,0,3676,4960,19612,0,0,428,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-6.3119,1.1611,-382,16,-12,0.2696,626.00,101.67,60.00,105.00,622.50,432.50,61.00,153.00,0.0000,330.85,0,0,0.0000,NOT_RUN,0,2292,3010,0,0,0,382,0,0,0,0
14,0,1,0,LOW_PSR,4.9844,1.0160,318,-5,-45,0.0189,626.00,101.67,60.00,105.00,620.00,473.00,56.00,146.00,0.0000,371.38,0,0,0.0000,NOT_RUN,0,2801,3814,0,0,0,318,0,0,0,0
15,0,1,0,LOW_PSR,4.8603,1.0124,327,-19,-10,0.1651,626.00,101.67,60.00,105.00,619.50,502.50,65.00,147.00,0.0000,400.88,0,0,0.0000,NOT_RUN,0,2476,4169,0,0,0,327,0,0,0,0
16,0,1,1,ACCEPT,5.0510,1.0997,375,-6,-25,0.6987,620.38,60.66,60.00,105.00,620.00,530.50,62.00,149.00,0.0000,469.84,1,10,2.5772,MAX_STEP,0,3010,3793,24325,0,0,375,0,0,0,0
17,0,1,0,NEGATIVE_PEAK,-5.2856,1.0226,-678,17,14,0.5472,620.38,60.66,60.00,105.00,622.50,551.50,65.00,151.00,0.0000,490.85,0,0,0.0000,NOT_RUN,0,6377,4086,0,0,0,678,0,0,0,0
18,0,1,1,ACCEPT,6.1753,1.3354,661,9,1,0.0015,628.81,62.30,60.00,105.00,621.00,591.50,56.00,143.00,0.0000,529.26,1,0,1.9534,LOW_CONF,0,5656,3778,18891,0,0,661,0,0,0,0
