frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,207.50,550.50,25.00,29.00,207.50,550.50,25.00,29.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,5046,7419,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,21.4410,2.1628,93,15,-5,0.2043,213.36,548.23,25.00,29.00,213.50,548.00,27.00,30.00,0.8951,0.27,1,0,3.2393,ACCEPT,0,347,4985,8387,0,0,93,0,0,0,0
2,0,1,1,ACCEPT,19.2650,2.8767,210,21,-3,0.2857,221.56,546.88,25.00,29.00,220.00,546.00,26.00,30.00,0.8358,1.79,1,0,3.2367,ACCEPT,0,702,4619,9128,0,0,210,0,0,0,0
3,0,1,1,ACCEPT,19.2268,3.0682,270,18,-6,0.2148,228.59,544.16,25.00,29.00,227.50,543.00,29.00,32.00,0.7812,1.59,1,0,3.2183,ACCEPT,0,886,4501,8394,0,0,270,0,0,0,0
4,0,1,1,ACCEPT,18.6071,2.8381,298,17,-3,0.2752,235.23,542.80,25.00,29.00,235.00,541.50,26.00,29.00,0.8807,1.32,1,0,3.2190,ACCEPT,0,852,4076,7907,0,0,298,0,0,0,0
5,0,1,1,ACCEPT,15.6247,2.2880,286,20,-4,0.3776,243.05,540.98,25.00,29.00,242.00,540.00,26.00,28.00,0.8624,1.44,1,0,3.2014,ACCEPT,0,1089,4002,6505,0,0,286,0,0,0,0
6,0,1,1,ACCEPT,16.2130,2.4000,276,18,-2,0.3587,250.08,540.08,25.00,29.00,249.50,539.00,25.00,28.00,0.8867,1.22,1,0,3.1327,ACCEPT,0,896,3815,7227,0,0,276,0,0,0,0
7,0,1,1,ACCEPT,16.0696,2.1127,300,15,0,0.2833,255.94,540.08,25.00,29.00,255.50,539.00,25.00,28.00,0.8963,1.16,1,0,3.0493,ACCEPT,0,1088,3567,9111,0,0,300,0,0,0,0
8,0,1,1,ACCEPT,15.5103,2.4026,370,13,3,0.0730,261.02,541.44,25.00,29.00,261.00,540.00,26.00,32.00,0.8714,1.44,1,0,2.8932,ACCEPT,0,1617,3537,9784,0,0,370,0,0,0,0
9,0,1,1,ACCEPT,16.1587,2.1010,416,11,5,0.0697,265.31,543.70,25.00,29.00,263.50,542.50,25.00,29.00,0.8002,2.18,1,0,3.0586,ACCEPT,0,1592,3440,11744,0,0,416,0,0,0,0
