frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,584.00,55.00,46.00,68.00,584.00,55.00,46.00,68.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1347,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,19.4575,2.2442,487,15,21,0.0493,594.78,77.31,46.00,68.00,595.00,78.00,46.00,68.00,0.9708,0.72,1,0,3.2790,ACCEPT,0,1673,1483,32767,0,0,487,0,0,0,0
2,0,1,1,ACCEPT,16.0679,1.9824,450,15,22,0.0933,605.56,100.69,46.00,68.00,604.00,102.00,46.00,70.00,0.9005,2.04,1,0,3.1758,ACCEPT,0,1957,2108,32767,0,0,450,0,0,0,0
3,0,1,1,ACCEPT,12.4636,1.6412,430,13,22,0.0814,614.91,124.06,46.00,68.00,615.00,127.00,48.00,70.00,0.8811,2.94,1,0,3.1406,ACCEPT,0,2250,2407,32766,0,0,430,0,0,0,0
4,0,1,1,ACCEPT,11.8311,1.5620,542,14,23,0.2343,624.97,148.50,46.00,68.00,623.00,152.50,48.00,69.00,0.8215,4.46,1,0,3.1551,ACCEPT,0,2672,2765,32767,0,0,542,0,0,0,0
5,0,1,1,ACCEPT,11.1749,1.5653,551,13,24,0.1742,634.31,174.00,46.00,68.00,631.00,179.50,48.00,71.00,0.7476,6.42,1,0,3.2505,ACCEPT,0,2554,2351,32767,0,0,551,0,0,0,0
6,0,1,1,ACCEPT,9.9931,1.5860,498,11,24,0.3936,642.22,199.50,46.00,68.00,639.50,205.00,45.00,70.00,0.7628,6.14,1,0,3.3677,ACCEPT,0,2803,2256,32767,0,0,498,0,0,0,0
7,0,1,1,ACCEPT,9.5624,1.4459,454,11,25,0.3480,650.12,226.06,46.00,68.00,646.00,233.00,46.00,70.00,0.6932,8.07,1,0,3.3417,ACCEPT,0,2336,1774,32767,0,0,454,0,0,0,0
8,0,1,1,ACCEPT,9.6194,1.6082,431,9,27,0.5197,656.59,254.75,46.00,68.00,653.50,260.50,43.00,71.00,0.7454,6.53,1,0,3.3809,ACCEPT,0,2255,1863,32767,0,0,431,0,0,0,0
9,0,1,1,ACCEPT,8.7178,1.7462,454,8,28,0.4009,662.34,284.50,46.00,68.00,660.50,291.00,45.00,70.00,0.7687,6.76,1,0,3.5083,ACCEPT,0,2483,2903,29087,0,0,454,0,0,0,0
