frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,37.50,213.50,37.00,61.00,37.50,213.50,37.00,61.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,14664,7281,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,35.2913,2.8375,454,3,1,0.7797,39.23,214.45,37.00,61.00,40.00,212.00,34.00,60.00,0.8494,2.57,1,0,3.0046,ACCEPT,0,812,14063,7633,0,0,454,0,0,0,0
2,0,1,1,ACCEPT,24.0561,2.0388,420,4,1,0.6143,41.55,215.41,35.58,58.65,40.50,211.50,33.00,63.00,0.8212,4.04,1,-1,2.3320,ACCEPT,0,1139,13197,7529,0,0,420,0,0,0,0
3,0,1,1,ACCEPT,21.0763,1.8131,388,0,-2,0.9459,41.55,213.58,35.58,58.65,42.00,210.50,34.00,63.00,0.8668,3.11,1,0,2.7753,ACCEPT,0,1028,12343,7371,0,0,388,0,0,0,0
4,0,1,1,ACCEPT,21.5867,1.8089,407,4,-2,0.7002,43.77,211.75,35.58,58.65,43.50,212.00,33.00,60.00,0.9082,0.36,1,0,2.8740,ACCEPT,0,1014,11744,7641,0,0,407,0,0,0,0
5,0,1,1,ACCEPT,22.2901,2.2674,424,3,0,0.8325,45.43,211.75,35.58,58.65,45.50,211.50,35.00,59.00,0.9756,0.26,1,0,2.8178,ACCEPT,0,1131,11434,7144,0,0,424,0,0,0,0
6,0,1,1,ACCEPT,22.0106,2.1344,397,3,0,0.7456,47.09,211.75,35.58,58.65,46.00,211.00,32.00,60.00,0.8791,1.33,1,0,2.7689,ACCEPT,0,1047,10641,7326,0,0,397,0,0,0,0
7,0,1,1,ACCEPT,23.2449,2.1323,403,3,-2,0.7519,48.76,209.92,35.58,58.65,45.50,210.50,33.00,61.00,0.7984,3.31,1,0,2.7988,ACCEPT,0,1075,9822,7736,0,0,403,0,0,0,0
8,0,1,1,ACCEPT,22.4511,2.1421,407,2,0,0.9017,49.87,209.92,35.58,58.65,48.00,209.50,32.00,63.00,0.8394,1.91,1,0,2.8137,ACCEPT,0,1208,9606,6954,0,0,407,0,0,0,0
9,0,1,1,ACCEPT,24.3372,2.1269,419,3,-1,0.7351,51.53,209.01,35.58,58.65,50.00,210.00,30.00,62.00,0.8045,1.82,1,0,2.8222,ACCEPT,0,1060,8793,6698,0,0,419,0,0,0,0
10,0,1,1,ACCEPT,23.5226,2.0985,426,3,0,0.8075,53.20,209.01,35.58,58.65,51.00,209.00,30.00,60.00,0.8272,2.20,1,0,2.8456,ACCEPT,0,987,8426,6767,0,0,426,0,0,0,0
11,0,1,1,ACCEPT,19.5884,1.9904,416,3,-1,0.7644,54.86,208.09,37.00,61.00,53.50,208.00,33.00,64.00,0.8544,1.36,1,1,2.8160,ACCEPT,0,1273,8394,6893,0,0,416,0,0,0,0
12,0,1,1,ACCEPT,22.2349,2.0218,463,3,1,0.7387,56.59,209.05,37.00,61.00,54.00,210.50,32.00,65.00,0.8141,2.97,1,0,2.7849,ACCEPT,0,1195,7451,7428,0,0,463,0,0,0,0
13,0,1,1,ACCEPT,20.9569,2.1324,435,2,-1,0.8690,57.75,208.09,37.00,61.00,55.50,209.00,33.00,64.00,0.8425,2.43,1,0,2.8613,ACCEPT,0,1142,7156,7877,0,0,435,0,0,0,0
14,0,1,1,ACCEPT,20.1345,2.3918,464,3,0,0.8341,59.48,208.09,37.00,61.00,56.50,209.00,33.00,64.00,0.8083,3.12,1,0,2.9142,ACCEPT,0,1246,6689,8082,0,0,464,0,0,0,0
15,0,1,1,ACCEPT,20.6066,2.1422,482,3,0,0.7158,61.22,208.09,37.00,61.00,57.50,209.50,33.00,69.00,0.7267,3.98,1,0,2.7550,ACCEPT,0,1277,6151,8316,0,0,482,0,0,0,0
16,0,1,1,ACCEPT,20.7200,2.2339,487,2,0,0.8747,62.38,208.09,37.00,61.00,60.00,208.00,34.00,66.00,0.8146,2.38,1,0,2.7132,ACCEPT,0,1315,5801,8813,0,0,487,0,0,0,0
17,0,1,1,ACCEPT,21.7130,2.0824,531,2,0,0.8719,63.53,208.09,37.00,61.00,60.00,209.50,34.00,69.00,0.7351,3.80,1,0,2.5888,ACCEPT,0,1472,5613,9038,0,0,531,0,0,0,0
