frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,504.50,418.50,75.00,59.00,504.50,418.50,75.00,59.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,980,28950,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,16.5847,1.7027,441,0,-1,0.9887,504.50,417.58,72.12,56.73,503.50,419.50,69.00,63.00,0.8653,2.17,1,-1,2.8829,ACCEPT,0,1568,1086,32767,0,0,441,0,0,0,0
2,0,1,1,ACCEPT,12.9737,1.2861,427,-5,5,0.4754,498.88,421.99,72.12,56.73,498.50,425.00,69.00,64.00,0.8523,3.03,1,0,2.9704,ACCEPT,0,1728,1080,32767,0,0,427,0,0,0,0
3,0,1,1,ACCEPT,11.6328,1.3221,509,-5,7,0.2711,493.25,428.17,72.12,56.73,492.00,434.50,70.00,65.00,0.7876,6.45,1,0,2.8301,ACCEPT,0,2306,1075,32767,0,0,509,0,0,0,0
4,0,1,1,ACCEPT,9.5302,1.0257,439,-3,3,0.6856,489.88,430.82,75.00,59.00,488.00,437.50,68.00,69.00,0.7468,6.94,1,1,2.7840,ACCEPT,0,2403,918,32767,0,0,439,0,0,0,0
5,0,1,1,ACCEPT,12.7467,1.2620,607,1,4,0.8830,491.05,434.51,75.00,59.00,489.50,432.00,67.00,72.00,0.7464,2.95,1,0,2.1061,ACCEPT,0,2526,1064,32767,0,0,607,0,0,0,0
6,0,1,1,ACCEPT,9.5209,1.4560,530,2,-7,0.4528,493.39,428.05,75.00,59.00,491.00,422.00,66.00,74.00,0.7191,6.51,1,-2,1.7130,LOW_CONF,0,2397,1217,31685,0,0,530,0,0,0,0
7,0,1,1,ACCEPT,6.7534,1.3556,446,4,-12,0.2915,498.08,416.99,72.12,56.73,496.00,410.00,66.00,74.00,0.7158,7.29,1,-1,2.0601,ACCEPT,0,3143,1154,32767,0,0,446,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-4.2583,1.0853,-280,19,-21,0.3429,498.08,416.99,72.12,56.73,505.50,399.00,59.00,74.00,0.4829,19.46,0,0,0.0000,NOT_RUN,0,2978,1083,0,0,0,280,0,0,0,0
9,0,1,0,LOW_PSR,4.4695,1.0625,340,-14,-2,0.4235,498.08,416.99,72.12,56.73,512.50,396.00,49.00,74.00,0.3611,25.47,0,0,0.0000,NOT_RUN,0,4853,979,0,0,0,340,0,0,0,0
10,0,1,0,LOW_PSR,4.0509,1.0328,252,-6,14,0.3095,498.08,416.99,72.12,56.73,519.00,404.00,34.00,58.00,0.3075,24.63,0,0,0.0000,NOT_RUN,0,5382,743,0,0,0,252,0,0,0,0
11,0,1,0,LOW_PSR,3.9257,1.1444,214,-3,32,0.5981,498.08,416.99,72.12,56.73,520.00,423.00,32.00,44.00,0.3177,22.73,0,0,0.0000,NOT_RUN,0,5464,664,0,0,0,214,0,0,0,0
12,0,1,0,LOW_PSR,3.9707,1.2437,199,-15,29,0.1206,498.08,416.99,72.12,56.73,515.00,442.00,40.00,50.00,0.2228,30.20,0,0,0.0000,NOT_RUN,0,4793,380,0,0,0,199,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-3.4418,1.0548,-154,-20,9,0.0844,498.08,416.99,72.12,56.73,503.50,498.50,47.00,81.00,0.0000,81.69,0,0,0.0000,NOT_RUN,0,3924,338,0,0,0,154,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-3.4689,1.0360,-144,-27,-6,0.0139,498.08,416.99,72.12,56.73,490.00,565.00,46.00,90.00,0.0000,148.23,0,0,0.0000,NOT_RUN,0,3754,379,0,0,0,144,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-3.4315,1.0515,-143,-27,0,0.1049,498.08,416.99,72.12,56.73,478.50,633.00,49.00,90.00,0.0000,216.89,0,0,0.0000,NOT_RUN,0,3939,410,0,0,0,143,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-3.6265,1.0625,-153,-28,4,0.0654,498.08,416.99,72.12,56.73,465.50,700.00,47.00,92.00,0.0000,284.88,0,0,0.0000,NOT_RUN,0,3986,440,0,0,0,153,0,0,0,0
17,0,1,0,NEGATIVE_PEAK,-3.6168,1.0411,-152,-31,7,0.2895,498.08,416.99,72.12,56.73,451.50,766.00,45.00,94.00,0.0000,352.10,0,0,0.0000,NOT_RUN,0,4058,451,0,0,0,152,0,0,0,0
18,0,1,0,NEGATIVE_PEAK,-3.6586,1.0786,-151,-34,9,0.1589,498.08,416.99,72.12,56.73,434.00,828.50,46.00,87.00,0.0000,416.47,0,0,0.0000,NOT_RUN,0,3953,379,0,0,0,151,0,0,0,0
19,0,1,0,LOW_PSR,3.6304,1.0211,145,-25,-44,0.1103,498.08,416.99,72.12,56.73,419.00,897.50,46.00,91.00,0.0000,486.97,0,0,0.0000,NOT_RUN,0,3792,412,0,0,0,145,0,0,0,0
20,0,1,0,LOW_PSR,3.8366,1.0775,153,-26,-41,0.1307,498.08,416.99,72.12,56.73,407.50,961.00,47.00,86.00,0.0000,551.50,0,0,0.0000,NOT_RUN,0,3570,380,0,0,0,153,0,0,0,0
21,0,1,0,LOW_PSR,3.7641,1.0725,148,-26,-41,0.1284,498.08,416.99,72.12,56.73,396.50,1023.00,41.00,86.00,0.0000,614.46,0,0,0.0000,NOT_RUN,0,3457,377,0,0,0,148,0,0,0,0
22,0,1,0,LOW_PSR,3.6300,1.0563,150,-22,-43,0.1067,498.08,416.99,72.12,56.73,391.00,1080.50,42.00,83.00,0.0000,672.09,0,0,0.0000,NOT_RUN,0,3361,422,0,0,0,150,0,0,0,0
23,0,1,0,LOW_PSR,4.1076,1.1702,165,26,3,0.0788,498.08,416.99,72.12,56.73,380.50,1134.00,37.00,84.00,0.0000,726.58,0,0,0.0000,NOT_RUN,0,3016,419,0,0,0,165,0,0,0,0
24,0,1,0,LOW_PSR,4.3738,1.2199,172,27,-2,0.2674,498.08,416.99,72.12,56.73,372.00,1188.50,36.00,85.00,0.0000,781.74,0,0,0.0000,NOT_RUN,0,2804,414,0,0,0,172,0,0,0,0
25,0,1,0,LOW_PSR,4.6390,1.2676,180,29,-5,0.1611,498.08,416.99,72.12,56.73,361.50,1241.00,37.00,82.00,0.0000,835.25,0,0,0.0000,NOT_RUN,0,2542,385,0,0,0,180,0,0,0,0
26,0,1,0,LOW_PSR,4.8051,1.3185,178,30,-11,0.0337,498.08,416.99,72.12,56.73,352.00,1291.00,34.00,82.00,0.0000,886.13,0,0,0.0000,NOT_RUN,0,2446,415,0,0,0,178,0,0,0,0
27,0,1,1,ACCEPT,5.5896,1.3533,203,33,-20,0.0837,535.20,399.34,69.34,54.55,344.00,1339.50,34.00,79.00,0.0000,959.41,1,-1,2.3893,ACCEPT,0,2246,450,21167,0,0,203,0,0,0,0
28,0,1,1,ACCEPT,5.7015,1.1739,54,0,-8,0.1852,535.20,392.52,66.67,52.45,335.50,1385.50,35.00,77.00,0.0000,1012.86,1,-1,2.3051,ACCEPT,0,631,383,32767,0,0,54,0,0,0,0
29,0,1,0,NEGATIVE_PEAK,-5.9040,1.0455,-69,26,7,0.4783,535.20,392.52,66.67,52.45,327.00,1429.00,36.00,74.00,0.0000,1057.18,0,0,0.0000,NOT_RUN,0,896,318,0,0,0,69,0,0,0,0
30,0,1,0,NEGATIVE_PEAK,-5.6300,1.0217,-94,29,-5,0.0851,535.20,392.52,66.67,52.45,317.50,1464.50,33.00,77.00,0.0000,1093.86,0,0,0.0000,NOT_RUN,0,1107,459,0,0,0,94,0,0,0,0
31,0,1,1,ACCEPT,5.7682,1.1649,113,9,-29,0.1239,544.55,368.73,66.67,52.45,308.50,1502.00,33.00,76.00,0.0000,1157.59,1,-11,1.4765,MAX_STEP,0,1218,658,23706,0,0,113,0,0,0,0
32,0,1,1,ACCEPT,6.1215,1.2527,114,3,-8,0.5263,547.67,362.17,66.67,52.45,303.00,1534.00,32.00,68.00,0.0000,1197.10,1,-2,1.9372,LOW_CONF,0,1278,453,17020,0,0,114,0,0,0,0
33,0,1,1,ACCEPT,5.9915,1.2241,71,0,-9,0.5211,547.67,354.79,66.67,52.45,307.00,1522.00,30.00,64.00,0.0000,1191.77,1,-3,2.2698,MAX_STEP,0,782,440,18862,0,0,71,0,0,0,0
34,0,1,1,ACCEPT,5.2141,1.0533,79,0,-9,0.4557,547.67,347.41,61.64,48.49,311.50,1521.50,31.00,59.00,0.0000,1197.61,1,-2,2.1927,ACCEPT,0,943,464,20933,0,0,79,0,0,0,0
35,0,1,1,ACCEPT,5.8234,1.1266,89,21,3,0.1124,567.85,349.68,59.27,46.63,311.50,1548.00,33.00,62.00,0.0000,1225.43,1,-1,2.6494,ACCEPT,0,944,763,17523,0,0,89,0,0,0,0
36,0,1,1,ACCEPT,7.4797,1.1429,168,0,-7,0.1488,567.85,344.59,56.99,44.84,318.00,1556.50,22.00,37.00,0.0000,1237.39,1,-1,2.6761,ACCEPT,0,1379,1012,26750,0,0,168,0,0,0,0
37,0,1,1,ACCEPT,8.2402,1.1297,270,-1,-5,0.3074,566.96,341.08,56.99,44.84,325.50,1583.50,21.00,63.00,0.0000,1265.67,1,0,2.5597,ACCEPT,0,1946,914,21637,0,0,270,0,0,0,0
38,0,1,1,ACCEPT,7.6392,1.1414,218,-2,-5,0.4679,565.18,337.56,56.99,44.84,335.50,1596.00,39.00,68.00,0.0000,1279.23,1,0,2.3775,ACCEPT,0,1864,721,21404,0,0,218,0,0,0,0
39,0,1,1,ACCEPT,8.3784,1.1476,241,2,-5,0.1286,566.96,334.05,56.99,44.84,346.50,1606.00,53.00,68.00,0.0000,1290.92,1,0,2.3651,ACCEPT,0,2011,846,20972,0,0,241,0,0,0,0
40,0,1,1,ACCEPT,9.2127,1.2059,246,3,-3,0.3902,569.63,331.94,56.99,44.84,349.00,1619.00,56.00,64.00,0.0000,1305.84,1,0,2.4095,ACCEPT,0,1886,898,18252,0,0,246,0,0,0,0
41,0,1,1,ACCEPT,9.5319,1.1650,240,2,-4,0.3250,571.41,329.12,56.99,44.84,349.00,1627.50,62.00,65.00,0.0000,1317.29,1,0,2.3641,ACCEPT,0,1654,697,17286,0,0,240,0,0,0,0
42,0,1,1,ACCEPT,10.5908,1.2254,261,1,-4,0.3946,572.30,326.31,56.99,44.84,342.50,1631.00,61.00,64.00,0.0000,1324.77,1,0,2.3087,ACCEPT,0,1517,747,18787,0,0,261,0,0,0,0
43,0,1,1,ACCEPT,9.1989,1.1593,262,1,-2,0.7786,573.20,324.91,56.99,44.84,334.00,1634.50,58.00,65.00,0.0000,1331.26,1,0,2.5995,ACCEPT,0,1518,910,16721,0,0,262,0,0,0,0
44,0,1,1,ACCEPT,9.0155,1.1701,282,1,-7,0.0496,574.09,319.98,56.99,44.84,328.50,1634.00,55.00,66.00,0.0000,1336.77,1,12,1.8257,MAX_STEP,0,1664,906,18564,0,0,282,0,0,0,0
45,0,1,1,ACCEPT,7.9664,1.2124,234,1,-2,0.8248,574.98,318.58,56.99,44.84,320.50,1633.50,55.00,71.00,0.0000,1339.32,1,15,1.5016,MAX_STEP,0,1770,908,16907,0,0,234,0,0,0,0
46,0,1,1,ACCEPT,7.3487,1.1211,213,3,-2,0.5822,577.65,317.17,56.99,44.84,313.00,1632.00,50.00,66.00,0.0000,1341.20,1,-14,1.4515,MAX_STEP,0,1539,834,18774,0,0,213,0,0,0,0
47,0,1,1,ACCEPT,7.6533,1.0645,231,5,0,0.7056,582.10,317.17,56.99,44.84,307.50,1630.00,45.00,60.00,0.0000,1341.24,1,-13,1.4426,MAX_STEP,0,1555,807,18332,0,0,231,0,0,0,0
48,0,1,1,ACCEPT,7.7588,1.1100,222,7,-1,0.4730,588.34,316.47,56.99,44.84,302.50,1630.50,41.00,69.00,0.0000,1344.76,1,-14,1.2839,MAX_STEP,0,1598,764,23147,0,0,222,0,0,0,0
49,0,1,1,ACCEPT,9.6210,1.2872,363,6,-2,0.2700,593.68,315.06,56.99,44.84,293.00,1626.00,34.00,66.00,0.0000,1344.98,1,-2,1.4152,LOW_CONF,0,1947,770,25277,0,0,363,0,0,0,0
50,0,1,1,ACCEPT,10.0526,1.3541,413,6,-3,0.2058,599.02,312.95,54.80,43.11,286.00,1623.50,28.00,65.00,0.0000,1347.41,1,-1,2.1899,ACCEPT,0,2178,770,28932,0,0,413,0,0,0,0
51,0,1,1,ACCEPT,10.0181,1.3058,427,8,3,0.6674,605.90,314.97,54.80,43.11,275.00,1621.50,24.00,63.00,0.0000,1347.78,1,0,2.7725,ACCEPT,0,2811,730,27874,0,0,427,0,0,0,0
52,0,1,1,ACCEPT,9.7892,1.1875,437,7,2,0.8124,611.91,316.31,54.80,43.11,266.50,1620.00,25.00,60.00,0.0000,1348.67,1,0,2.5583,ACCEPT,0,3240,765,29592,0,0,437,0,0,0,0
53,0,1,1,ACCEPT,9.2868,1.1169,449,7,5,0.6771,617.93,319.67,54.80,43.11,261.50,1620.50,29.00,57.00,0.0000,1348.78,1,0,2.6258,ACCEPT,0,3015,847,26148,0,0,449,0,0,0,0
