frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,219.00,316.00,168.00,48.00,219.00,316.00,168.00,48.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3158,25910,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,48.1067,3.4580,453,0,1,0.9536,219.00,316.75,168.00,48.00,219.50,316.00,169.00,50.00,0.9543,0.90,1,0,3.3375,ACCEPT,0,717,3036,26395,0,0,453,0,0,0,0
2,0,1,1,ACCEPT,44.2448,3.3134,444,0,1,0.9842,219.00,317.50,168.00,48.00,219.00,317.00,168.00,50.00,0.9600,0.50,1,0,3.3050,ACCEPT,0,727,2973,26173,0,0,444,0,0,0,0
3,0,1,1,ACCEPT,39.8937,2.8716,425,0,1,0.9459,219.00,318.25,168.00,48.00,219.50,318.50,167.00,49.00,0.9739,0.56,1,0,3.2893,ACCEPT,0,709,2856,26394,0,0,425,0,0,0,0
4,0,1,1,ACCEPT,36.4716,2.6187,419,0,3,0.8329,219.00,320.50,168.00,48.00,216.50,321.00,171.00,48.00,0.9512,2.55,1,0,3.2222,ACCEPT,0,715,2837,26402,0,0,419,0,0,0,0
5,0,1,1,ACCEPT,33.8580,2.6500,424,0,0,1.0000,219.00,320.50,168.00,48.00,220.50,321.50,165.00,49.00,0.9430,1.80,1,0,3.2404,ACCEPT,0,745,2759,27261,0,0,424,0,0,0,0
6,0,1,1,ACCEPT,33.5677,3.0510,479,0,0,1.0000,219.00,320.50,168.00,48.00,219.50,323.00,167.00,50.00,0.8979,2.55,1,0,3.2516,ACCEPT,0,865,2715,27339,0,0,479,0,0,0,0
7,0,1,1,ACCEPT,30.7423,2.7759,483,0,0,1.0000,219.00,320.50,168.00,48.00,219.50,323.00,169.00,50.00,0.8977,2.55,1,0,3.2925,ACCEPT,0,962,2667,27358,0,0,483,0,0,0,0
8,0,1,1,ACCEPT,26.9945,2.7293,494,1,0,0.9777,221.62,320.50,168.00,48.00,220.00,322.50,168.00,49.00,0.9038,2.58,1,0,3.1521,ACCEPT,0,1157,2628,27981,0,0,494,0,0,0,0
9,0,1,1,ACCEPT,25.0099,2.2152,525,0,-2,0.9276,221.62,319.00,168.00,48.00,218.50,322.50,163.00,49.00,0.8356,4.69,1,0,3.2048,ACCEPT,0,1355,2538,28409,0,0,525,0,0,0,0
10,0,1,1,ACCEPT,23.1859,2.7075,574,0,0,1.0000,221.62,319.00,168.00,48.00,216.50,322.50,161.00,47.00,0.8137,6.21,1,0,3.2034,ACCEPT,0,1614,2591,28189,0,0,574,0,0,0,0
11,0,1,1,ACCEPT,22.4555,2.5560,662,0,-2,0.8701,221.62,317.50,168.00,48.00,216.50,320.00,161.00,48.00,0.8491,5.70,1,0,3.1966,ACCEPT,0,1921,2545,28438,0,0,662,0,0,0,0
12,0,1,1,ACCEPT,21.7582,2.1976,734,0,-4,0.7044,221.62,314.50,168.00,48.00,216.00,318.00,160.00,46.00,0.8072,6.62,1,0,3.1712,ACCEPT,0,2126,2460,29031,0,0,734,0,0,0,0
13,0,1,1,ACCEPT,21.4213,2.3720,797,0,-2,0.8984,221.62,313.00,168.00,48.00,215.00,316.00,158.00,46.00,0.8141,7.27,1,0,3.1592,ACCEPT,0,2338,2354,29593,0,0,797,0,0,0,0
