frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,95.00,174.00,60.00,48.00,95.00,174.00,60.00,48.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3406,6321,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,45.0241,3.3023,142,0,0,1.0000,95.00,174.00,60.00,48.00,95.50,174.00,59.00,48.00,0.9833,0.50,1,0,3.3600,ACCEPT,0,287,3201,6413,0,0,142,0,0,0,0
2,0,1,1,ACCEPT,44.0277,3.3095,139,0,0,1.0000,95.00,174.00,60.00,48.00,95.00,174.50,58.00,49.00,0.9476,0.50,1,0,3.3610,ACCEPT,0,304,3004,6580,0,0,139,0,0,0,0
3,0,1,1,ACCEPT,42.0787,2.9167,140,0,0,1.0000,95.00,174.00,60.00,48.00,95.00,174.50,58.00,49.00,0.9476,0.50,1,0,3.3396,ACCEPT,0,309,2813,7311,0,0,140,0,0,0,0
4,0,1,1,ACCEPT,39.1468,2.7407,148,0,-1,0.9797,95.00,173.25,60.00,48.00,95.00,174.00,60.00,50.00,0.9600,0.75,1,0,3.1860,ACCEPT,0,325,2622,6948,0,0,148,0,0,0,0
5,0,1,1,ACCEPT,32.4706,2.7959,137,0,0,1.0000,95.00,173.25,60.00,48.00,94.00,173.50,56.00,51.00,0.8819,1.03,1,0,3.1449,ACCEPT,0,311,2466,6300,0,0,137,0,0,0,0
6,0,1,1,ACCEPT,29.0506,2.5833,124,-1,0,0.9839,94.06,173.25,60.00,48.00,94.00,173.00,56.00,48.00,0.9240,0.26,1,0,3.0760,ACCEPT,0,286,2356,5872,0,0,124,0,0,0,0
7,0,1,1,ACCEPT,24.7806,2.1509,114,1,0,0.9912,95.00,173.25,60.00,48.00,92.00,172.00,56.00,48.00,0.8580,3.25,1,0,3.1323,ACCEPT,0,304,2264,5553,0,0,114,0,0,0,0
8,0,1,1,ACCEPT,20.4800,2.1765,111,-1,0,0.9459,94.06,173.25,60.00,48.00,89.00,172.50,58.00,47.00,0.8175,5.12,1,0,3.0369,ACCEPT,0,322,2255,5674,0,0,111,0,0,0,0
9,0,1,1,ACCEPT,16.5127,2.0000,110,-1,1,0.9636,93.12,174.00,57.69,46.15,87.50,172.50,59.00,45.00,0.7762,5.82,1,-1,2.9058,ACCEPT,0,372,2127,5684,0,0,110,0,0,0,0
10,0,1,1,ACCEPT,12.6317,1.7333,104,0,1,0.9712,93.12,174.72,57.69,46.15,85.50,175.50,61.00,47.00,0.7493,7.66,1,0,2.9964,ACCEPT,0,414,2282,4928,0,0,104,0,0,0,0
11,0,1,1,ACCEPT,9.2774,1.2462,81,0,1,0.9630,93.12,175.44,57.69,46.15,84.50,177.50,61.00,47.00,0.6901,8.87,1,0,2.8161,ACCEPT,0,444,2220,4771,0,0,81,0,0,0,0
12,0,1,1,ACCEPT,8.3835,1.3125,84,1,-1,0.9048,94.02,174.72,57.69,46.15,82.00,181.00,60.00,48.00,0.5258,13.57,1,0,3.0130,ACCEPT,0,553,2171,5374,0,0,84,0,0,0,0
13,0,1,1,ACCEPT,9.2002,1.3494,112,1,-1,0.9732,94.92,174.00,57.69,46.15,79.50,184.50,63.00,45.00,0.4018,18.66,1,0,3.0502,ACCEPT,0,610,2142,5885,0,0,112,0,0,0,0
14,0,1,1,ACCEPT,8.9405,1.4578,121,-1,3,0.9256,94.02,176.16,55.47,44.38,77.50,187.00,65.00,48.00,0.3827,19.76,1,-1,3.0364,ACCEPT,0,699,1817,8951,0,0,121,0,0,0,0
15,0,1,1,ACCEPT,8.0488,1.4455,146,-1,1,0.9589,93.16,176.85,55.47,44.38,74.00,188.50,64.00,47.00,0.3379,22.42,1,0,3.0464,ACCEPT,0,851,2001,11690,0,0,146,0,0,0,0
16,0,1,1,ACCEPT,8.4913,1.7244,219,-1,3,0.8128,92.29,178.94,55.47,44.38,73.50,190.00,63.00,50.00,0.3521,21.80,1,0,2.9616,ACCEPT,0,1318,1830,14877,0,0,219,0,0,0,0
17,0,1,1,ACCEPT,8.1066,1.6805,284,0,4,0.7183,92.29,181.72,55.47,44.38,74.50,195.50,63.00,47.00,0.3225,22.50,1,0,3.0085,ACCEPT,0,1818,1931,14965,0,0,284,0,0,0,0
18,0,1,1,ACCEPT,7.3530,1.5333,299,0,5,0.6421,92.29,185.20,55.47,44.38,76.00,201.00,60.00,46.00,0.3042,22.70,1,0,2.8524,ACCEPT,0,2283,1982,15693,0,0,299,0,0,0,0
19,0,1,1,ACCEPT,6.7277,1.6293,334,1,4,0.7395,93.16,187.98,53.34,42.67,81.50,202.00,57.00,48.00,0.3733,18.24,1,-1,2.7730,ACCEPT,0,2229,1889,15228,0,0,334,0,0,0,0
20,0,1,0,LOW_PSR,4.3932,1.0551,287,0,0,1.0000,93.16,187.98,53.34,42.67,84.00,208.50,56.00,49.00,0.2978,22.47,0,0,0.0000,NOT_RUN,0,3492,1716,0,0,0,287,0,0,0,0
21,0,1,0,LOW_PSR,3.8388,1.0538,274,-40,-15,0.6606,93.16,187.98,53.34,42.67,88.50,211.50,57.00,49.00,0.2859,23.98,0,0,0.0000,NOT_RUN,0,3968,1576,0,0,0,274,0,0,0,0
22,0,1,0,NEGATIVE_PEAK,-3.3054,1.0314,-230,-8,32,0.5261,93.16,187.98,53.34,42.67,91.00,220.50,56.00,45.00,0.1414,32.59,0,0,0.0000,NOT_RUN,0,3412,1534,0,0,0,230,0,0,0,0
23,0,1,0,NEGATIVE_PEAK,-3.0310,1.0097,-208,-24,12,0.6010,93.16,187.98,53.34,42.67,93.00,224.00,58.00,46.00,0.0985,36.02,0,0,0.0000,NOT_RUN,0,3820,1398,0,0,0,208,0,0,0,0
24,0,1,0,NEGATIVE_PEAK,-3.1987,1.0231,-221,-23,11,0.5928,93.16,187.98,53.34,42.67,93.00,228.50,58.00,45.00,0.0375,40.52,0,0,0.0000,NOT_RUN,0,4169,1572,0,0,0,221,0,0,0,0
25,0,1,0,NEGATIVE_PEAK,-3.2479,1.0417,-225,-23,11,0.5022,93.16,187.98,53.34,42.67,96.50,233.00,57.00,46.00,0.0000,45.15,0,0,0.0000,NOT_RUN,0,4361,1615,0,0,0,225,0,0,0,0
26,0,1,0,NEGATIVE_PEAK,-3.1290,1.0142,-215,-23,10,0.5070,93.16,187.98,53.34,42.67,97.50,234.00,57.00,46.00,0.0000,46.23,0,0,0.0000,NOT_RUN,0,4471,1641,0,0,0,215,0,0,0,0
27,0,1,0,LOW_PSR,3.3034,1.0278,222,6,21,0.4820,93.16,187.98,53.34,42.67,102.50,236.50,55.00,49.00,0.0000,49.41,0,0,0.0000,NOT_RUN,0,4312,1559,0,0,0,222,0,0,0,0
28,0,1,0,LOW_PSR,3.2521,1.0187,218,6,21,0.4541,93.16,187.98,53.34,42.67,104.00,239.00,56.00,52.00,0.0000,52.16,0,0,0.0000,NOT_RUN,0,4360,1536,0,0,0,218,0,0,0,0
29,0,1,0,LOW_PSR,3.2235,1.0047,215,7,21,0.4558,93.16,187.98,53.34,42.67,109.00,242.50,50.00,53.00,0.0000,56.78,0,0,0.0000,NOT_RUN,0,4400,1482,0,0,0,215,0,0,0,0
30,0,1,0,NEGATIVE_PEAK,-3.1880,1.0191,-213,-8,23,0.4883,93.16,187.98,53.34,42.67,110.50,249.00,49.00,48.00,0.0000,63.44,0,0,0.0000,NOT_RUN,0,4393,1499,0,0,0,213,0,0,0,0
31,0,1,0,LOW_PSR,3.1608,1.0144,211,7,21,0.5024,93.16,187.98,53.34,42.67,113.50,249.50,51.00,49.00,0.0000,64.80,0,0,0.0000,NOT_RUN,0,4403,1538,0,0,0,211,0,0,0,0
32,0,1,0,LOW_PSR,3.1567,1.0243,211,7,22,0.5640,93.16,187.98,53.34,42.67,117.00,251.50,48.00,49.00,0.0000,67.85,0,0,0.0000,NOT_RUN,0,4358,1539,0,0,0,211,0,0,0,0
33,0,1,0,LOW_PSR,3.1366,1.0096,210,16,2,0.6143,93.16,187.98,53.34,42.67,118.50,252.00,45.00,48.00,0.0000,68.86,0,0,0.0000,NOT_RUN,0,4298,1427,0,0,0,210,0,0,0,0
34,0,1,0,NEGATIVE_PEAK,-3.1433,1.0047,-213,-23,11,0.6338,93.16,187.98,53.34,42.67,121.00,248.00,40.00,46.00,0.0000,66.17,0,0,0.0000,NOT_RUN,0,4293,1428,0,0,0,213,0,0,0,0
35,0,1,0,LOW_PSR,3.2990,1.0090,224,16,3,0.6071,93.16,187.98,53.34,42.67,123.00,245.50,36.00,39.00,0.0000,64.80,0,0,0.0000,NOT_RUN,0,4318,1438,0,0,0,224,0,0,0,0
36,0,1,0,NEGATIVE_PEAK,-3.3534,1.0502,-230,-22,12,0.5696,93.16,187.98,53.34,42.67,121.50,238.50,35.00,41.00,0.0000,57.93,0,0,0.0000,NOT_RUN,0,4186,1463,0,0,0,230,0,0,0,0
37,0,1,0,LOW_PSR,3.4032,1.0215,238,16,4,0.5126,93.16,187.98,53.34,42.67,117.00,228.50,30.00,41.00,0.0067,47.02,0,0,0.0000,NOT_RUN,0,4346,1454,0,0,0,238,0,0,0,0
38,0,1,0,NEGATIVE_PEAK,-3.4533,1.1045,-243,-23,11,0.5885,93.16,187.98,53.34,42.67,112.00,221.50,34.00,43.00,0.0659,38.46,0,0,0.0000,NOT_RUN,0,4332,1472,0,0,0,243,0,0,0,0
39,0,1,0,NEGATIVE_PEAK,-3.2533,1.0226,-226,-25,10,0.8274,93.16,187.98,53.34,42.67,107.50,212.50,35.00,43.00,0.1688,28.41,0,0,0.0000,NOT_RUN,0,4705,1493,0,0,0,226,0,0,0,0
40,0,1,0,LOW_PSR,3.9578,1.0233,263,7,29,0.9506,93.16,187.98,53.34,42.67,103.50,203.00,35.00,44.00,0.3350,18.24,0,0,0.0000,NOT_RUN,0,4253,1574,0,0,0,263,0,0,0,0
41,0,1,0,LOW_PSR,4.4732,1.1429,232,-5,-15,0.6509,93.16,187.98,53.34,42.67,97.00,195.50,36.00,53.00,0.5310,8.45,0,0,0.0000,NOT_RUN,0,3118,1853,0,0,0,232,0,0,0,0
42,0,1,1,ACCEPT,5.3314,1.2368,235,-3,-3,0.7660,90.65,185.98,51.29,41.03,93.50,188.50,37.00,45.00,0.6599,3.80,1,-1,2.6015,ACCEPT,0,2307,1946,17326,0,0,235,0,0,0,0
43,0,1,0,LOW_PSR,4.0594,1.0661,258,-2,-2,0.8295,90.65,185.98,51.29,41.03,89.00,179.50,32.00,47.00,0.4989,6.69,0,0,0.0000,NOT_RUN,0,3382,2194,0,0,0,258,0,0,0,0
44,0,1,0,LOW_PSR,3.3023,1.0819,251,36,-5,0.1155,90.65,185.98,51.29,41.03,82.50,170.00,37.00,40.00,0.3269,17.94,0,0,0.0000,NOT_RUN,0,5483,1799,0,0,0,251,0,0,0,0
45,0,1,0,LOW_PSR,3.6270,1.1345,312,9,41,0.0481,90.65,185.98,51.29,41.03,77.00,159.50,36.00,39.00,0.1308,29.79,0,0,0.0000,NOT_RUN,0,5376,1736,0,0,0,312,0,0,0,0
46,0,1,0,LOW_PSR,3.3550,1.0311,298,9,14,0.1141,90.65,185.98,51.29,41.03,72.50,150.50,39.00,43.00,0.0489,39.86,0,0,0.0000,NOT_RUN,0,5967,1450,0,0,0,298,0,0,0,0
47,0,1,0,LOW_PSR,3.4098,1.0203,301,8,37,0.0664,90.65,185.98,51.29,41.03,68.00,144.00,40.00,46.00,0.0090,47.70,0,0,0.0000,NOT_RUN,0,6128,1449,0,0,0,301,0,0,0,0
48,0,1,0,LOW_PSR,3.4844,1.0641,299,8,35,0.0803,90.65,185.98,51.29,41.03,65.00,136.50,42.00,43.00,0.0000,55.74,0,0,0.0000,NOT_RUN,0,5952,1522,0,0,0,299,0,0,0,0
49,0,1,0,LOW_PSR,3.5865,1.0408,306,8,33,0.0392,90.65,185.98,51.29,41.03,61.00,125.50,42.00,39.00,0.0000,67.36,0,0,0.0000,NOT_RUN,0,5851,1469,0,0,0,306,0,0,0,0
50,0,1,0,LOW_PSR,3.7697,1.0777,319,8,30,0.0721,90.65,185.98,51.29,41.03,60.00,117.00,44.00,38.00,0.0000,75.49,0,0,0.0000,NOT_RUN,0,5779,1404,0,0,0,319,0,0,0,0
51,0,1,0,LOW_PSR,3.9951,1.1557,334,8,28,0.1886,90.65,185.98,51.29,41.03,59.00,108.50,42.00,37.00,0.0000,83.70,0,0,0.0000,NOT_RUN,0,5786,1396,0,0,0,334,0,0,0,0
52,0,1,0,LOW_PSR,4.2082,1.2357,346,8,26,0.2023,90.65,185.98,51.29,41.03,58.50,103.00,43.00,36.00,0.0000,88.99,0,0,0.0000,NOT_RUN,0,5706,1338,0,0,0,346,0,0,0,0
53,0,1,0,LOW_PSR,4.4388,1.2260,358,8,24,0.1536,90.65,185.98,51.29,41.03,58.50,97.00,45.00,36.00,0.0000,94.61,0,0,0.0000,NOT_RUN,0,5593,1276,0,0,0,358,0,0,0,0
54,0,1,0,LOW_PSR,4.5969,1.1875,361,8,23,0.1025,90.65,185.98,51.29,41.03,59.50,90.50,47.00,35.00,0.0000,100.44,0,0,0.0000,NOT_RUN,0,5330,1252,0,0,0,361,0,0,0,0
55,0,1,0,LOW_PSR,4.5903,1.1721,361,8,22,0.0831,90.65,185.98,51.29,41.03,61.00,86.50,50.00,39.00,0.0000,103.81,0,0,0.0000,NOT_RUN,0,5242,1209,0,0,0,361,0,0,0,0
56,0,1,0,LOW_PSR,4.5895,1.1705,357,8,21,0.0840,90.65,185.98,51.29,41.03,62.50,81.00,51.00,40.00,0.0000,108.69,0,0,0.0000,NOT_RUN,0,5003,1203,0,0,0,357,0,0,0,0
57,0,1,0,LOW_PSR,4.4871,1.1118,348,7,20,0.1063,90.65,185.98,51.29,41.03,63.00,77.50,54.00,45.00,0.0000,111.95,0,0,0.0000,NOT_RUN,0,4842,1140,0,0,0,348,0,0,0,0
58,0,1,0,LOW_PSR,4.3899,1.1531,339,8,20,0.1357,90.65,185.98,51.29,41.03,65.00,74.00,58.00,44.00,0.0000,114.88,0,0,0.0000,NOT_RUN,0,4703,1125,0,0,0,339,0,0,0,0
59,0,1,0,LOW_PSR,4.3009,1.1649,332,8,20,0.1416,90.65,185.98,51.29,41.03,68.50,67.50,63.00,49.00,0.0000,120.54,0,0,0.0000,NOT_RUN,0,4608,1094,0,0,0,332,0,0,0,0
60,0,1,0,LOW_PSR,4.1821,1.1408,324,8,20,0.1543,90.65,185.98,51.29,41.03,72.00,67.00,62.00,52.00,0.0000,120.44,0,0,0.0000,NOT_RUN,0,4582,1103,0,0,0,324,0,0,0,0
61,0,1,0,LOW_PSR,4.1262,1.0993,321,7,19,0.1464,90.65,185.98,51.29,41.03,75.50,66.00,67.00,58.00,0.0000,120.94,0,0,0.0000,NOT_RUN,0,4573,1099,0,0,0,321,0,0,0,0
62,0,1,0,LOW_PSR,4.0347,1.0610,313,8,20,0.1438,90.65,185.98,51.29,41.03,81.50,70.50,71.00,57.00,0.0000,115.85,0,0,0.0000,NOT_RUN,0,4540,1090,0,0,0,313,0,0,0,0
63,0,1,0,LOW_PSR,3.9536,1.0372,307,9,21,0.1466,90.65,185.98,51.29,41.03,89.00,85.00,66.00,54.00,0.0000,101.00,0,0,0.0000,NOT_RUN,0,4583,1117,0,0,0,307,0,0,0,0
64,0,1,0,LOW_PSR,4.0073,1.0759,312,9,22,0.1186,90.65,185.98,51.29,41.03,93.00,101.50,62.00,57.00,0.0000,84.52,0,0,0.0000,NOT_RUN,0,4673,1141,0,0,0,312,0,0,0,0
65,0,1,0,LOW_PSR,4.1647,1.1708,329,8,23,0.1246,90.65,185.98,51.29,41.03,98.50,114.00,57.00,46.00,0.0000,72.41,0,0,0.0000,NOT_RUN,0,4966,1180,0,0,0,329,0,0,0,0
66,0,1,0,LOW_PSR,4.1616,1.2286,344,8,25,0.1948,90.65,185.98,51.29,41.03,97.50,133.50,57.00,41.00,0.0000,52.93,0,0,0.0000,NOT_RUN,0,5484,1304,0,0,0,344,0,0,0,0
67,0,1,0,LOW_PSR,3.9819,1.0165,370,9,30,0.4757,90.65,185.98,51.29,41.03,101.00,149.50,60.00,33.00,0.0059,37.92,0,0,0.0000,NOT_RUN,0,6149,1468,0,0,0,370,0,0,0,0
68,0,1,0,LOW_PSR,4.0292,1.1779,384,-1,-17,0.0130,90.65,185.98,51.29,41.03,102.50,167.50,59.00,37.00,0.2615,21.96,0,0,0.0000,NOT_RUN,0,6012,1786,0,0,0,384,0,0,0,0
69,0,1,0,LOW_PSR,4.2833,1.0406,333,-3,-19,0.3574,90.65,185.98,51.29,41.03,102.50,179.00,61.00,42.00,0.4876,13.76,0,0,0.0000,NOT_RUN,0,4361,1788,0,0,0,333,0,0,0,0
70,0,1,0,LOW_PSR,4.6519,1.0598,319,1,-5,0.7179,90.65,185.98,51.29,41.03,105.00,192.00,52.00,32.00,0.4323,15.56,0,0,0.0000,NOT_RUN,0,3875,1414,0,0,0,319,0,0,0,0
71,0,1,0,LOW_PSR,3.7405,1.0279,295,-35,-27,0.7390,90.65,185.98,51.29,41.03,108.50,203.00,55.00,34.00,0.2225,24.66,0,0,0.0000,NOT_RUN,0,4574,1638,0,0,0,295,0,0,0,0
72,0,1,0,LOW_PSR,3.1176,1.0222,276,-33,-24,0.6812,90.65,185.98,51.29,41.03,108.50,210.50,55.00,33.00,0.1268,30.33,0,0,0.0000,NOT_RUN,0,5202,1579,0,0,0,276,0,0,0,0
73,0,1,0,LOW_PSR,3.3928,1.0436,311,19,11,0.7170,90.65,185.98,51.29,41.03,110.00,216.50,60.00,39.00,0.0841,36.13,0,0,0.0000,NOT_RUN,0,5299,1423,0,0,0,311,0,0,0,0
74,0,1,0,NEGATIVE_PEAK,-3.8869,1.1164,-355,-10,22,0.7634,90.65,185.98,51.29,41.03,114.00,227.00,52.00,30.00,0.0000,47.20,0,0,0.0000,NOT_RUN,0,4759,1310,0,0,0,355,0,0,0,0
75,0,1,0,NEGATIVE_PEAK,-3.6126,1.1250,-324,-9,25,0.5710,90.65,185.98,51.29,41.03,109.50,231.00,63.00,38.00,0.0000,48.80,0,0,0.0000,NOT_RUN,0,4713,1249,0,0,0,324,0,0,0,0
76,0,1,0,LOW_PSR,4.6830,1.4401,409,1,-20,0.1614,90.65,185.98,51.29,41.03,112.00,231.50,58.00,39.00,0.0000,50.27,0,0,0.0000,NOT_RUN,0,4613,1157,0,0,0,409,0,0,0,0
77,0,1,1,ACCEPT,5.6699,1.6395,482,2,-17,0.0228,92.26,175.09,51.29,41.03,110.50,228.50,65.00,39.00,0.0000,56.44,1,0,2.7618,ACCEPT,0,4572,1119,19258,0,0,482,0,0,0,0
