frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,277.50,433.00,31.00,22.00,277.50,433.00,31.00,22.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3181,12743,0,0,0,0,0,0,0
1,0,1,0,LOW_PSR,4.6856,1.1489,54,36,-10,0.2778,277.50,433.00,31.00,22.00,274.00,438.50,24.00,21.00,0.4788,6.52,0,0,0.0000,NOT_RUN,0,681,2818,0,0,0,54,0,0,0,0
2,0,1,0,LOW_PSR,4.4738,1.0741,58,-15,-8,0.1552,277.50,433.00,31.00,22.00,271.00,438.50,26.00,21.00,0.4018,8.51,0,0,0.0000,NOT_RUN,0,681,2428,0,0,0,58,0,0,0,0
3,0,1,1,ACCEPT,9.1459,1.5128,118,-9,-8,0.0169,273.14,430.25,31.00,22.00,275.50,430.50,25.00,19.00,0.6965,2.37,1,0,3.1341,ACCEPT,0,694,2279,19645,0,0,118,0,0,0,0
4,0,1,1,ACCEPT,6.8158,1.3923,181,28,-4,0.0166,286.70,428.88,31.00,22.00,281.00,422.50,22.00,15.00,0.3319,8.55,1,0,3.3296,ACCEPT,0,1840,1949,28951,0,0,181,0,0,0,0
5,0,1,0,LOW_PSR,4.7281,1.0000,157,2,-6,0.0127,286.70,428.88,31.00,22.00,287.00,411.00,30.00,16.00,0.0299,17.88,0,0,0.0000,NOT_RUN,0,1554,1052,0,0,0,157,0,0,0,0
6,0,1,1,ACCEPT,5.2746,1.2333,148,-9,-39,0.2432,282.34,415.47,32.24,22.88,283.50,407.50,29.00,15.00,0.3723,8.05,1,1,3.0297,ACCEPT,0,1624,880,32767,0,0,148,0,0,0,0
7,0,1,1,ACCEPT,5.2794,1.2124,137,0,-5,0.1679,282.34,413.67,33.53,23.80,285.00,407.00,30.00,14.00,0.4129,7.18,1,1,2.9462,ACCEPT,0,1171,3221,10515,0,0,137,0,0,0,0
8,0,1,1,ACCEPT,6.3631,1.1625,93,-16,1,0.7312,273.97,414.05,36.27,25.74,285.00,404.00,28.00,14.00,0.1854,14.92,1,2,2.5181,ACCEPT,0,793,3079,8500,0,0,93,0,0,0,0
9,0,1,1,ACCEPT,6.5443,1.4091,93,-3,-2,0.7527,272.26,413.25,37.72,26.77,286.00,404.00,30.00,12.00,0.1749,16.57,1,1,2.7345,ACCEPT,0,603,2557,12372,0,0,93,0,0,0,0
10,0,1,1,ACCEPT,5.4606,1.1383,107,20,-4,0.4206,283.98,411.56,40.79,28.95,292.00,400.00,28.00,12.00,0.1834,14.07,1,2,2.8312,ACCEPT,0,813,2634,13302,0,0,107,0,0,0,0
11,0,1,1,ACCEPT,8.3779,1.7333,182,9,-3,0.1538,289.74,410.20,44.12,31.31,300.00,396.00,28.00,12.00,0.1261,17.52,1,2,2.7373,ACCEPT,0,920,2099,16287,0,0,182,0,0,0,0
12,0,1,1,ACCEPT,7.8370,1.2276,178,-1,-6,0.3652,289.05,407.25,45.89,32.57,303.50,395.50,35.00,13.00,0.1725,18.62,1,1,2.9452,ACCEPT,0,1020,1691,22703,0,0,178,0,0,0,0
13,0,1,1,ACCEPT,7.4572,1.1045,222,5,-5,0.1036,292.65,404.71,47.72,33.87,303.00,400.00,34.00,16.00,0.2919,11.37,1,1,2.9226,ACCEPT,0,1382,1791,16369,0,0,222,0,0,0,0
14,0,1,1,ACCEPT,9.8997,1.4525,260,2,-3,0.5346,294.13,403.12,49.63,35.22,301.50,401.50,31.00,13.00,0.2305,7.54,1,1,2.8707,ACCEPT,0,1395,1521,15037,0,0,260,0,0,0,0
15,0,1,1,ACCEPT,11.4678,1.7484,278,6,0,0.3309,298.77,403.12,51.62,36.63,294.50,404.00,31.00,16.00,0.2623,4.36,1,1,2.9159,ACCEPT,0,1253,1063,20172,0,0,278,0,0,0,0
16,0,1,1,ACCEPT,10.2518,1.3166,262,6,-2,0.1947,303.60,401.98,53.68,38.10,292.00,406.50,32.00,21.00,0.3183,12.45,1,1,2.7408,ACCEPT,0,1499,897,19480,0,0,262,0,0,0,0
17,0,1,1,ACCEPT,10.9845,1.2857,252,8,-1,0.2302,310.29,401.38,55.83,39.62,296.50,407.00,31.00,22.00,0.2907,14.89,1,1,3.0984,ACCEPT,0,1205,841,17580,0,0,252,0,0,0,0
18,0,1,1,ACCEPT,11.4784,1.2450,376,4,-6,0.1888,313.79,397.68,58.06,41.21,305.50,401.00,31.00,22.00,0.2851,8.93,1,1,3.1337,ACCEPT,0,1745,760,27809,0,0,376,0,0,0,0
