frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,275.00,720.50,72.00,35.00,275.00,720.50,72.00,35.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,6205,7584,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,22.0450,2.3134,310,0,-5,0.5452,275.00,717.77,72.00,35.00,276.50,717.00,73.00,36.00,0.9196,1.68,1,0,3.2935,ACCEPT,0,958,5852,5995,0,0,310,0,0,0,0
2,0,1,1,ACCEPT,16.6924,2.2973,255,-1,-5,0.5569,273.88,715.03,72.00,35.00,275.50,712.00,69.00,32.00,0.7981,3.44,1,0,2.9155,ACCEPT,0,1089,5524,6993,0,0,255,0,0,0,0
3,0,1,1,ACCEPT,16.3043,1.9671,299,-1,-5,0.5719,272.75,712.30,72.00,35.00,273.50,710.00,67.00,34.00,0.8172,2.42,1,0,3.1987,ACCEPT,0,1070,4907,7808,0,0,299,0,0,0,0
4,0,1,1,ACCEPT,14.2984,1.9506,316,-1,-6,0.4747,271.62,709.02,72.00,35.00,273.50,706.00,67.00,34.00,0.7846,3.55,1,0,3.0939,ACCEPT,0,1242,4690,8406,0,0,316,0,0,0,0
5,0,1,1,ACCEPT,14.0203,1.7805,365,-1,-7,0.4137,270.50,705.19,72.00,35.00,272.00,703.00,66.00,32.00,0.8056,2.65,1,0,3.0350,ACCEPT,0,1656,4571,7603,0,0,365,0,0,0,0
6,0,1,1,ACCEPT,12.6407,1.6083,386,-1,-2,0.8782,269.38,704.09,72.00,35.00,270.00,700.50,64.00,31.00,0.7178,3.65,1,0,3.0104,ACCEPT,0,1556,4263,7822,0,0,386,0,0,0,0
7,0,1,1,ACCEPT,13.1467,1.7317,426,0,-4,0.6690,269.38,701.91,72.00,35.00,274.50,697.00,73.00,30.00,0.6521,7.09,1,0,3.0619,ACCEPT,0,1934,3641,9325,0,0,426,0,0,0,0
8,0,1,1,ACCEPT,10.3972,1.5542,373,0,-5,0.7292,269.38,699.17,72.00,35.00,273.50,694.50,75.00,29.00,0.6773,6.23,1,0,3.1135,ACCEPT,0,2264,3306,13116,0,0,373,0,0,0,0
9,0,1,1,ACCEPT,8.4476,1.4300,429,0,-3,0.9207,269.38,697.53,72.00,35.00,273.50,693.00,75.00,30.00,0.6857,6.13,1,0,2.9326,ACCEPT,0,2983,3274,14603,0,0,429,0,0,0,0
10,0,1,1,ACCEPT,7.5116,1.2538,489,1,-5,0.7178,270.50,694.80,69.23,33.65,275.00,690.00,74.00,30.00,0.6631,6.58,1,-1,2.7027,ACCEPT,0,3595,2916,14597,0,0,489,0,0,0,0
11,0,1,1,ACCEPT,9.1803,1.4084,607,2,-5,0.6046,272.66,692.18,66.57,32.36,275.50,686.50,71.00,31.00,0.6493,6.35,1,-1,2.7196,ACCEPT,0,3426,2929,13370,0,0,607,0,0,0,0
12,0,1,1,ACCEPT,9.8476,1.3559,640,3,-4,0.5156,275.77,690.15,66.57,32.36,277.00,685.00,66.00,30.00,0.6939,5.29,1,0,2.9012,ACCEPT,0,3666,2579,12676,0,0,640,0,0,0,0
13,0,1,1,ACCEPT,9.7143,1.3803,588,1,-9,0.3112,276.81,685.58,64.01,31.11,274.00,681.00,62.00,30.00,0.6835,5.37,1,-1,2.7785,ACCEPT,0,3326,2412,12179,0,0,588,0,0,0,0
14,0,1,1,ACCEPT,10.1323,1.4748,643,-1,-8,0.3608,275.81,681.70,64.01,31.11,275.00,678.00,58.00,30.00,0.7164,3.79,1,0,2.9822,ACCEPT,0,3704,2037,12973,0,0,643,0,0,0,0
15,0,1,1,ACCEPT,11.5066,1.4912,677,-1,-12,0.1256,274.81,675.89,61.55,29.92,274.50,672.50,61.00,29.00,0.7862,3.40,1,-1,2.9251,ACCEPT,0,3895,1794,12678,0,0,677,0,0,0,0
16,0,1,1,ACCEPT,12.0286,1.5913,732,0,-9,0.3333,274.81,671.67,61.55,29.92,275.50,668.00,59.00,28.00,0.7455,3.74,1,0,3.0377,ACCEPT,0,3755,2169,12235,0,0,732,0,0,0,0
17,0,1,1,ACCEPT,12.5166,1.6881,866,0,-10,0.1617,274.81,666.98,61.55,29.92,275.00,665.00,58.00,30.00,0.8283,1.99,1,0,3.0762,ACCEPT,0,4568,1982,13682,0,0,866,0,0,0,0
