frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,297.00,455.50,154.00,229.00,297.00,455.50,154.00,229.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,9551,14645,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,49.6612,3.3180,1085,0,0,1.0000,297.00,455.50,154.00,229.00,298.50,449.50,149.00,217.00,0.9168,6.18,1,0,3.3389,ACCEPT,0,1596,8989,14548,0,0,1085,0,0,0,0
2,0,1,1,ACCEPT,48.9119,3.4836,1059,0,0,1.0000,297.00,455.50,154.00,229.00,294.00,450.00,152.00,218.00,0.9159,6.26,1,0,3.3497,ACCEPT,0,1572,8394,15096,0,0,1059,0,0,0,0
3,0,1,1,ACCEPT,47.0183,2.8459,1053,-1,0,0.9953,294.59,455.50,154.00,229.00,294.50,450.50,149.00,217.00,0.9168,5.00,1,0,3.2177,ACCEPT,0,1603,7825,15417,0,0,1053,0,0,0,0
4,0,1,1,ACCEPT,46.4302,3.2409,1063,-1,0,0.9746,292.19,455.50,154.00,229.00,292.00,450.50,150.00,217.00,0.9230,5.00,1,0,3.2344,ACCEPT,0,1629,7347,15260,0,0,1063,0,0,0,0
5,0,1,1,ACCEPT,47.3402,3.4132,1082,0,0,1.0000,292.19,455.50,154.00,229.00,292.50,450.50,149.00,217.00,0.9168,5.01,1,0,3.2972,ACCEPT,0,1641,6962,15637,0,0,1082,0,0,0,0
6,0,1,1,ACCEPT,47.3585,3.4321,1112,-1,0,0.9694,289.78,455.50,154.00,229.00,289.50,449.50,149.00,217.00,0.9168,6.01,1,0,3.3466,ACCEPT,0,1763,6582,16338,0,0,1112,0,0,0,0
7,0,1,1,ACCEPT,47.5565,3.2841,1133,-1,0,0.9806,287.38,455.50,154.00,229.00,288.00,449.50,150.00,217.00,0.9230,6.03,1,0,3.2979,ACCEPT,0,1715,6147,16699,0,0,1133,0,0,0,0
8,0,1,1,ACCEPT,47.3020,3.1927,1143,0,0,1.0000,287.38,455.50,154.00,229.00,286.00,449.50,148.00,217.00,0.9107,6.16,1,0,3.2823,ACCEPT,0,1762,5778,16335,0,0,1143,0,0,0,0
9,0,1,1,ACCEPT,46.9151,3.2080,1126,-1,0,0.9796,284.97,455.50,154.00,229.00,285.50,449.50,147.00,217.00,0.9045,6.02,1,0,3.3327,ACCEPT,0,1721,5440,16297,0,0,1126,0,0,0,0
