frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,186.50,324.00,231.00,76.00,186.50,324.00,231.00,76.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3640,8784,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,36.0416,3.0530,403,0,-2,0.8288,186.50,321.62,231.00,76.00,186.50,321.50,231.00,79.00,0.9620,0.12,1,0,3.2282,ACCEPT,0,796,3182,9806,0,0,403,0,0,0,0
2,0,1,1,ACCEPT,37.7201,3.2154,418,0,-1,0.9928,186.50,320.44,231.00,76.00,186.50,321.50,231.00,79.00,0.9620,1.06,1,0,3.2241,ACCEPT,0,863,3109,10705,0,0,418,0,0,0,0
3,0,1,1,ACCEPT,30.5022,2.7383,408,0,0,1.0000,186.50,320.44,231.00,76.00,186.00,317.00,232.00,74.00,0.9086,3.47,1,0,3.1354,ACCEPT,0,924,3105,11907,0,0,408,0,0,0,0
4,0,1,1,ACCEPT,19.2968,2.3571,363,0,-3,0.7631,186.50,316.88,222.12,73.08,186.50,312.50,231.00,85.00,0.8267,4.38,1,-1,2.9929,ACCEPT,0,1020,2954,13606,0,0,363,0,0,0,0
5,0,1,1,ACCEPT,19.6789,2.0419,439,0,0,1.0000,186.50,316.88,222.12,73.08,186.50,312.50,231.00,85.00,0.8267,4.38,1,0,3.0938,ACCEPT,0,1312,2992,13780,0,0,439,0,0,0,0
6,0,1,1,ACCEPT,18.1090,2.0336,484,0,-2,0.8967,186.50,314.59,222.12,73.08,186.50,310.00,229.00,86.00,0.8242,4.59,1,0,2.9273,ACCEPT,0,1562,3007,13887,0,0,484,0,0,0,0
7,0,1,1,ACCEPT,15.6680,1.6825,530,1,-4,0.6774,189.97,310.03,222.12,73.08,188.00,305.50,226.00,85.00,0.8448,4.94,1,0,2.8827,ACCEPT,0,2058,2935,14784,0,0,530,0,0,0,0
8,0,1,1,ACCEPT,17.0246,1.8469,748,0,0,1.0000,189.97,310.03,222.12,73.08,188.00,305.50,226.00,85.00,0.8448,4.94,1,0,2.9022,ACCEPT,0,2621,2953,16010,0,0,748,0,0,0,0
9,0,1,1,ACCEPT,15.9365,1.6300,859,0,-2,0.9418,189.97,307.75,222.12,73.08,188.50,301.50,225.00,91.00,0.7926,6.42,1,0,2.9735,ACCEPT,0,3231,2956,14742,0,0,859,0,0,0,0
10,0,1,1,ACCEPT,11.6939,1.2403,733,1,-4,0.7258,193.44,303.19,231.00,76.00,189.50,293.00,227.00,92.00,0.7611,10.92,1,1,2.4079,ACCEPT,0,3299,2693,16874,0,0,733,0,0,0,0
11,0,1,1,ACCEPT,12.5285,1.3419,840,0,0,1.0000,193.44,303.19,231.00,76.00,189.50,293.00,227.00,92.00,0.7611,10.92,1,0,2.5479,ACCEPT,0,3379,2618,16911,0,0,840,0,0,0,0
12,0,1,1,ACCEPT,11.4007,1.2000,762,0,-2,0.9291,193.44,300.81,231.00,76.00,190.50,289.00,221.00,94.00,0.7300,12.17,1,0,2.4557,ACCEPT,0,3349,2490,19502,0,0,762,0,0,0,0
13,0,1,1,ACCEPT,10.2169,1.1677,738,1,-9,0.5908,197.05,290.12,231.00,76.00,191.50,286.00,217.00,106.00,0.6853,6.91,1,0,2.0976,ACCEPT,0,3902,2149,21521,0,0,738,0,0,0,0
14,0,1,1,ACCEPT,11.6122,1.2944,941,0,0,1.0000,197.05,290.12,231.00,76.00,191.50,286.00,217.00,106.00,0.6853,6.91,1,0,2.1657,ACCEPT,0,4457,2500,18058,0,0,941,0,0,0,0
15,0,1,1,ACCEPT,13.2344,1.4286,920,1,-2,0.9467,200.66,287.75,222.12,73.08,193.00,284.00,214.00,110.00,0.6302,8.53,1,-1,2.2053,ACCEPT,0,4047,2475,17796,0,0,920,0,0,0,0
16,0,1,1,ACCEPT,11.5394,1.3926,791,1,-4,0.8205,204.12,283.19,222.12,73.08,198.50,282.50,205.00,103.00,0.6698,5.67,1,-1,1.9461,LOW_CONF,0,4459,2395,18560,0,0,791,0,0,0,0
