frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,642.00,1121.50,54.00,41.00,642.00,1121.50,54.00,41.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,5839,5571,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,6.9666,1.3529,92,-3,5,0.5109,639.47,1124.70,54.00,41.00,626.50,1123.00,61.00,32.00,0.5199,13.08,1,0,2.9366,ACCEPT,0,669,3510,5665,0,0,92,0,0,0,0
2,0,1,1,ACCEPT,7.9401,1.0461,159,-22,5,0.0629,620.91,1127.91,54.00,41.00,621.00,1117.50,60.00,45.00,0.5581,10.41,1,0,2.3112,ACCEPT,0,1154,3774,8613,0,0,159,0,0,0,0
3,0,1,0,NEGATIVE_PEAK,-7.9005,1.2431,-179,-1,17,0.3240,620.91,1127.91,54.00,41.00,621.50,1088.00,61.00,32.00,0.0000,39.91,0,0,0.0000,NOT_RUN,0,1363,1841,0,0,0,179,0,0,0,0
4,0,1,0,NEGATIVE_PEAK,-6.3469,1.2316,-117,5,24,0.3675,620.91,1127.91,54.00,41.00,602.50,1065.00,25.00,28.00,0.0000,65.54,0,0,0.0000,NOT_RUN,0,1080,1565,0,0,0,117,0,0,0,0
5,0,1,0,NEGATIVE_PEAK,-7.1023,1.1927,-130,-38,-23,0.2462,620.91,1127.91,54.00,41.00,629.00,1024.00,68.00,42.00,0.0000,104.22,0,0,0.0000,NOT_RUN,0,1125,1301,0,0,0,130,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-9.7175,1.4122,-185,-33,-15,0.0595,620.91,1127.91,54.00,41.00,641.00,986.00,78.00,70.00,0.0000,143.32,0,0,0.0000,NOT_RUN,0,1154,1404,0,0,0,185,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-10.0804,1.4083,-238,-29,-5,0.0546,620.91,1127.91,54.00,41.00,642.50,954.00,75.00,62.00,0.0000,175.24,0,0,0.0000,NOT_RUN,0,1588,1260,0,0,0,238,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-9.3519,1.4550,-275,-25,7,0.1309,620.91,1127.91,54.00,41.00,637.00,949.00,74.00,68.00,0.0000,179.63,0,0,0.0000,NOT_RUN,0,1978,1301,0,0,0,275,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-9.5899,1.3587,-303,-20,15,0.2013,620.91,1127.91,54.00,41.00,636.00,939.00,48.00,58.00,0.0000,189.51,0,0,0.0000,NOT_RUN,0,2182,1144,0,0,0,303,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-7.9993,1.0502,-272,-15,25,0.4154,620.91,1127.91,54.00,41.00,624.50,921.00,33.00,62.00,0.0000,206.94,0,0,0.0000,NOT_RUN,0,2354,1265,0,0,0,272,0,0,0,0
11,0,1,1,ACCEPT,7.4007,1.2550,251,4,15,0.4502,624.28,1137.52,54.00,41.00,622.50,910.00,49.00,60.00,0.0000,227.52,1,0,3.0498,ACCEPT,0,2328,1238,23237,0,0,251,0,0,0,0
12,0,1,1,ACCEPT,10.2708,1.5380,243,5,10,0.3498,628.50,1143.92,54.00,41.00,621.50,894.00,59.00,60.00,0.0000,250.02,1,0,3.0054,ACCEPT,0,1563,1192,23392,0,0,243,0,0,0,0
13,0,1,1,ACCEPT,11.4979,1.6323,253,4,11,0.3241,631.88,1150.97,54.00,41.00,607.00,872.50,64.00,57.00,0.0000,279.58,1,0,3.0702,ACCEPT,0,1232,955,26846,0,0,253,0,0,0,0
14,0,1,1,ACCEPT,12.7206,1.8192,322,5,11,0.3199,636.09,1158.02,54.00,41.00,597.50,864.50,51.00,61.00,0.0000,296.04,1,0,3.0515,ACCEPT,0,1247,947,24777,0,0,322,0,0,0,0
15,0,1,1,ACCEPT,13.6058,2.0286,355,4,11,0.3324,639.47,1165.06,54.00,41.00,586.50,862.50,49.00,45.00,0.0000,307.16,1,0,3.0777,ACCEPT,0,1302,840,26293,0,0,355,0,0,0,0
16,0,1,1,ACCEPT,10.1892,1.7697,315,5,11,0.3873,643.69,1172.11,54.00,41.00,585.00,849.50,44.00,49.00,0.0000,327.90,1,0,2.9667,ACCEPT,0,1581,967,24886,0,0,315,0,0,0,0
17,0,1,1,ACCEPT,13.3282,2.1135,391,4,10,0.3581,647.06,1178.52,54.00,41.00,582.50,845.50,49.00,47.00,0.0000,339.22,1,0,3.0078,ACCEPT,0,1422,1230,18855,0,0,391,0,0,0,0
18,0,1,1,ACCEPT,14.3711,1.9771,346,4,10,0.3150,650.44,1184.92,54.00,41.00,578.50,834.00,49.00,42.00,0.0000,358.22,1,0,3.0329,ACCEPT,0,1219,929,25603,0,0,346,0,0,0,0
19,0,1,1,ACCEPT,15.7809,2.5250,404,3,13,0.3094,652.97,1193.25,54.00,41.00,581.00,819.00,54.00,34.00,0.0000,381.11,1,0,3.0521,ACCEPT,0,1260,963,23610,0,0,404,0,0,0,0
20,0,1,1,ACCEPT,16.2755,2.0524,470,3,9,0.2298,655.50,1199.02,54.00,41.00,577.50,815.50,51.00,55.00,0.0000,391.37,1,0,3.0837,ACCEPT,0,1343,982,24913,0,0,470,0,0,0,0
21,0,1,1,ACCEPT,17.2875,2.6178,500,2,11,0.2780,657.19,1206.06,54.00,41.00,577.50,810.50,51.00,71.00,0.0000,403.51,1,0,3.0575,ACCEPT,0,1379,909,24881,0,0,500,0,0,0,0
22,0,1,1,ACCEPT,18.3473,3.0186,486,5,12,0.1831,661.41,1213.75,54.00,41.00,580.50,811.00,49.00,62.00,0.0000,410.80,1,0,3.1319,ACCEPT,0,1352,992,19938,0,0,486,0,0,0,0
23,0,1,1,ACCEPT,21.1500,3.1429,528,4,10,0.2254,664.78,1220.16,54.00,41.00,579.50,807.50,39.00,69.00,0.0000,421.38,1,0,3.1335,ACCEPT,0,1253,1180,16414,0,0,528,0,0,0,0
24,0,1,1,ACCEPT,23.0323,3.8553,613,2,11,0.2153,666.47,1227.20,54.00,41.00,580.00,811.00,30.00,70.00,0.0000,425.09,1,0,3.1972,ACCEPT,0,1355,1188,16650,0,0,613,0,0,0,0
25,0,1,1,ACCEPT,23.3353,4.1849,611,4,13,0.1735,669.84,1235.53,54.00,41.00,581.00,814.00,22.00,72.00,0.0000,430.79,1,0,3.2207,ACCEPT,0,1396,1162,15693,0,0,611,0,0,0,0
26,0,1,1,ACCEPT,23.9847,3.6548,614,3,13,0.1433,672.38,1243.86,54.00,41.00,580.50,824.00,29.00,66.00,0.0000,429.79,1,0,3.2165,ACCEPT,0,1301,1246,13832,0,0,614,0,0,0,0
27,0,1,1,ACCEPT,23.4559,3.4269,586,5,14,0.1024,676.59,1252.83,54.00,41.00,579.50,831.50,37.00,71.00,0.0000,432.37,1,0,3.1824,ACCEPT,0,1268,1166,13054,0,0,586,0,0,0,0
