frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,291.00,313.50,24.00,13.00,291.00,313.50,24.00,13.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,4680,12924,0,0,0,0,0,0,0
1,0,1,0,NEGATIVE_PEAK,-4.6968,1.1875,-57,9,12,0.7018,291.00,313.50,24.00,13.00,293.50,304.50,23.00,13.00,0.1594,9.34,0,0,0.0000,NOT_RUN,0,654,2699,0,0,0,57,0,0,0,0
2,0,1,0,NEGATIVE_PEAK,-3.5010,1.0000,-19,9,-35,0.3684,291.00,313.50,24.00,13.00,299.50,292.50,23.00,11.00,0.0000,22.66,0,0,0.0000,NOT_RUN,0,302,3429,0,0,0,19,0,0,0,0
3,0,1,0,LOW_PSR,4.9692,1.2241,71,16,-5,0.3521,291.00,313.50,24.00,13.00,293.00,277.00,26.00,12.00,0.0000,36.55,0,0,0.0000,NOT_RUN,0,957,1973,0,0,0,71,0,0,0,0
4,0,1,0,NEGATIVE_PEAK,-4.0626,1.1351,-42,15,-9,0.3810,291.00,313.50,24.00,13.00,292.50,264.50,25.00,13.00,0.0000,49.02,0,0,0.0000,NOT_RUN,0,636,1946,0,0,0,42,0,0,0,0
5,0,1,0,NEGATIVE_PEAK,-3.3954,1.0541,-39,64,25,0.3590,291.00,313.50,24.00,13.00,299.00,254.50,26.00,11.00,0.0000,59.54,0,0,0.0000,NOT_RUN,0,830,2949,0,0,0,39,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-4.1794,1.1429,-24,15,-31,0.0833,291.00,313.50,24.00,13.00,284.50,243.50,25.00,11.00,0.0000,70.30,0,0,0.0000,NOT_RUN,0,449,3399,0,0,0,24,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-3.5191,1.0909,-12,-8,10,0.3333,291.00,313.50,24.00,13.00,273.00,237.50,26.00,11.00,0.0000,78.10,0,0,0.0000,NOT_RUN,0,254,7903,0,0,0,12,0,0,0,0
8,0,1,0,LOW_PSR,3.3567,1.0000,23,32,11,0.1739,291.00,313.50,24.00,13.00,267.00,234.50,24.00,13.00,0.0000,82.57,0,0,0.0000,NOT_RUN,0,660,1986,0,0,0,23,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-3.7502,1.1111,-30,19,19,0.0333,291.00,313.50,24.00,13.00,248.00,226.00,26.00,10.00,0.0000,97.49,0,0,0.0000,NOT_RUN,0,812,1409,0,0,0,30,0,0,0,0
