frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,59.00,352.00,40.00,40.00,59.00,352.00,40.00,40.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3165,30487,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,5.1781,1.0945,301,-8,3,0.4153,54.00,353.88,40.00,40.00,52.50,352.50,43.00,35.00,0.8211,2.03,1,0,2.5494,ACCEPT,0,3535,3478,9868,0,0,301,0,0,0,0
2,0,1,1,ACCEPT,7.0790,1.6292,145,-15,1,0.0828,44.62,354.50,38.46,38.46,45.50,351.00,47.00,32.00,0.6923,3.61,1,-1,2.4460,ACCEPT,0,1817,2970,30463,0,0,145,0,0,0,0
3,0,1,1,ACCEPT,11.3653,1.8790,466,-13,-1,0.2403,36.80,353.90,36.98,36.98,40.50,352.00,51.00,34.00,0.6682,4.15,1,-1,2.8947,ACCEPT,0,2526,2111,32767,0,0,466,0,0,0,0
4,0,1,1,ACCEPT,8.3163,1.6557,351,-6,5,0.5954,33.34,356.79,36.98,36.98,37.50,352.50,51.00,39.00,0.5906,5.98,1,0,2.9762,ACCEPT,0,2479,2886,26750,0,0,351,0,0,0,0
5,0,1,1,ACCEPT,10.6571,1.8622,581,1,6,0.4613,33.91,360.26,36.98,36.98,39.50,357.00,53.00,40.00,0.5964,6.47,1,0,2.8420,ACCEPT,0,3081,2663,29345,0,0,581,0,0,0,0
6,0,1,1,ACCEPT,11.5120,1.6836,596,10,7,0.0688,39.70,364.30,36.98,36.98,43.00,365.00,48.00,40.00,0.7123,3.38,1,0,2.5072,ACCEPT,0,2668,1271,32766,0,0,596,0,0,0,0
7,0,1,1,ACCEPT,9.3753,1.2151,452,13,9,0.0288,47.21,369.51,36.98,36.98,52.00,370.00,44.00,38.00,0.7679,4.81,1,0,2.5003,ACCEPT,0,2894,1706,32733,0,0,452,0,0,0,0
8,0,1,1,ACCEPT,10.5302,1.4394,606,15,9,0.1040,55.88,374.71,36.98,36.98,58.00,375.00,44.00,40.00,0.7771,2.14,1,0,2.8683,ACCEPT,0,2998,3301,28292,0,0,606,0,0,0,0
9,0,1,1,ACCEPT,7.8213,1.2334,576,17,12,0.4219,65.71,381.65,36.98,36.98,66.00,378.50,40.00,39.00,0.7861,3.16,1,0,2.6272,ACCEPT,0,3415,1983,24481,0,0,576,0,0,0,0
10,0,1,1,ACCEPT,5.9130,1.2675,308,14,8,0.2240,73.80,386.27,35.56,35.56,73.50,383.00,45.00,40.00,0.6678,3.29,1,-1,2.2510,ACCEPT,0,2557,1475,19921,0,0,308,0,0,0,0
11,0,1,1,ACCEPT,7.4978,1.7757,380,11,3,0.2105,79.91,387.94,35.56,35.56,79.50,386.50,45.00,39.00,0.7205,1.49,1,0,2.5186,ACCEPT,0,2211,1847,19556,0,0,380,0,0,0,0
12,0,1,1,ACCEPT,10.2525,1.5682,563,4,-6,0.3837,82.12,384.61,35.56,35.56,82.00,379.50,40.00,41.00,0.6838,5.11,1,0,2.6966,ACCEPT,0,2401,1656,28238,0,0,563,0,0,0,0
13,0,1,1,ACCEPT,7.9513,1.5178,554,-9,-11,0.1209,77.13,378.51,35.56,35.56,77.00,379.00,46.00,36.00,0.7533,0.51,1,0,2.9462,ACCEPT,0,3401,1675,22463,0,0,554,0,0,0,0
14,0,1,1,ACCEPT,7.4579,1.2626,375,-17,-14,0.1467,67.70,370.74,34.19,34.19,72.00,370.50,44.00,41.00,0.6481,4.30,1,-1,2.8569,ACCEPT,0,1980,3283,17899,0,0,375,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-5.1228,1.0230,-311,15,-13,0.1768,67.70,370.74,34.19,34.19,65.50,362.00,49.00,42.00,0.4514,9.02,0,0,0.0000,NOT_RUN,0,2447,2266,0,0,0,311,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-4.0219,1.0532,-277,-6,-10,0.0181,67.70,370.74,34.19,34.19,55.50,353.50,47.00,43.00,0.2347,21.12,0,0,0.0000,NOT_RUN,0,2740,1685,0,0,0,277,0,0,0,0
