frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,367.00,198.00,104.00,128.00,367.00,198.00,104.00,128.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2449,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,27.4606,2.5373,987,-1,0,0.9352,365.38,198.00,104.00,128.00,366.00,203.50,106.00,137.00,0.9030,5.54,1,0,2.8762,ACCEPT,0,1825,2218,32767,0,0,987,0,0,0,0
2,0,1,1,ACCEPT,14.4676,1.6111,696,1,4,0.6595,367.00,206.00,104.00,128.00,372.00,214.00,106.00,140.00,0.8102,9.43,1,0,2.8539,ACCEPT,0,2546,2189,32767,0,0,696,0,0,0,0
3,0,1,1,ACCEPT,11.2683,1.4145,587,0,8,0.5894,367.00,222.00,108.16,133.12,371.50,222.00,107.00,136.00,0.9011,4.50,1,1,2.7857,ACCEPT,0,2700,1996,32767,0,0,587,0,0,0,0
4,0,1,1,ACCEPT,12.0712,1.6631,627,-3,10,0.1994,361.94,242.78,108.16,133.12,370.00,232.00,102.00,132.00,0.7362,13.46,1,0,2.6776,ACCEPT,0,3396,1698,32767,0,0,627,0,0,0,0
5,0,1,1,ACCEPT,11.2991,1.7112,640,0,7,0.4094,361.94,257.33,108.16,133.12,374.00,243.50,108.00,131.00,0.6603,18.35,1,0,2.4594,ACCEPT,0,3579,1916,32767,0,0,640,0,0,0,0
6,0,1,1,ACCEPT,9.5709,1.4659,623,0,4,0.8138,361.94,265.64,108.16,133.12,369.00,257.50,98.00,123.00,0.7708,10.78,1,0,2.7377,ACCEPT,0,3813,1924,32766,0,0,623,0,0,0,0
7,0,1,1,ACCEPT,9.2406,1.8223,636,1,3,0.7940,363.62,271.88,108.16,133.12,367.50,265.00,99.00,120.00,0.8212,7.89,1,0,2.7614,ACCEPT,0,2983,1936,32767,0,0,636,0,0,0,0
8,0,1,1,ACCEPT,6.4498,1.6000,432,-3,4,0.7384,358.56,280.19,108.16,133.12,367.50,269.00,101.00,122.00,0.7139,14.32,1,0,1.9104,LOW_CONF,0,2383,1794,32767,0,0,432,0,0,0,0
9,0,1,1,ACCEPT,7.1866,1.5706,512,1,5,0.5684,360.25,290.58,108.16,133.12,368.50,273.00,101.00,128.00,0.6619,19.42,1,0,1.8731,LOW_CONF,0,3233,2067,32767,0,0,512,0,0,0,0
