frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,213.50,547.50,29.00,55.00,213.50,547.50,29.00,55.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,504,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,8.2227,1.5263,58,0,-15,0.1897,213.50,534.61,29.00,55.00,212.50,535.50,33.00,57.00,0.8480,1.34,1,0,2.8224,ACCEPT,0,447,1124,32767,0,0,58,0,0,0,0
2,0,1,1,ACCEPT,10.1464,1.3226,82,0,-7,0.5000,213.50,528.59,29.00,55.00,211.00,527.50,34.00,57.00,0.8205,2.73,1,0,2.6993,ACCEPT,0,379,2040,32767,0,0,82,0,0,0,0
3,0,1,0,NEGATIVE_PEAK,-4.7696,1.0098,-103,-26,28,0.3495,213.50,528.59,29.00,55.00,211.50,514.50,35.00,49.00,0.4973,14.23,0,0,0.0000,NOT_RUN,0,1322,2718,0,0,0,103,0,0,0,0
4,0,1,0,LOW_PSR,3.6453,1.0100,101,-12,-15,0.1188,213.50,528.59,29.00,55.00,212.50,504.50,31.00,53.00,0.3658,24.11,0,0,0.0000,NOT_RUN,0,2856,3955,0,0,0,101,0,0,0,0
5,0,1,0,NEGATIVE_PEAK,-3.7620,1.0235,-87,-3,0,0.6782,213.50,528.59,29.00,55.00,212.50,496.50,29.00,51.00,0.2352,32.11,0,0,0.0000,NOT_RUN,0,2072,3016,0,0,0,87,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-4.2605,1.1786,-66,-13,-13,0.3636,213.50,528.59,29.00,55.00,210.50,483.00,31.00,46.00,0.0459,45.69,0,0,0.0000,NOT_RUN,0,1052,4334,0,0,0,66,0,0,0,0
7,0,1,0,LOW_PSR,4.5025,1.3659,56,-19,12,0.1429,213.50,528.59,29.00,55.00,206.50,465.00,31.00,42.00,0.0000,63.98,0,0,0.0000,NOT_RUN,0,967,4879,0,0,0,56,0,0,0,0
8,0,1,0,LOW_PSR,4.0146,1.2553,59,-22,10,0.2034,213.50,528.59,29.00,55.00,204.00,456.50,32.00,43.00,0.0000,72.72,0,0,0.0000,NOT_RUN,0,1271,5349,0,0,0,59,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-3.1338,1.0455,-46,-19,-15,0.1087,213.50,528.59,29.00,55.00,202.50,444.50,41.00,39.00,0.0000,84.81,0,0,0.0000,NOT_RUN,0,1100,5209,0,0,0,46,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-3.2771,1.0000,-54,-19,-16,0.1111,213.50,528.59,29.00,55.00,204.50,434.50,51.00,45.00,0.0000,94.52,0,0,0.0000,NOT_RUN,0,1347,4380,0,0,0,54,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-4.5392,1.1356,-67,-18,-16,0.0299,213.50,528.59,29.00,55.00,205.00,428.50,52.00,43.00,0.0000,100.45,0,0,0.0000,NOT_RUN,0,1118,3987,0,0,0,67,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-4.0108,1.0926,-59,-20,-19,0.0678,213.50,528.59,29.00,55.00,199.00,416.00,56.00,46.00,0.0000,113.52,0,0,0.0000,NOT_RUN,0,997,4273,0,0,0,59,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-3.8493,1.0435,-48,-23,-23,0.2292,213.50,528.59,29.00,55.00,193.50,400.50,59.00,53.00,0.0000,129.65,0,0,0.0000,NOT_RUN,0,854,3317,0,0,0,48,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-4.2437,1.2222,-55,-23,-25,0.4182,213.50,528.59,29.00,55.00,195.00,393.50,60.00,57.00,0.0000,136.35,0,0,0.0000,NOT_RUN,0,1045,2901,0,0,0,55,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-4.0674,1.1667,-42,-24,-6,0.1190,213.50,528.59,29.00,55.00,189.50,379.50,59.00,55.00,0.0000,151.01,0,0,0.0000,NOT_RUN,0,747,2971,0,0,0,42,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-4.0758,1.0312,-33,-31,38,0.1818,213.50,528.59,29.00,55.00,186.00,368.50,52.00,51.00,0.0000,162.44,0,0,0.0000,NOT_RUN,0,520,2633,0,0,0,33,0,0,0,0
17,0,1,0,NEGATIVE_PEAK,-4.2763,1.0833,-26,-20,30,0.1538,213.50,528.59,29.00,55.00,183.50,362.00,55.00,52.00,0.0000,169.27,0,0,0.0000,NOT_RUN,0,357,1052,0,0,0,26,0,0,0,0
