frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,212.00,524.00,28.00,20.00,212.00,524.00,28.00,20.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3485,11536,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,9.2496,2.0000,78,5,27,0.0256,214.19,532.44,28.00,20.00,213.00,533.50,28.00,19.00,0.8272,1.59,1,0,3.0773,ACCEPT,0,637,1883,13912,0,0,78,0,0,0,0
2,0,1,1,ACCEPT,7.7808,1.4000,105,15,31,0.2000,220.75,542.12,28.00,20.00,219.50,543.00,27.00,20.00,0.8396,1.53,1,0,2.9569,ACCEPT,0,745,1004,22935,0,0,105,0,0,0,0
3,0,1,1,ACCEPT,9.0702,1.6044,146,14,25,0.0068,226.88,549.94,28.00,20.00,225.50,551.00,31.00,20.00,0.8161,1.74,1,0,2.8788,ACCEPT,0,788,1425,20443,0,0,146,0,0,0,0
4,0,1,1,ACCEPT,10.0584,1.8955,127,9,-4,0.0236,230.81,548.69,28.00,20.00,229.00,550.50,28.00,19.00,0.7366,2.56,1,0,2.7630,ACCEPT,0,713,2993,8186,0,0,127,0,0,0,0
5,0,1,1,ACCEPT,8.8783,1.6667,100,1,-5,0.6000,231.25,547.12,26.92,19.23,230.50,549.50,27.00,19.00,0.7413,2.49,1,-1,2.7004,ACCEPT,0,485,2714,9655,0,0,100,0,0,0,0
6,0,1,1,ACCEPT,5.1687,1.1828,110,6,-26,0.2909,233.78,539.41,26.92,19.23,232.00,541.00,26.00,20.00,0.7501,2.39,1,0,2.9377,ACCEPT,0,1136,3613,6828,0,0,110,0,0,0,0
7,0,1,1,ACCEPT,6.8866,1.6761,119,10,-27,0.0756,238.00,531.39,26.92,19.23,237.00,531.00,26.00,16.00,0.7740,1.07,1,0,2.8455,ACCEPT,0,1088,4349,4979,0,0,119,0,0,0,0
8,0,1,1,ACCEPT,6.3088,1.2759,111,9,-37,0.3514,241.80,520.41,26.92,19.23,239.50,520.00,25.00,16.00,0.7023,2.33,1,0,2.9114,ACCEPT,0,809,3610,5193,0,0,111,0,0,0,0
9,0,1,1,ACCEPT,10.0126,1.4795,108,-2,-16,0.1296,240.95,515.66,26.92,19.23,239.50,516.50,29.00,19.00,0.8288,1.68,1,0,3.1074,ACCEPT,0,517,2800,6806,0,0,108,0,0,0,0
