frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,557.50,338.50,49.00,13.00,557.50,338.50,49.00,13.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,5746,6515,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,11.1564,1.6667,80,-9,3,0.1625,550.61,339.11,49.00,13.00,562.50,317.00,47.00,12.00,0.0000,25.10,1,-2,1.9606,LOW_CONF,0,418,5740,5684,0,0,80,0,0,0,0
2,0,1,1,ACCEPT,11.1686,1.4783,68,-24,7,0.1176,532.23,340.53,49.00,13.00,544.50,316.00,43.00,16.00,0.0000,27.43,1,-3,2.0291,MAX_STEP,0,362,6598,5059,0,0,68,0,0,0,0
3,0,1,1,ACCEPT,8.2066,1.1935,37,-17,-11,0.2162,519.22,338.30,49.00,13.00,556.50,311.50,49.00,15.00,0.0000,45.91,1,5,2.4420,MAX_STEP,0,310,3060,6673,0,0,37,0,0,0,0
4,0,1,1,ACCEPT,7.2024,1.3571,19,33,3,0.0526,544.48,338.91,49.00,13.00,543.50,336.00,47.00,16.00,0.6456,3.07,1,0,3.4241,ACCEPT,0,109,1849,7459,0,0,19,0,0,0,0
5,0,1,0,NEGATIVE_PEAK,-5.5398,1.2857,-9,-33,-5,0.2222,544.48,338.91,49.00,13.00,534.50,324.50,41.00,17.00,0.0158,17.53,0,0,0.0000,NOT_RUN,0,75,4797,0,0,0,9,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-5.1303,1.2500,-5,-41,-33,0.4000,544.48,338.91,49.00,13.00,0.00,0.00,0.00,0.00,0.0000,641.34,0,0,0.0000,NOT_RUN,0,56,9183,0,0,0,5,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-5.7266,1.2500,-5,4,-3,0.6000,544.48,338.91,49.00,13.00,483.50,297.50,41.00,15.00,0.0000,73.71,0,0,0.0000,NOT_RUN,0,45,8420,0,0,0,5,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-3.5619,1.0000,-3,19,-5,0.3333,544.48,338.91,49.00,13.00,472.50,295.50,49.00,15.00,0.0000,84.06,0,0,0.0000,NOT_RUN,0,39,5000,0,0,0,4,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-3.8809,1.0000,-6,5,9,0.1667,544.48,338.91,49.00,13.00,464.00,305.50,46.00,17.00,0.0000,87.14,0,0,0.0000,NOT_RUN,0,77,1732,0,0,0,6,0,0,0,0
