frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,530.50,632.00,89.00,70.00,530.50,632.00,89.00,70.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2383,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,27.4515,2.6552,462,0,0,1.0000,530.50,632.00,89.00,70.00,525.50,628.50,85.00,73.00,0.8129,6.10,1,0,3.2859,ACCEPT,0,1023,2177,32767,0,0,462,0,0,0,0
2,0,1,1,ACCEPT,17.8179,2.3836,348,0,0,1.0000,530.50,632.00,89.00,70.00,528.00,628.50,80.00,73.00,0.8205,4.30,1,0,2.9037,ACCEPT,0,1049,1913,32767,0,0,348,0,0,0,0
3,0,1,1,ACCEPT,17.3645,2.2482,317,0,0,1.0000,530.50,632.00,89.00,70.00,523.50,627.50,87.00,71.00,0.7571,8.32,1,0,3.3210,ACCEPT,0,1027,1985,32767,0,0,317,0,0,0,0
4,0,1,1,ACCEPT,15.8986,2.0897,326,1,0,0.9755,531.89,632.00,89.00,70.00,524.00,628.00,86.00,72.00,0.7525,8.85,1,0,3.2681,ACCEPT,0,1030,1819,32767,0,0,326,0,0,0,0
5,0,1,1,ACCEPT,15.2411,1.7953,307,1,0,0.9902,533.28,632.00,89.00,70.00,526.50,628.50,89.00,73.00,0.7835,7.63,1,0,2.9242,ACCEPT,0,963,1605,32767,0,0,307,0,0,0,0
6,0,1,1,ACCEPT,13.4089,1.4714,334,0,1,0.9880,533.28,633.09,92.56,72.80,526.00,628.00,94.00,74.00,0.7512,8.89,1,1,2.7566,ACCEPT,0,1173,1663,32767,0,0,334,0,0,0,0
7,0,1,1,ACCEPT,14.7417,1.7449,424,0,0,1.0000,533.28,633.09,92.56,72.80,527.00,629.50,96.00,77.00,0.7988,7.24,1,0,2.6943,ACCEPT,0,1582,1585,32767,0,0,424,0,0,0,0
8,0,1,1,ACCEPT,13.0700,1.6696,379,0,0,1.0000,533.28,633.09,92.56,72.80,531.00,630.00,100.00,78.00,0.8530,3.84,1,0,2.7190,ACCEPT,0,1658,1395,32767,0,0,379,0,0,0,0
9,0,1,1,ACCEPT,11.2159,1.7447,328,0,0,1.0000,533.28,633.09,92.56,72.80,537.00,629.50,86.00,77.00,0.8404,5.17,1,0,3.2574,ACCEPT,0,1709,1124,32767,0,0,328,0,0,0,0
10,0,1,1,ACCEPT,11.3809,1.5381,303,0,0,1.0000,533.28,633.09,92.56,72.80,539.00,630.50,90.00,75.00,0.8259,6.28,1,0,3.2998,ACCEPT,0,1374,903,32767,0,0,303,0,0,0,0
11,0,1,1,ACCEPT,10.9233,1.4513,283,0,0,1.0000,533.28,633.09,92.56,72.80,538.50,632.00,91.00,70.00,0.8596,5.33,1,0,3.1398,ACCEPT,0,1322,830,32767,0,0,283,0,0,0,0
12,0,1,1,ACCEPT,10.6194,1.3465,307,0,0,1.0000,533.28,633.09,92.56,72.80,540.50,630.50,93.00,71.00,0.8001,7.67,1,0,3.1648,ACCEPT,0,1568,737,32768,0,0,307,0,0,0,0
13,0,1,1,ACCEPT,11.5695,1.4752,357,1,0,0.9972,534.73,633.09,92.56,72.80,540.50,630.00,93.00,78.00,0.8169,6.55,1,0,3.2010,ACCEPT,0,1677,687,32767,0,0,357,0,0,0,0
14,0,1,1,ACCEPT,11.5782,1.4217,354,-1,0,0.9859,533.28,633.09,92.56,72.80,541.50,627.00,93.00,74.00,0.7178,10.23,1,0,3.2174,ACCEPT,0,1636,805,32767,0,0,354,0,0,0,0
15,0,1,1,ACCEPT,12.3802,1.6211,368,1,0,0.9810,534.73,633.09,92.56,72.80,542.00,628.00,94.00,72.00,0.7501,8.88,1,0,3.0158,ACCEPT,0,1651,705,32767,0,0,368,0,0,0,0
16,0,1,1,ACCEPT,12.8356,1.5833,380,-1,0,0.9947,533.28,633.09,92.56,72.80,542.50,628.50,95.00,73.00,0.7314,10.30,1,0,3.2277,ACCEPT,0,1642,581,32767,0,0,380,0,0,0,0
17,0,1,1,ACCEPT,13.8057,2.0106,380,1,0,0.9868,534.73,633.09,92.56,72.80,542.00,629.50,94.00,67.00,0.7776,8.11,1,0,3.1384,ACCEPT,0,1563,462,32767,0,0,380,0,0,0,0
18,0,1,1,ACCEPT,14.8922,1.9657,401,-1,0,0.9800,533.28,633.09,92.56,72.80,542.50,629.50,93.00,69.00,0.7468,9.89,1,0,3.2694,ACCEPT,0,1530,524,32766,0,0,401,0,0,0,0
