frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,176.00,655.00,34.00,30.00,176.00,655.00,34.00,30.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,972,24808,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,23.0185,2.7910,187,1,3,0.8075,176.53,656.41,34.00,30.00,177.00,656.50,36.00,29.00,0.9147,0.48,1,0,3.2973,ACCEPT,0,844,949,25306,0,0,187,0,0,0,0
2,0,1,1,ACCEPT,11.8955,1.6939,166,1,5,0.5361,177.06,658.75,34.00,30.00,177.00,662.00,38.00,26.00,0.7214,3.25,1,0,3.0993,ACCEPT,0,1197,908,29968,0,0,166,0,0,0,0
3,0,1,1,ACCEPT,7.1800,1.2424,205,6,1,0.7756,180.25,659.22,34.00,30.00,178.00,666.50,36.00,23.00,0.5165,7.62,1,0,2.9962,ACCEPT,0,2604,1030,28333,0,0,205,0,0,0,0
4,0,1,1,ACCEPT,5.7588,1.0742,246,10,6,0.6341,185.56,662.03,34.00,30.00,179.50,667.00,37.00,22.00,0.5096,7.84,1,0,2.4644,ACCEPT,0,2565,1018,29590,0,0,246,0,0,0,0
5,0,1,1,ACCEPT,5.9764,1.0625,408,-1,7,0.6078,185.03,665.31,34.00,30.00,179.50,669.50,37.00,23.00,0.5562,6.94,1,0,2.6498,ACCEPT,0,3566,1365,32330,0,0,408,0,0,0,0
6,0,1,1,ACCEPT,7.9269,1.1095,669,-3,-3,0.8984,183.44,663.91,34.00,30.00,179.50,669.50,37.00,25.00,0.5516,6.84,1,0,2.7604,ACCEPT,0,3945,1450,29833,0,0,669,0,0,0,0
7,0,1,1,ACCEPT,7.9130,1.0287,646,-3,1,0.6533,181.84,664.38,34.00,30.00,176.50,666.00,39.00,34.00,0.6623,5.59,1,0,3.0640,ACCEPT,0,3899,1673,28995,0,0,646,0,0,0,0
8,0,1,1,ACCEPT,10.3157,1.5805,874,-4,-7,0.1533,179.72,661.09,32.69,28.85,175.00,663.00,44.00,32.00,0.6571,5.09,1,-1,2.6035,ACCEPT,0,4336,1446,32767,0,0,874,0,0,0,0
9,0,1,1,ACCEPT,8.3180,1.3311,788,-2,-16,0.3350,178.70,653.84,31.43,27.74,174.50,657.50,45.00,27.00,0.5556,5.57,1,-1,2.5925,ACCEPT,0,4740,1328,32767,0,0,788,0,0,0,0
