frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,155.00,497.00,104.00,60.00,155.00,497.00,104.00,60.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,869,18968,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,37.3749,3.0465,262,0,0,1.0000,155.00,497.00,104.00,60.00,153.00,497.50,102.00,57.00,0.9142,2.06,1,0,3.2520,ACCEPT,0,721,899,17568,0,0,262,0,0,0,0
2,0,1,1,ACCEPT,34.9212,2.6742,238,0,1,0.9958,155.00,497.94,104.00,60.00,153.00,498.50,102.00,59.00,0.9441,2.08,1,0,3.0103,ACCEPT,0,625,888,19571,0,0,238,0,0,0,0
3,0,1,1,ACCEPT,30.1502,2.5052,243,-1,0,0.9918,153.38,497.94,104.00,60.00,152.00,499.50,102.00,59.00,0.9243,2.08,1,0,2.9060,ACCEPT,0,731,846,20880,0,0,243,0,0,0,0
4,0,1,1,ACCEPT,28.1536,2.5684,244,1,0,0.9795,155.00,497.94,104.00,60.00,151.50,501.50,103.00,59.00,0.8320,4.99,1,0,2.8049,ACCEPT,0,740,846,23730,0,0,244,0,0,0,0
5,0,1,1,ACCEPT,25.0284,2.5631,264,-1,0,0.9848,153.38,497.94,104.00,60.00,151.00,501.00,104.00,60.00,0.8644,3.88,1,0,2.4682,ACCEPT,0,854,1014,24236,0,0,264,0,0,0,0
6,0,1,1,ACCEPT,21.2264,2.1024,267,1,0,0.9963,155.00,497.94,104.00,60.00,151.00,503.00,106.00,58.00,0.7849,6.45,1,0,2.7894,ACCEPT,0,943,934,26133,0,0,267,0,0,0,0
7,0,1,1,ACCEPT,21.1059,2.2331,297,-1,0,0.9764,153.38,497.94,104.00,60.00,151.00,503.00,106.00,58.00,0.8078,5.59,1,0,2.2428,ACCEPT,0,990,900,32235,0,0,297,0,0,0,0
8,0,1,1,ACCEPT,19.3316,2.1221,365,0,0,1.0000,153.38,497.94,104.00,60.00,150.50,503.00,109.00,58.00,0.8016,5.82,1,0,2.3033,ACCEPT,0,1197,920,30953,0,0,365,0,0,0,0
9,0,1,1,ACCEPT,18.8948,2.0213,380,0,0,1.0000,153.38,497.94,104.00,60.00,147.50,504.50,103.00,57.00,0.7202,8.81,1,0,2.5010,ACCEPT,0,1308,917,30535,0,0,380,0,0,0,0
10,0,1,1,ACCEPT,18.0537,2.0312,390,0,0,1.0000,153.38,497.94,100.00,57.69,147.50,506.50,103.00,55.00,0.6656,10.38,1,-1,2.4845,ACCEPT,0,1474,934,30927,0,0,390,0,0,0,0
11,0,1,1,ACCEPT,16.2469,1.8223,359,0,0,1.0000,153.38,497.94,100.00,57.69,147.50,507.00,103.00,54.00,0.6524,10.80,1,0,2.5322,ACCEPT,0,1602,885,30795,0,0,359,0,0,0,0
12,0,1,1,ACCEPT,15.3963,1.7299,365,0,0,1.0000,153.38,497.94,100.00,57.69,147.00,508.00,104.00,54.00,0.6248,11.91,1,0,2.4877,ACCEPT,0,1743,853,31143,0,0,365,0,0,0,0
13,0,1,1,ACCEPT,14.7692,1.6520,375,1,0,0.9973,154.94,497.94,100.00,57.69,147.00,508.50,104.00,51.00,0.5922,13.21,1,0,2.6299,ACCEPT,0,1708,834,31586,0,0,375,0,0,0,0
14,0,1,1,ACCEPT,14.7769,1.7359,401,0,-1,0.9950,154.94,497.04,100.00,57.69,146.50,509.00,105.00,50.00,0.5565,14.64,1,0,2.4192,ACCEPT,0,1891,769,32767,0,0,401,0,0,0,0
15,0,1,1,ACCEPT,14.8710,1.5687,411,0,0,1.0000,154.94,497.04,100.00,57.69,146.50,510.00,105.00,50.00,0.5361,15.47,1,0,2.3907,ACCEPT,0,1680,763,32572,0,0,411,0,0,0,0
16,0,1,1,ACCEPT,13.9293,1.6312,460,0,0,1.0000,154.94,497.04,100.00,57.69,145.00,510.00,104.00,48.00,0.5180,16.33,1,0,2.3415,ACCEPT,0,2208,754,32255,0,0,460,0,0,0,0
17,0,1,1,ACCEPT,13.5548,1.5980,489,0,0,1.0000,154.94,497.04,104.00,60.00,145.50,512.00,107.00,48.00,0.4918,17.69,1,1,2.2520,ACCEPT,0,2229,672,31109,0,0,489,0,0,0,0
