frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,98.00,60.50,82.00,75.00,98.00,60.50,82.00,75.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,5408,17165,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,37.1667,3.1541,962,2,5,0.4148,100.56,66.36,82.00,75.00,101.00,69.00,82.00,70.00,0.9202,2.68,1,0,3.2140,ACCEPT,0,1766,5168,18672,0,0,962,0,0,0,0
2,0,1,1,ACCEPT,25.4826,2.7714,970,4,4,0.3412,105.69,71.05,82.00,75.00,106.00,73.50,84.00,69.00,0.8998,2.47,1,0,3.0394,ACCEPT,0,2136,4444,24070,0,0,970,0,0,0,0
3,0,1,1,ACCEPT,20.9994,2.2916,1116,5,4,0.2249,112.09,75.73,82.00,75.00,111.50,82.00,81.00,62.00,0.8149,6.29,1,0,2.9790,ACCEPT,0,2707,3620,22417,0,0,1116,0,0,0,0
4,0,1,1,ACCEPT,18.8772,2.2935,1094,3,6,0.2614,115.94,82.77,78.85,72.12,115.50,91.00,77.00,62.00,0.7637,8.25,1,-1,2.8720,ACCEPT,0,2938,3103,23430,0,0,1094,0,0,0,0
5,0,1,1,ACCEPT,15.9426,1.8284,1236,1,9,0.1699,117.17,92.89,75.81,69.34,119.00,100.50,82.00,63.00,0.7420,7.83,1,-1,2.7613,ACCEPT,0,4208,2647,26201,0,0,1236,0,0,0,0
6,0,1,1,ACCEPT,15.0842,1.6545,1221,1,9,0.0827,118.36,102.66,72.90,66.67,123.00,109.50,80.00,67.00,0.7288,8.26,1,-1,2.5834,ACCEPT,0,5123,2457,21066,0,0,1221,0,0,0,0
7,0,1,1,ACCEPT,13.0600,1.3544,963,1,6,0.3541,119.50,108.90,72.90,66.67,125.50,117.50,77.00,65.00,0.6667,10.49,1,0,2.5258,ACCEPT,0,4299,2407,14947,0,0,963,0,0,0,0
8,0,1,1,ACCEPT,12.9388,1.5682,828,3,8,0.1884,122.92,117.21,72.90,66.67,126.50,125.00,81.00,66.00,0.7187,8.57,1,0,2.6528,ACCEPT,0,3013,2570,15407,0,0,828,0,0,0,0
9,0,1,1,ACCEPT,13.6047,1.4890,877,4,9,0.1836,127.48,126.56,72.90,66.67,132.00,138.00,78.00,70.00,0.6422,12.30,1,0,2.8188,ACCEPT,0,2999,2957,15159,0,0,877,0,0,0,0
