frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,118.00,378.50,14.00,81.00,118.00,378.50,14.00,81.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,959,2768,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,5.2403,1.8000,9,7,-7,0.2222,119.53,369.64,14.00,81.00,120.50,368.50,13.00,83.00,0.8446,1.50,1,0,3.2997,ACCEPT,0,305,755,4467,0,0,9,0,0,0,0
2,0,1,1,ACCEPT,9.4556,1.5833,19,4,-7,0.1579,120.41,360.78,14.00,81.00,122.00,358.00,12.00,82.00,0.7359,3.21,1,0,3.3139,ACCEPT,0,129,758,5053,0,0,19,0,0,0,0
3,0,1,1,ACCEPT,6.6618,1.3750,22,10,-6,0.2273,122.59,353.19,14.00,81.00,121.00,350.00,14.00,82.00,0.7414,3.56,1,0,3.2094,ACCEPT,0,193,707,5567,0,0,22,0,0,0,0
4,0,1,0,LOW_PSR,4.5866,1.0000,22,6,-9,0.8636,122.59,353.19,14.00,81.00,121.50,342.50,15.00,83.00,0.6719,10.74,0,0,0.0000,NOT_RUN,0,251,686,0,0,0,22,0,0,0,0
5,0,1,0,LOW_PSR,4.0674,1.0526,20,8,-6,0.3500,122.59,353.19,14.00,81.00,121.00,334.50,16.00,81.00,0.5239,18.76,0,0,0.0000,NOT_RUN,0,277,665,0,0,0,20,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-3.7290,1.0000,-20,3,18,0.4500,122.59,353.19,14.00,81.00,121.00,328.00,16.00,80.00,0.4434,25.24,0,0,0.0000,NOT_RUN,0,344,643,0,0,0,20,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-4.6739,1.0556,-38,-25,2,0.3421,122.59,353.19,14.00,81.00,118.00,321.50,34.00,67.00,0.2101,32.02,0,0,0.0000,NOT_RUN,0,570,414,0,0,0,38,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-6.2313,1.0000,-41,-9,-1,0.9268,122.59,353.19,14.00,81.00,116.50,318.00,53.00,54.00,0.1277,35.71,0,0,0.0000,NOT_RUN,0,464,354,0,0,0,41,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-6.3512,1.0323,-32,-9,-2,0.8438,122.59,353.19,14.00,81.00,115.00,312.50,66.00,45.00,0.0824,41.39,0,0,0.0000,NOT_RUN,0,343,349,0,0,0,32,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-6.3195,1.0370,-28,2,-3,0.5714,122.59,353.19,14.00,81.00,112.00,306.50,76.00,37.00,0.0457,47.87,0,0,0.0000,NOT_RUN,0,322,309,0,0,0,28,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-6.2811,1.0400,-26,-9,-5,0.3462,122.59,353.19,14.00,81.00,107.00,300.00,80.00,30.00,0.0092,55.43,0,0,0.0000,NOT_RUN,0,341,272,0,0,0,26,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-6.1002,1.0870,-25,-7,-5,0.3600,122.59,353.19,14.00,81.00,101.00,297.00,84.00,30.00,0.0000,60.19,0,0,0.0000,NOT_RUN,0,337,245,0,0,0,25,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-5.9489,1.0435,-24,-17,-5,0.3333,122.59,353.19,14.00,81.00,94.00,294.50,82.00,29.00,0.0000,65.28,0,0,0.0000,NOT_RUN,0,299,238,0,0,0,24,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-6.6978,1.1429,-24,-10,-5,0.3333,122.59,353.19,14.00,81.00,88.50,292.50,81.00,29.00,0.0000,69.61,0,0,0.0000,NOT_RUN,0,265,234,0,0,0,24,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-6.0404,1.1250,-27,-31,-1,0.2963,122.59,353.19,14.00,81.00,80.00,294.00,78.00,28.00,0.0000,72.92,0,0,0.0000,NOT_RUN,0,336,217,0,0,0,27,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-5.5153,1.0000,-34,-43,-3,0.2353,122.59,353.19,14.00,81.00,72.00,287.00,80.00,16.00,0.0000,83.31,0,0,0.0000,NOT_RUN,0,599,201,0,0,0,34,0,0,0,0
17,0,1,0,NEGATIVE_PEAK,-5.6766,1.2857,-18,-9,-9,0.2778,122.59,353.19,14.00,81.00,66.50,289.00,85.00,18.00,0.0000,85.24,0,0,0.0000,NOT_RUN,0,160,330,0,0,0,18,0,0,0,0
18,0,1,1,ACCEPT,5.1119,1.1000,11,-18,-26,0.6364,118.66,320.28,14.00,81.00,62.00,289.50,88.00,19.00,0.0000,64.48,1,2,1.8989,LOW_CONF,0,127,344,9817,0,0,11,0,0,0,0
19,0,1,0,NEGATIVE_PEAK,-5.7709,1.0213,-48,-28,6,0.4583,118.66,320.28,14.00,81.00,57.50,290.50,83.00,21.00,0.0000,68.02,0,0,0.0000,NOT_RUN,0,560,374,0,0,0,48,0,0,0,0
20,0,1,0,NEGATIVE_PEAK,-6.4115,1.0294,-35,-13,0,0.6571,118.66,320.28,14.00,81.00,56.00,289.50,82.00,21.00,0.0000,69.81,0,0,0.0000,NOT_RUN,0,361,342,0,0,0,35,0,0,0,0
21,0,1,0,NEGATIVE_PEAK,-4.1159,1.1333,-17,-35,-5,0.1176,118.66,320.28,14.00,81.00,56.00,290.50,78.00,19.00,0.0000,69.37,0,0,0.0000,NOT_RUN,0,209,364,0,0,0,17,0,0,0,0
22,0,1,0,NEGATIVE_PEAK,-4.2254,1.0556,-19,-7,17,0.2632,118.66,320.28,14.00,81.00,55.50,293.00,79.00,18.00,0.0000,68.80,0,0,0.0000,NOT_RUN,0,232,396,0,0,0,19,0,0,0,0
23,0,1,0,LOW_PSR,4.5203,1.2500,25,-5,11,0.5200,118.66,320.28,14.00,81.00,56.00,296.50,78.00,29.00,0.0000,67.02,0,0,0.0000,NOT_RUN,0,424,461,0,0,0,25,0,0,0,0
24,0,1,0,LOW_PSR,4.5830,1.0833,13,-6,21,0.3077,118.66,320.28,14.00,81.00,54.00,297.50,72.00,39.00,0.0000,68.55,0,0,0.0000,NOT_RUN,0,218,353,0,0,0,13,0,0,0,0
