frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,493.00,142.50,68.00,25.00,493.00,142.50,68.00,25.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,857,13347,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,7.8679,1.3535,873,4,-4,0.1455,501.50,139.38,68.00,25.00,502.00,141.00,70.00,22.00,0.8488,1.70,1,0,3.1287,ACCEPT,0,1990,673,21078,0,0,873,0,0,0,0
2,0,1,1,ACCEPT,5.5285,1.1352,613,17,6,0.3328,537.62,144.06,68.00,25.00,539.50,150.00,69.00,28.00,0.6056,6.23,1,0,2.7016,ACCEPT,0,1943,200,7720,0,0,613,0,0,0,0
3,0,1,0,NEGATIVE_PEAK,-5.8640,1.1607,-65,14,9,0.2462,537.62,144.06,68.00,25.00,591.00,165.00,68.00,30.00,0.0263,57.33,0,0,0.0000,NOT_RUN,0,138,96,0,0,0,65,0,0,0,0
4,0,1,0,LOW_PSR,4.1771,1.0909,12,22,27,0.4167,537.62,144.06,68.00,25.00,607.00,168.50,68.00,25.00,0.0000,73.55,0,0,0.0000,NOT_RUN,0,42,42,0,0,0,12,0,0,0,0
5,0,1,0,NEGATIVE_PEAK,-3.9457,1.0000,-13,22,20,0.7692,537.62,144.06,68.00,25.00,612.50,165.50,69.00,25.00,0.0000,77.88,0,0,0.0000,NOT_RUN,0,60,43,0,0,0,13,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-3.6742,1.0000,-9,21,21,0.6667,537.62,144.06,68.00,25.00,615.00,167.00,70.00,26.00,0.0000,80.70,0,0,0.0000,NOT_RUN,0,26,42,0,0,0,9,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-3.6482,1.0000,-9,10,9,0.7778,537.62,144.06,68.00,25.00,617.00,166.50,70.00,25.00,0.0000,82.49,0,0,0.0000,NOT_RUN,0,29,42,0,0,0,9,0,0,0,0
8,0,1,0,LOW_PSR,4.3444,1.0000,10,21,6,0.7000,537.62,144.06,68.00,25.00,615.00,173.50,68.00,29.00,0.0000,82.79,0,0,0.0000,NOT_RUN,0,28,35,0,0,0,10,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-3.4479,1.0000,-9,21,21,0.8889,537.62,144.06,68.00,25.00,613.00,174.50,64.00,35.00,0.0000,81.29,0,0,0.0000,NOT_RUN,0,34,28,0,0,0,9,0,0,0,0
10,0,1,0,LOW_PSR,3.9816,1.0000,9,20,7,0.6667,537.62,144.06,68.00,25.00,613.50,176.50,63.00,39.00,0.0000,82.52,0,0,0.0000,NOT_RUN,0,28,41,0,0,0,9,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-3.2125,1.0000,-9,0,0,1.0000,537.62,144.06,68.00,25.00,614.50,176.50,65.00,39.00,0.0000,83.44,0,0,0.0000,NOT_RUN,0,29,43,0,0,0,11,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-3.5364,1.0000,-10,-6,0,0.7000,537.62,144.06,68.00,25.00,614.50,177.00,65.00,40.00,0.0000,83.63,0,0,0.0000,NOT_RUN,0,34,35,0,0,0,10,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-4.1116,1.2500,-10,-5,-1,0.6000,537.62,144.06,68.00,25.00,615.50,181.50,63.00,43.00,0.0000,86.41,0,0,0.0000,NOT_RUN,0,32,56,0,0,0,10,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-4.1600,1.1111,-10,-9,-6,0.7000,537.62,144.06,68.00,25.00,617.50,180.00,65.00,42.00,0.0000,87.59,0,0,0.0000,NOT_RUN,0,28,35,0,0,0,10,0,0,0,0
15,0,1,0,LOW_PSR,4.3370,1.1250,9,-12,-9,0.5556,537.62,144.06,68.00,25.00,616.50,180.00,63.00,44.00,0.0000,86.68,0,0,0.0000,NOT_RUN,0,27,53,0,0,0,9,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-4.1845,1.0000,-13,14,-5,0.6923,537.62,144.06,68.00,25.00,625.50,179.50,63.00,39.00,0.0000,94.75,0,0,0.0000,NOT_RUN,0,29,142,0,0,0,13,0,0,0,0
17,0,1,0,LOW_PSR,4.0254,1.0000,12,14,3,0.4167,537.62,144.06,68.00,25.00,626.00,178.50,66.00,37.00,0.0000,94.85,0,0,0.0000,NOT_RUN,0,36,119,0,0,0,12,0,0,0,0
18,0,1,0,LOW_PSR,4.5794,1.1875,19,-12,-11,0.3158,537.62,144.06,68.00,25.00,628.00,175.50,68.00,35.00,0.0000,95.69,0,0,0.0000,NOT_RUN,0,52,164,0,0,0,19,0,0,0,0
19,0,1,0,LOW_PSR,4.0074,1.0000,29,21,4,0.2069,537.62,144.06,68.00,25.00,637.00,176.00,70.00,24.00,0.0000,104.38,0,0,0.0000,NOT_RUN,0,70,570,0,0,0,29,0,0,0,0
20,0,1,0,NEGATIVE_PEAK,-4.6862,1.0500,-42,-8,-7,0.1667,537.62,144.06,68.00,25.00,658.50,172.50,69.00,23.00,0.0000,124.18,0,0,0.0000,NOT_RUN,0,100,522,0,0,0,42,0,0,0,0
