frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,412.00,578.50,176.00,145.00,412.00,578.50,176.00,145.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,727,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,60.3556,13.0658,2979,0,1,0.8939,412.00,583.03,176.00,145.00,409.50,582.50,177.00,145.00,0.9651,2.56,1,0,3.2541,ACCEPT,0,1073,614,32767,0,0,2979,0,0,0,0
2,0,1,1,ACCEPT,35.4453,8.2937,2513,-1,2,0.6677,406.50,592.09,176.00,145.00,409.00,585.00,178.00,156.00,0.8854,7.52,1,0,3.0839,ACCEPT,0,1231,517,32767,0,0,2513,0,0,0,0
3,0,1,1,ACCEPT,34.3767,7.5105,2501,0,1,0.8669,406.50,596.62,176.00,145.00,408.00,595.00,180.00,150.00,0.9452,2.21,1,0,3.0744,ACCEPT,0,1177,455,32767,0,0,2501,0,0,0,0
4,0,1,1,ACCEPT,28.3457,6.5990,2666,1,1,0.7802,412.00,601.16,176.00,145.00,412.50,598.00,185.00,154.00,0.8958,3.20,1,0,3.0875,ACCEPT,0,1410,375,32767,0,0,2666,0,0,0,0
5,0,1,1,ACCEPT,27.2584,6.5191,2901,0,1,0.8549,412.00,605.69,176.00,145.00,414.00,601.00,188.00,158.00,0.8591,5.10,1,0,3.0052,ACCEPT,0,1616,278,29475,0,0,2901,0,0,0,0
6,0,1,1,ACCEPT,24.4676,6.5476,2822,0,0,1.0000,412.00,605.69,176.00,145.00,417.00,601.50,188.00,157.00,0.8646,6.52,1,0,2.9545,ACCEPT,0,1739,291,26663,0,0,2822,0,0,0,0
7,0,1,1,ACCEPT,18.0255,4.5265,2476,0,0,1.0000,412.00,605.69,176.00,145.00,420.00,601.50,192.00,151.00,0.8668,9.03,1,0,2.9134,ACCEPT,0,1945,273,24330,0,0,2476,0,0,0,0
8,0,1,1,ACCEPT,11.6184,3.0949,1925,0,-4,0.2208,412.00,587.56,176.00,145.00,421.50,593.50,201.00,151.00,0.8100,11.20,1,0,2.6208,ACCEPT,0,2222,232,25490,0,0,1925,0,0,0,0
9,0,1,1,ACCEPT,13.3133,3.5883,1970,0,-2,0.6827,412.00,578.50,176.00,145.00,424.50,588.00,199.00,152.00,0.7736,15.70,1,0,2.7596,ACCEPT,0,2060,212,26677,0,0,1970,0,0,0,0
