frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,56.00,538.00,16.00,18.00,56.00,538.00,16.00,18.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,423,29221,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,10.9518,2.0861,1235,15,-7,0.1279,63.50,534.06,16.00,18.00,65.00,536.50,18.00,17.00,0.6476,2.86,1,0,3.3467,ACCEPT,0,1869,59,23722,0,0,1235,0,0,0,0
2,0,1,1,ACCEPT,18.2406,3.9677,2210,14,0,0.0059,70.50,534.06,16.00,18.00,75.00,535.50,16.00,15.00,0.4852,4.72,1,0,3.1253,ACCEPT,0,2079,143,12737,0,0,2210,0,0,0,0
3,0,1,1,ACCEPT,10.3787,1.9744,77,-31,-8,0.2727,55.00,529.56,16.00,18.00,90.00,532.50,14.00,15.00,0.0000,35.12,1,-5,1.8496,MAX_STEP,0,114,101,15653,0,0,77,0,0,0,0
4,0,1,0,NEGATIVE_PEAK,-4.2433,1.0000,-6,1,-9,0.6667,55.00,529.56,16.00,18.00,99.50,531.50,15.00,15.00,0.0000,44.54,0,0,0.0000,NOT_RUN,0,23,95,0,0,0,6,0,0,0,0
5,0,1,0,LOW_PSR,4.5984,1.0909,12,7,-9,0.0833,55.00,529.56,16.00,18.00,116.00,528.50,14.00,13.00,0.0000,61.01,0,0,0.0000,NOT_RUN,0,50,79,0,0,0,12,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-4.0324,1.0000,-7,3,0,0.4286,55.00,529.56,16.00,18.00,125.00,528.50,14.00,13.00,0.0000,70.01,0,0,0.0000,NOT_RUN,0,25,79,0,0,0,8,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-3.5724,1.0000,-5,0,8,0.8000,55.00,529.56,16.00,18.00,135.50,525.00,15.00,14.00,0.0000,80.63,0,0,0.0000,NOT_RUN,0,33,79,0,0,0,6,0,0,0,0
8,0,1,0,LOW_PSR,4.1244,1.0000,8,0,7,0.6250,55.00,529.56,16.00,18.00,151.00,521.50,14.00,13.00,0.0000,96.34,0,0,0.0000,NOT_RUN,0,36,79,0,0,0,9,0,0,0,0
9,0,1,0,LOW_PSR,4.5373,1.0000,10,1,6,0.5000,55.00,529.56,16.00,18.00,163.50,519.50,13.00,13.00,0.0000,108.97,0,0,0.0000,NOT_RUN,0,40,79,0,0,0,10,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-5.4420,1.0833,-13,1,8,0.0000,55.00,529.56,16.00,18.00,174.50,530.00,13.00,12.00,0.0000,119.50,0,0,0.0000,NOT_RUN,0,43,79,0,0,0,13,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-4.9236,1.0000,-9,0,8,0.3333,55.00,529.56,16.00,18.00,179.00,539.50,12.00,13.00,0.0000,124.40,0,0,0.0000,NOT_RUN,0,35,79,0,0,0,9,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-4.9699,1.1250,-9,-2,8,0.3333,55.00,529.56,16.00,18.00,184.00,549.00,14.00,12.00,0.0000,130.46,0,0,0.0000,NOT_RUN,0,37,79,0,0,0,9,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-5.0289,1.1250,-9,0,8,0.2222,55.00,529.56,16.00,18.00,194.00,559.50,12.00,13.00,0.0000,142.19,0,0,0.0000,NOT_RUN,0,39,79,0,0,0,9,0,0,0,0
14,0,1,1,ACCEPT,5.2373,1.0769,14,-9,-10,0.2857,50.50,523.94,16.00,18.00,201.00,567.50,14.00,13.00,0.0000,156.68,1,0,3.0484,ACCEPT,0,49,79,7234,0,0,14,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-3.9807,1.0000,-6,15,0,0.1667,50.50,523.94,16.00,18.00,212.00,579.00,14.00,12.00,0.0000,170.63,0,0,0.0000,NOT_RUN,0,24,79,0,0,0,6,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-3.9086,1.2857,-9,16,0,0.1111,50.50,523.94,16.00,18.00,220.00,587.00,12.00,12.00,0.0000,180.85,0,0,0.0000,NOT_RUN,0,64,79,0,0,0,9,0,0,0,0
17,0,1,0,NEGATIVE_PEAK,-4.2623,1.3333,-4,-22,-1,0.2500,50.50,523.94,16.00,18.00,230.00,592.00,12.00,12.00,0.0000,191.97,0,0,0.0000,NOT_RUN,0,23,79,0,0,0,4,0,0,0,0
18,0,1,0,NEGATIVE_PEAK,-3.1846,1.0000,-3,0,-22,0.6667,50.50,523.94,16.00,18.00,240.50,600.00,13.00,12.00,0.0000,204.66,0,0,0.0000,NOT_RUN,0,23,79,0,0,0,4,0,0,0,0
19,0,1,0,NEGATIVE_PEAK,-4.9111,1.3333,-4,4,-1,0.2500,50.50,523.94,16.00,18.00,248.50,607.00,13.00,12.00,0.0000,214.72,0,0,0.0000,NOT_RUN,0,24,79,0,0,0,4,0,0,0,0
20,0,1,0,NEGATIVE_PEAK,-2.8807,1.0000,-4,3,-23,0.5000,50.50,523.94,16.00,18.00,263.00,614.00,12.00,12.00,0.0000,230.80,0,0,0.0000,NOT_RUN,0,28,79,0,0,0,4,0,0,0,0
21,0,1,0,NEGATIVE_PEAK,-4.2790,1.6667,-5,5,-1,0.4000,50.50,523.94,16.00,18.00,271.00,616.00,12.00,12.00,0.0000,238.95,0,0,0.0000,NOT_RUN,0,30,79,0,0,0,5,0,0,0,0
22,0,1,0,NEGATIVE_PEAK,-3.7396,1.3333,-4,10,0,0.2500,50.50,523.94,16.00,18.00,275.00,617.50,12.00,13.00,0.0000,243.22,0,0,0.0000,NOT_RUN,0,23,79,0,0,0,4,0,0,0,0
23,0,1,0,NEGATIVE_PEAK,-5.4527,1.0000,-8,5,-1,0.2500,50.50,523.94,16.00,18.00,272.00,621.00,12.00,12.00,0.0000,241.83,0,0,0.0000,NOT_RUN,0,29,79,0,0,0,8,0,0,0,0
24,0,1,0,NEGATIVE_PEAK,-5.2150,1.1429,-8,5,-1,0.3750,50.50,523.94,16.00,18.00,272.00,625.00,12.00,12.00,0.0000,243.47,0,0,0.0000,NOT_RUN,0,26,79,0,0,0,8,0,0,0,0
25,0,1,1,ACCEPT,6.3769,1.2500,15,1,2,0.6667,51.00,525.06,16.00,18.00,273.00,630.00,12.00,12.00,0.0000,245.55,1,0,3.1028,ACCEPT,0,47,79,3280,0,0,15,0,0,0,0
