frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,265.00,213.00,108.00,52.00,265.00,213.00,108.00,52.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1125,19506,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,38.6969,7.5525,4894,0,-1,0.9262,265.00,211.38,108.00,52.00,267.00,211.00,112.00,52.00,0.9507,2.03,1,0,3.1886,ACCEPT,0,2589,937,18763,0,0,4894,0,0,0,0
2,0,1,1,ACCEPT,21.9050,4.4553,3689,0,0,1.0000,265.00,211.38,108.00,52.00,269.50,210.00,111.00,50.00,0.8749,4.71,1,0,2.6429,ACCEPT,0,3097,840,17461,0,0,3689,0,0,0,0
3,0,1,1,ACCEPT,15.8166,2.7169,2918,0,-1,0.9130,265.00,209.75,108.00,52.00,270.00,206.00,112.00,50.00,0.7932,6.25,1,0,2.3514,ACCEPT,0,2752,698,16910,0,0,2918,0,0,0,0
4,0,1,1,ACCEPT,11.5136,1.7755,2278,0,-2,0.7788,265.00,206.50,103.85,50.00,274.00,201.50,110.00,57.00,0.7075,10.30,1,-1,2.2763,ACCEPT,0,2605,677,17133,0,0,2278,0,0,0,0
5,0,1,1,ACCEPT,9.7932,1.3820,2366,1,-1,0.8187,268.25,204.94,96.01,46.23,277.50,196.50,111.00,61.00,0.6126,12.52,1,-2,2.1295,ACCEPT,0,3016,522,21768,0,0,2366,0,0,0,0
6,0,1,1,ACCEPT,9.5546,1.7382,2948,1,-1,0.8389,271.25,203.50,96.01,46.23,279.00,195.00,110.00,60.00,0.6260,11.50,1,-2,1.7010,LOW_CONF,0,3835,435,25131,0,0,2948,0,0,0,0
7,0,1,1,ACCEPT,7.2934,1.0705,2490,0,-2,0.6892,271.25,200.62,88.77,42.74,282.00,199.50,106.00,53.00,0.6486,10.81,1,-2,2.4098,ACCEPT,0,4056,327,22285,0,0,2490,0,0,0,0
8,0,1,1,ACCEPT,6.9006,1.4580,2222,1,1,0.9275,274.03,201.95,82.07,39.52,282.50,193.00,103.00,66.00,0.4771,12.32,1,-2,2.4587,ACCEPT,0,3459,225,19221,0,0,2222,0,0,0,0
9,0,1,1,ACCEPT,8.0888,1.6011,2882,-1,2,0.7283,271.47,204.42,82.07,39.52,282.50,193.00,101.00,66.00,0.4728,15.88,1,-2,1.7939,LOW_CONF,0,4966,207,20493,0,0,2882,0,0,0,0
10,0,1,1,ACCEPT,8.2095,1.6974,2911,0,1,0.9536,271.47,205.66,82.07,39.52,285.00,194.50,106.00,69.00,0.4313,17.54,1,-5,1.6090,MAX_STEP,0,4367,238,16651,0,0,2911,0,0,0,0
11,0,1,1,ACCEPT,8.9208,1.8577,3563,-1,0,0.9340,268.91,205.66,82.07,39.52,283.00,210.00,98.00,46.00,0.6035,14.75,1,0,2.4532,ACCEPT,0,4315,336,13987,0,0,3563,0,0,0,0
12,0,1,1,ACCEPT,11.0276,2.4724,5150,0,2,0.6917,268.91,208.12,78.91,38.00,282.50,214.00,101.00,46.00,0.5646,14.81,1,-1,2.1248,ACCEPT,0,8134,246,16944,0,0,5150,0,0,0,0
13,0,1,1,ACCEPT,10.1018,2.5982,5529,-1,4,0.5878,266.44,212.88,78.91,38.00,285.50,206.50,109.00,67.00,0.3817,20.10,1,0,2.6236,ACCEPT,0,9720,224,16815,0,0,5529,0,0,0,0
14,0,1,1,ACCEPT,10.7992,2.8833,5409,0,3,0.7142,266.44,216.44,75.88,36.53,284.00,205.00,108.00,84.00,0.2977,20.96,1,-1,2.3672,ACCEPT,0,6959,222,16214,0,0,5409,0,0,0,0
