frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,452.00,749.00,44.00,268.00,452.00,749.00,44.00,268.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,604,14758,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,15.1405,2.2551,3793,-3,-2,0.0564,447.88,732.25,44.00,268.00,453.50,729.50,43.00,259.00,0.7477,6.26,1,0,2.7870,ACCEPT,0,3880,659,15682,0,0,3793,0,0,0,0
2,0,1,1,ACCEPT,7.7877,1.0021,3300,-6,-2,0.5506,439.62,715.50,44.00,268.00,444.50,712.50,47.00,263.00,0.7906,5.72,1,0,3.0708,ACCEPT,0,5889,457,22503,0,0,3300,0,0,0,0
3,0,1,1,ACCEPT,9.8946,1.3879,4122,-4,-2,0.6155,434.12,698.75,44.00,268.00,437.50,686.00,49.00,238.00,0.7781,13.19,1,0,2.2595,ACCEPT,0,5320,392,20380,0,0,4122,0,0,0,0
4,0,1,1,ACCEPT,11.8065,1.8365,5223,-6,-1,0.4618,425.88,690.38,44.00,268.00,430.50,701.00,49.00,286.00,0.7613,11.59,1,0,3.2236,ACCEPT,0,6524,216,28852,0,0,5223,0,0,0,0
5,0,1,1,ACCEPT,8.3137,1.0375,3983,-7,-1,0.5933,416.25,682.00,44.00,268.00,420.50,671.00,49.00,268.00,0.7720,11.79,1,0,2.9736,ACCEPT,0,5408,297,19947,0,0,3983,0,0,0,0
6,0,1,1,ACCEPT,13.1033,1.8531,4857,-5,-1,0.5048,409.38,673.62,44.00,268.00,411.00,679.50,50.00,299.00,0.7888,6.10,1,0,2.9066,ACCEPT,0,5566,228,24149,0,0,4857,0,0,0,0
7,0,1,1,ACCEPT,12.9186,2.0076,4780,-4,-1,0.4448,403.88,665.25,44.00,268.00,406.00,671.00,46.00,288.00,0.8480,6.13,1,0,3.0483,ACCEPT,0,6234,253,26234,0,0,4780,0,0,0,0
8,0,1,1,ACCEPT,9.5806,1.2093,4859,-4,0,0.3087,398.38,665.25,44.00,268.00,401.50,669.50,51.00,283.00,0.8170,5.28,1,0,2.8700,ACCEPT,0,7615,335,20646,0,0,4859,0,0,0,0
9,0,1,1,ACCEPT,8.3120,1.2463,5409,1,-14,0.3001,399.75,548.00,45.76,278.72,396.50,667.00,53.00,292.00,0.3692,119.04,1,1,2.5663,ACCEPT,0,8549,331,21389,0,0,5409,0,0,0,0
10,0,1,1,ACCEPT,14.1353,1.8813,3708,-5,-1,0.3638,392.56,539.30,47.59,289.87,391.00,669.50,56.00,291.00,0.3394,130.21,1,1,2.8980,ACCEPT,0,3046,282,17749,0,0,3708,0,0,0,0
11,0,1,1,ACCEPT,7.0024,1.2396,1283,-4,15,0.1325,386.62,675.23,49.49,301.46,390.50,654.50,49.00,305.00,0.7518,21.09,1,1,2.3420,ACCEPT,0,2063,294,13539,0,0,1283,0,0,0,0
12,0,1,1,ACCEPT,14.3694,1.9088,3682,2,0,0.3628,389.72,675.23,47.59,289.87,384.00,635.00,48.00,284.00,0.6089,40.64,1,-1,2.0693,ACCEPT,0,3021,255,15673,0,0,3682,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-9.4895,1.0674,-4006,1,5,0.5572,389.72,675.23,47.59,289.87,390.00,669.00,50.00,260.00,0.8580,6.24,0,0,0.0000,NOT_RUN,0,4764,304,0,0,0,4006,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-9.4812,1.2680,-5153,4,5,0.8482,389.72,675.23,47.59,289.87,391.00,649.50,42.00,297.00,0.7483,25.77,0,0,0.0000,NOT_RUN,0,5497,358,0,0,0,5153,0,0,0,0
