frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,387.50,169.00,107.00,76.00,387.50,169.00,107.00,76.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1700,13400,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,14.3049,3.0342,2221,0,0,1.0000,387.50,169.00,107.00,76.00,383.50,169.00,119.00,76.00,0.8992,4.00,1,0,2.4521,ACCEPT,0,2392,1395,14215,0,0,2221,0,0,0,0
2,0,1,1,ACCEPT,6.6423,1.5027,1115,0,0,1.0000,387.50,169.00,107.00,76.00,381.00,165.50,126.00,67.00,0.7623,7.38,1,0,1.6732,LOW_CONF,0,3686,1476,18376,0,0,1115,0,0,0,0
3,0,1,0,NEGATIVE_PEAK,-4.6335,1.0886,-1094,-14,3,0.8940,387.50,169.00,107.00,76.00,381.50,165.00,121.00,76.00,0.8005,7.21,0,0,0.0000,NOT_RUN,0,2265,1295,0,0,0,1094,0,0,0,0
4,0,1,1,ACCEPT,5.7631,1.1564,1294,-1,-6,0.3818,384.16,154.75,107.00,76.00,379.00,168.00,100.00,96.00,0.6764,14.22,1,-14,1.8701,MAX_STEP,0,2536,1010,14631,0,0,1294,0,0,0,0
5,0,1,1,ACCEPT,5.7995,1.0736,1152,2,7,0.3542,390.84,171.38,102.88,73.08,386.00,167.00,74.00,94.00,0.5964,6.53,1,-1,2.8009,ACCEPT,0,2744,772,12452,0,0,1152,0,0,0,0
6,0,1,1,ACCEPT,9.8299,2.2486,2017,-1,1,0.8785,387.62,173.66,107.00,76.00,381.00,172.00,54.00,104.00,0.4255,6.83,1,1,2.0571,ACCEPT,0,3321,600,15723,0,0,2017,0,0,0,0
7,0,1,1,ACCEPT,9.4092,1.8029,1884,0,-1,0.9639,387.62,171.28,107.00,76.00,370.00,178.00,58.00,104.00,0.4518,18.86,1,-1,1.6966,LOW_CONF,0,3011,620,10985,0,0,1884,0,0,0,0
8,0,1,1,ACCEPT,9.3268,1.8548,1686,0,1,0.8707,387.62,173.66,102.88,73.08,351.00,164.00,72.00,96.00,0.3465,37.88,1,-1,3.3711,ACCEPT,0,2466,517,11421,0,0,1686,0,0,0,0
9,0,1,1,ACCEPT,13.1906,3.0452,1818,0,0,1.0000,387.62,173.66,102.88,73.08,321.50,157.00,115.00,80.00,0.1811,68.19,1,0,3.4175,ACCEPT,0,2104,539,13295,0,0,1818,0,0,0,0
10,0,1,1,ACCEPT,15.8137,3.8543,2301,0,0,1.0000,387.62,173.66,102.88,73.08,304.50,165.00,141.00,68.00,0.1634,83.57,1,0,3.2604,ACCEPT,0,2140,562,13192,0,0,2301,0,0,0,0
11,0,1,1,ACCEPT,17.7834,4.3982,2419,0,0,1.0000,387.62,173.66,102.88,73.08,295.00,166.50,136.00,65.00,0.1129,92.90,1,0,3.2337,ACCEPT,0,1996,544,13308,0,0,2419,0,0,0,0
12,0,1,1,ACCEPT,18.5036,4.5179,2521,0,1,0.9885,387.62,175.94,102.88,73.08,290.50,170.00,137.00,62.00,0.0962,97.31,1,0,3.2211,ACCEPT,0,2042,569,12803,0,0,2521,0,0,0,0
13,0,1,1,ACCEPT,20.5127,4.8893,2782,0,0,1.0000,387.62,175.94,102.88,73.08,282.00,174.50,140.00,65.00,0.0659,105.63,1,0,3.1493,ACCEPT,0,2141,592,12544,0,0,2782,0,0,0,0
14,0,1,1,ACCEPT,21.4353,5.0965,2798,0,0,1.0000,387.62,175.94,98.93,70.27,276.00,176.00,126.00,84.00,0.0034,111.63,1,-1,3.2392,ACCEPT,0,1832,620,10990,0,0,2798,0,0,0,0
15,0,1,1,ACCEPT,23.7040,5.2916,2704,0,1,0.9974,387.62,178.14,98.93,70.27,277.00,188.00,104.00,118.00,0.0000,111.06,1,0,3.2420,ACCEPT,0,1690,594,10852,0,0,2704,0,0,0,0
16,0,1,1,ACCEPT,26.8571,5.6922,2977,0,0,1.0000,387.62,178.14,98.93,70.27,284.50,196.00,61.00,132.00,0.0000,104.66,1,0,3.2718,ACCEPT,0,1750,611,10686,0,0,2977,0,0,0,0
17,0,1,1,ACCEPT,28.0624,5.8400,3066,0,0,1.0000,387.62,178.14,98.93,70.27,295.50,195.00,49.00,118.00,0.0000,93.65,1,0,3.2279,ACCEPT,0,1845,611,11065,0,0,3066,0,0,0,0
18,0,1,1,ACCEPT,28.6281,5.5879,3146,0,0,1.0000,387.62,178.14,98.93,70.27,298.00,198.00,88.00,114.00,0.0161,91.80,1,0,3.1554,ACCEPT,0,1805,595,10576,0,0,3146,0,0,0,0
19,0,1,1,ACCEPT,29.7986,5.6777,3083,0,0,1.0000,387.62,178.14,98.93,70.27,285.50,201.50,95.00,99.00,0.0000,104.76,1,0,3.1781,ACCEPT,0,1718,595,11870,0,0,3083,0,0,0,0
