frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,67.00,233.00,78.00,90.00,67.00,233.00,78.00,90.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1455,23795,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,59.7624,14.2626,3965,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.50,79.00,91.00,0.9765,0.71,1,0,3.2638,ACCEPT,0,1877,1254,24459,0,0,3965,0,0,0,0
2,0,1,1,ACCEPT,58.9795,15.0720,3979,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.00,79.00,90.00,0.9873,0.50,1,0,3.1600,ACCEPT,0,1937,1130,23359,0,0,3979,0,0,0,0
3,0,1,1,ACCEPT,59.4830,13.9733,4192,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.50,79.00,89.00,0.9765,0.71,1,0,3.1735,ACCEPT,0,2017,999,23400,0,0,4192,0,0,0,0
4,0,1,1,ACCEPT,61.2394,14.5684,4152,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.00,79.00,90.00,0.9873,0.50,1,0,3.2330,ACCEPT,0,1923,815,25075,0,0,4152,0,0,0,0
5,0,1,1,ACCEPT,58.4763,12.5621,4045,0,0,1.0000,67.00,233.00,78.00,90.00,68.00,231.50,80.00,91.00,0.9435,1.80,1,0,3.1237,ACCEPT,0,2013,657,26207,0,0,4045,0,0,0,0
6,0,1,1,ACCEPT,56.0080,11.6950,3988,0,0,1.0000,67.00,233.00,78.00,90.00,68.00,232.00,78.00,92.00,0.9538,1.41,1,0,3.0077,ACCEPT,0,1908,599,24688,0,0,3988,0,0,0,0
7,0,1,1,ACCEPT,53.7083,11.8464,4087,0,0,1.0000,67.00,233.00,78.00,90.00,68.00,232.00,78.00,92.00,0.9538,1.41,1,0,2.9433,ACCEPT,0,1960,567,24338,0,0,4087,0,0,0,0
8,0,1,1,ACCEPT,47.3134,9.7050,3882,0,0,1.0000,67.00,233.00,78.00,90.00,69.50,230.50,79.00,91.00,0.8892,3.54,1,0,2.9113,ACCEPT,0,1851,465,24262,0,0,3882,0,0,0,0
9,0,1,1,ACCEPT,40.1480,8.0473,3911,1,-1,0.9473,69.44,230.19,78.00,90.00,70.50,229.50,79.00,91.00,0.9587,1.27,1,0,2.6882,ACCEPT,0,1937,398,25563,0,0,3911,0,0,0,0
10,0,1,1,ACCEPT,35.2598,7.1299,3843,0,0,1.0000,69.44,230.19,78.00,90.00,71.50,228.00,79.00,90.00,0.9049,3.01,1,0,2.4092,ACCEPT,0,1871,276,26907,0,0,3843,0,0,0,0
11,0,1,1,ACCEPT,27.5460,5.0870,3744,0,0,1.0000,69.44,230.19,75.00,86.54,73.50,228.00,77.00,92.00,0.8471,4.61,1,-1,2.3146,ACCEPT,0,2089,245,26281,0,0,3744,0,0,0,0
12,0,1,1,ACCEPT,20.0517,3.4967,3196,1,0,0.9071,71.78,230.19,72.12,83.21,75.00,226.50,78.00,89.00,0.8432,4.89,1,-1,2.4235,ACCEPT,0,2116,218,22620,0,0,3196,0,0,0,0
13,0,1,1,ACCEPT,15.3704,3.0352,2504,0,0,1.0000,71.78,230.19,72.12,83.21,77.00,225.50,76.00,89.00,0.7828,7.01,1,0,2.7068,ACCEPT,0,2041,241,21724,0,0,2504,0,0,0,0
14,0,1,1,ACCEPT,14.5539,2.8382,2438,1,0,0.9290,74.03,230.19,72.12,83.21,78.50,224.50,77.00,91.00,0.7816,7.23,1,0,2.5327,ACCEPT,0,2153,247,18861,0,0,2438,0,0,0,0
15,0,1,1,ACCEPT,15.5097,3.1270,2536,1,-1,0.9440,76.28,227.59,72.12,83.21,80.00,223.50,76.00,89.00,0.8245,5.53,1,0,2.2246,ACCEPT,0,2113,262,20610,0,0,2536,0,0,0,0
