frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,497.00,640.00,406.00,224.00,497.00,640.00,406.00,224.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,699,19885,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,37.6775,7.5420,1976,0,2,0.7161,497.00,654.00,406.00,224.00,504.00,650.00,414.00,228.00,0.9332,8.06,1,0,2.8235,ACCEPT,0,1227,749,16199,0,0,1976,0,0,0,0
2,0,1,1,ACCEPT,12.4766,2.7624,1221,0,4,0.2236,497.00,682.00,422.24,232.96,504.50,681.50,429.00,229.00,0.9494,7.52,1,1,2.0430,ACCEPT,0,1597,422,9113,0,0,1221,0,0,0,0
3,0,1,1,ACCEPT,11.8370,2.5967,779,0,2,0.7099,497.00,696.56,422.24,232.96,498.50,698.00,441.00,220.00,0.9063,2.08,1,0,2.0284,ACCEPT,0,1043,374,6266,0,0,779,0,0,0,0
4,0,1,1,ACCEPT,9.7180,1.8000,423,-1,0,0.9267,483.81,696.56,422.24,232.96,492.50,699.00,453.00,200.00,0.8080,9.02,1,1,1.5174,LOW_CONF,0,620,451,7308,0,0,423,0,0,0,0
5,0,1,1,ACCEPT,9.7020,1.8531,782,0,1,0.9322,483.81,703.84,406.00,224.00,493.50,715.50,415.00,193.00,0.8257,15.16,1,-1,2.2417,ACCEPT,0,1158,337,7177,0,0,782,0,0,0,0
6,0,1,1,ACCEPT,5.2638,1.2406,464,5,-5,0.6897,547.25,668.84,406.00,224.00,466.50,732.50,271.00,185.00,0.3465,102.82,1,8,2.0530,MAX_STEP,0,1638,223,4379,0,0,464,0,0,0,0
7,0,1,1,ACCEPT,5.4071,1.4150,208,0,-4,0.5673,547.25,640.84,406.00,224.00,418.00,719.00,254.00,174.00,0.2188,151.04,1,9,2.9236,MAX_STEP,0,663,251,17904,0,0,208,0,0,0,0
8,0,1,1,ACCEPT,5.3182,1.0744,968,6,14,0.6818,623.38,738.84,406.00,224.00,407.50,705.00,307.00,184.00,0.1937,218.51,1,0,2.2897,ACCEPT,0,2141,261,10787,0,0,968,0,0,0,0
9,0,1,1,ACCEPT,9.3928,2.1248,1209,1,-1,0.6584,636.06,731.84,406.00,224.00,404.00,703.00,344.00,190.00,0.1946,233.85,1,0,2.1267,ACCEPT,0,1264,384,6610,0,0,1209,0,0,0,0
10,0,1,1,ACCEPT,9.0602,1.6334,949,3,2,0.4626,674.12,745.84,406.00,224.00,414.00,718.50,372.00,203.00,0.1684,261.56,1,-1,1.3159,LOW_CONF,0,1356,279,11196,0,0,949,0,0,0,0
11,0,1,1,ACCEPT,6.7513,1.1539,1012,2,1,0.8488,699.50,752.84,406.00,224.00,425.00,733.00,382.00,204.00,0.1593,275.22,1,-2,1.7593,LOW_CONF,0,2250,313,21798,0,0,1012,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-5.6721,1.2634,-1669,-6,9,0.1839,699.50,752.84,406.00,224.00,435.00,725.50,404.00,183.00,0.1766,265.91,0,0,0.0000,NOT_RUN,0,4606,266,0,0,0,1669,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-5.4208,1.2477,-1773,-5,9,0.3632,699.50,752.84,406.00,224.00,445.00,727.00,426.00,176.00,0.2041,255.81,0,0,0.0000,NOT_RUN,0,5828,262,0,0,0,1773,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-4.6562,1.0008,-1180,-10,5,0.2593,699.50,752.84,406.00,224.00,417.00,713.50,392.00,165.00,0.1314,285.23,0,0,0.0000,NOT_RUN,0,4343,276,0,0,0,1180,0,0,0,0
15,0,1,1,ACCEPT,6.8431,1.1493,1324,-9,-11,0.3565,585.31,675.84,406.00,224.00,395.00,705.50,344.00,161.00,0.2550,192.61,1,9,1.6157,MAX_STEP,0,3452,260,10847,0,0,1324,0,0,0,0
16,0,1,1,ACCEPT,7.3978,1.4539,852,0,3,0.4237,585.31,696.84,406.00,224.00,390.00,726.00,236.00,170.00,0.1918,197.48,1,6,1.8322,MAX_STEP,0,1550,324,15072,0,0,852,0,0,0,0
17,0,1,0,NEGATIVE_PEAK,-6.4866,1.2172,-1356,5,-3,0.8274,585.31,696.84,406.00,224.00,363.00,735.00,188.00,170.00,0.1068,225.56,0,0,0.0000,NOT_RUN,0,2757,421,0,0,0,1356,0,0,0,0
18,0,1,0,NEGATIVE_PEAK,-5.5718,1.1295,-1212,-4,11,0.7574,585.31,696.84,406.00,224.00,351.50,724.50,217.00,179.00,0.1161,235.44,0,0,0.0000,NOT_RUN,0,2698,401,0,0,0,1212,0,0,0,0
19,0,1,1,ACCEPT,5.8504,1.2485,1251,-4,-7,0.6851,534.56,647.84,406.00,224.00,353.50,716.00,231.00,192.00,0.1656,193.47,1,6,1.4406,MAX_STEP,0,2957,432,6811,0,0,1251,0,0,0,0
20,0,1,1,ACCEPT,8.7874,1.7256,1132,0,2,0.6369,534.56,661.84,406.00,224.00,357.00,724.00,234.00,200.00,0.1834,188.13,1,3,1.6344,MAX_STEP,0,1857,418,15290,0,0,1132,0,0,0,0
21,0,1,1,ACCEPT,8.7480,1.7002,2200,0,-1,0.9209,534.56,654.84,406.00,224.00,351.50,718.00,245.00,198.00,0.1779,193.65,1,4,1.6546,MAX_STEP,0,3688,439,14029,0,0,2200,0,0,0,0
22,0,1,1,ACCEPT,6.7729,1.4962,1595,0,-2,0.5028,534.56,640.84,406.00,224.00,349.50,701.50,263.00,191.00,0.1840,194.75,1,4,1.6736,MAX_STEP,0,3426,420,12625,0,0,1595,0,0,0,0
23,0,1,1,ACCEPT,6.4772,1.2734,1509,1,1,0.8960,547.25,647.84,406.00,224.00,353.00,702.00,278.00,174.00,0.1815,201.66,1,2,1.6222,LOW_CONF,0,3302,428,6836,0,0,1509,0,0,0,0
24,0,1,1,ACCEPT,7.0091,1.6628,853,1,2,0.7503,559.94,661.84,406.00,224.00,356.50,704.00,289.00,154.00,0.1851,207.76,1,4,1.4534,MAX_STEP,0,1873,366,20746,0,0,853,0,0,0,0
25,0,1,1,ACCEPT,6.5007,1.2434,1732,-2,-2,0.5664,534.56,647.84,406.00,224.00,351.50,693.50,255.00,147.00,0.1912,188.67,1,0,2.8257,ACCEPT,0,4319,291,19571,0,0,1732,0,0,0,0
26,0,1,1,ACCEPT,6.0045,1.3863,1561,-3,-2,0.2671,496.50,633.84,406.00,224.00,362.00,672.50,148.00,129.00,0.2006,139.94,1,0,3.1413,ACCEPT,0,3940,251,20299,0,0,1561,0,0,0,0
27,0,1,1,ACCEPT,6.0936,1.1065,1797,-2,-3,0.8525,471.12,612.84,390.38,215.38,365.00,666.50,158.00,125.00,0.2156,118.92,1,-1,2.7105,ACCEPT,0,4574,344,6406,0,0,1797,0,0,0,0
28,0,1,1,ACCEPT,6.3024,1.1307,917,3,11,0.5169,507.73,686.92,390.38,215.38,364.50,669.00,193.00,148.00,0.2423,144.35,1,0,2.6738,ACCEPT,0,2224,329,12046,0,0,917,0,0,0,0
