frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,504.50,418.50,75.00,59.00,504.50,418.50,75.00,59.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1324,12446,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,25.2545,5.1728,3233,0,-1,0.9873,504.50,416.66,72.12,56.73,503.50,419.50,69.00,63.00,0.8653,3.01,1,-1,2.9173,ACCEPT,0,2769,1176,12328,0,0,3233,0,0,0,0
2,0,1,1,ACCEPT,17.8965,3.1185,2632,-2,2,0.4650,500.00,420.19,72.12,56.73,498.50,425.00,69.00,64.00,0.8201,5.04,1,0,3.0225,ACCEPT,0,2128,767,15855,0,0,2632,0,0,0,0
3,0,1,1,ACCEPT,17.4417,3.9675,3178,-3,5,0.0419,493.25,429.02,72.12,56.73,492.00,434.50,70.00,65.00,0.8096,5.63,1,0,2.7819,ACCEPT,0,2564,628,15054,0,0,3178,0,0,0,0
4,0,1,1,ACCEPT,14.4410,1.4925,3300,-2,1,0.6442,488.75,430.78,72.12,56.73,488.00,437.50,68.00,69.00,0.7689,6.76,1,0,2.8709,ACCEPT,0,3386,1010,9348,0,0,3300,0,0,0,0
5,0,1,1,ACCEPT,14.0223,1.2857,3119,1,3,0.8766,491.00,436.08,72.12,56.73,489.50,432.00,67.00,72.00,0.7432,4.35,1,0,2.2148,ACCEPT,0,3441,1066,7451,0,0,3119,0,0,0,0
6,0,1,1,ACCEPT,11.5184,1.9122,2482,1,-4,0.4529,493.25,429.02,72.12,56.73,491.00,422.00,66.00,74.00,0.7158,7.37,1,-2,1.9425,LOW_CONF,0,2779,525,9030,0,0,2482,0,0,0,0
7,0,1,1,ACCEPT,8.2036,1.7379,1976,2,-7,0.3598,497.75,416.66,72.12,56.73,496.00,410.00,66.00,74.00,0.7158,6.88,1,-1,1.9673,LOW_CONF,0,3016,287,10838,0,0,1976,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-4.4377,1.0754,-1227,9,-11,0.0799,497.75,416.66,72.12,56.73,505.50,399.00,59.00,74.00,0.4839,19.28,0,0,0.0000,NOT_RUN,0,3002,184,0,0,0,1227,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-4.3723,1.0461,-1429,15,-14,0.5017,497.75,416.66,72.12,56.73,512.50,396.00,49.00,74.00,0.3613,25.38,0,0,0.0000,NOT_RUN,0,5322,169,0,0,0,1429,0,0,0,0
10,0,1,1,ACCEPT,5.0598,1.0078,1295,17,-10,0.0116,536.00,399.00,72.12,56.73,519.00,404.00,34.00,58.00,0.4157,17.72,1,-11,1.7432,MAX_STEP,0,3371,210,8023,0,0,1295,0,0,0,0
11,0,1,0,LOW_PSR,4.7434,1.0818,463,1,13,0.0907,536.00,399.00,72.12,56.73,520.00,423.00,32.00,44.00,0.1812,28.84,0,0,0.0000,NOT_RUN,0,1886,556,0,0,0,463,0,0,0,0
12,0,1,1,ACCEPT,5.3225,1.0462,498,0,19,0.4357,536.00,432.55,72.12,56.73,515.00,442.00,40.00,50.00,0.3382,23.03,1,-10,1.4857,MAX_STEP,0,1772,551,7460,0,0,498,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-5.8180,1.0978,-449,4,2,0.1292,536.00,432.55,72.12,56.73,503.50,498.50,47.00,81.00,0.0101,73.53,0,0,0.0000,NOT_RUN,0,1099,228,0,0,0,449,0,0,0,0
14,0,1,0,LOW_PSR,4.7236,1.1352,361,-3,6,0.2936,536.00,432.55,72.12,56.73,490.00,565.00,46.00,90.00,0.0000,140.21,0,0,0.0000,NOT_RUN,0,1134,207,0,0,0,361,0,0,0,0
15,0,1,0,LOW_PSR,4.5935,1.1283,343,-5,6,0.1108,536.00,432.55,72.12,56.73,478.50,633.00,49.00,90.00,0.0000,208.54,0,0,0.0000,NOT_RUN,0,1019,237,0,0,0,343,0,0,0,0
16,0,1,1,ACCEPT,5.5675,1.1782,410,-5,14,0.4146,524.75,457.27,72.12,56.73,465.50,700.00,47.00,92.00,0.0000,249.86,1,-5,1.3135,MAX_STEP,0,951,263,7058,0,0,410,0,0,0,0
17,0,1,0,NEGATIVE_PEAK,-5.5449,1.1798,-525,5,2,0.1486,524.75,457.27,72.12,56.73,451.50,766.00,45.00,94.00,0.0000,317.31,0,0,0.0000,NOT_RUN,0,1375,220,0,0,0,525,0,0,0,0
18,0,1,0,LOW_PSR,4.5911,1.0171,475,0,-16,0.0611,524.75,457.27,72.12,56.73,434.00,828.50,46.00,87.00,0.0000,382.17,0,0,0.0000,NOT_RUN,0,1353,189,0,0,0,475,0,0,0,0
19,0,1,1,ACCEPT,5.9520,1.3034,567,2,-12,0.3580,529.25,436.08,72.12,56.73,419.00,897.50,46.00,91.00,0.0000,474.41,1,-1,1.6309,LOW_CONF,0,1444,206,9042,0,0,567,0,0,0,0
20,0,1,1,ACCEPT,6.8513,1.0899,473,0,-1,0.9239,529.25,434.31,72.12,56.73,407.50,961.00,47.00,86.00,0.0000,540.58,1,0,3.0182,ACCEPT,0,1194,381,8163,0,0,473,0,0,0,0
21,0,1,1,ACCEPT,8.5485,2.1429,555,0,-1,0.7856,529.25,432.55,72.12,56.73,396.50,1023.00,41.00,86.00,0.0000,605.19,1,0,3.1522,ACCEPT,0,1002,401,10701,0,0,555,0,0,0,0
