frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,406.50,207.00,145.00,64.00,406.50,207.00,145.00,64.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1912,21262,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,29.5081,5.6809,6408,1,3,0.2720,411.03,213.00,134.06,59.17,414.00,212.50,160.00,57.00,0.8120,3.01,1,-2,2.4857,ACCEPT,0,3727,1794,17960,0,0,6408,0,0,0,0
2,0,1,1,ACCEPT,15.8801,3.0618,4654,0,4,0.0808,411.03,220.38,145.00,64.00,418.50,220.00,169.00,56.00,0.7643,7.48,1,2,2.4746,ACCEPT,0,4101,1136,15716,0,0,4654,0,0,0,0
3,0,1,1,ACCEPT,21.4797,3.7615,5458,1,5,0.4205,415.56,230.38,145.00,64.00,422.00,226.00,172.00,76.00,0.7099,7.78,1,0,2.7402,ACCEPT,0,4185,1050,29754,0,0,5458,0,0,0,0
4,0,1,1,ACCEPT,21.2984,3.7247,7278,0,4,0.1293,415.56,238.38,145.00,64.00,421.50,232.00,173.00,102.00,0.5259,8.71,1,0,2.4050,ACCEPT,0,4972,1171,19822,0,0,7278,0,0,0,0
5,0,1,1,ACCEPT,22.1223,4.1077,6905,0,5,0.0920,415.56,248.38,145.00,64.00,423.00,237.00,176.00,134.00,0.3935,13.59,1,0,2.4211,ACCEPT,0,4664,987,17284,0,0,6905,0,0,0,0
6,0,1,1,ACCEPT,21.5016,3.3228,6752,0,5,0.0511,415.56,258.38,145.00,64.00,421.50,258.50,177.00,153.00,0.3427,5.94,1,0,2.5309,ACCEPT,0,4940,992,15538,0,0,6752,0,0,0,0
7,0,1,1,ACCEPT,21.4821,3.8964,6133,1,6,0.0378,420.09,270.38,150.80,66.56,429.00,254.50,186.00,125.00,0.4317,18.20,1,1,2.2697,ACCEPT,0,4589,936,15805,0,0,6133,0,0,0,0
8,0,1,1,ACCEPT,22.1796,3.7582,7291,0,5,0.0372,420.09,280.77,156.83,69.22,426.00,287.00,204.00,128.00,0.4158,8.59,1,1,2.6352,ACCEPT,0,5129,649,19039,0,0,7291,0,0,0,0
9,0,1,1,ACCEPT,19.6786,3.7390,6633,1,6,0.0338,425.00,293.70,163.11,71.99,414.50,303.50,227.00,103.00,0.5022,14.36,1,1,2.1518,ACCEPT,0,5141,695,12825,0,0,6633,0,0,0,0
10,0,1,1,ACCEPT,26.7588,4.9257,7625,0,6,0.0383,425.00,307.20,169.63,74.87,410.50,317.50,235.00,101.00,0.5351,17.78,1,1,2.6684,ACCEPT,0,5113,441,15781,0,0,7625,0,0,0,0
11,0,1,1,ACCEPT,25.7761,4.9542,8442,0,6,0.0121,425.00,321.27,176.41,77.87,407.00,329.00,224.00,88.00,0.6573,19.59,1,1,2.3103,ACCEPT,0,5908,439,14547,0,0,8442,0,0,0,0
12,0,1,1,ACCEPT,23.2096,3.9445,7112,0,6,0.0337,425.00,335.89,176.41,77.87,402.00,343.00,218.00,102.00,0.6054,24.07,1,0,2.0691,ACCEPT,0,5088,586,11636,0,0,7112,0,0,0,0
13,0,1,1,ACCEPT,23.6179,4.0505,7615,1,6,0.0165,430.52,350.52,183.47,80.98,406.00,374.00,214.00,126.00,0.4999,33.95,1,1,2.3040,ACCEPT,0,5601,436,11787,0,0,7615,0,0,0,0
14,0,1,1,ACCEPT,23.8979,3.4905,6262,0,6,0.1551,430.52,365.70,183.47,80.98,417.50,398.50,213.00,137.00,0.4651,35.29,1,0,2.0357,ACCEPT,0,4391,560,9095,0,0,6262,0,0,0,0
15,0,1,1,ACCEPT,22.7051,2.9330,6001,0,6,0.0582,430.52,380.89,183.47,80.98,440.00,424.50,192.00,143.00,0.4046,44.63,1,0,1.9402,LOW_CONF,0,4185,661,8918,0,0,6001,0,0,0,0
16,0,1,1,ACCEPT,22.5253,2.7375,6893,1,7,0.0118,436.25,398.61,190.81,84.22,448.00,444.00,206.00,150.00,0.3986,46.89,1,1,2.4312,ACCEPT,0,5417,586,10934,0,0,6893,0,0,0,0
17,0,1,1,ACCEPT,21.6951,3.4553,7491,1,6,0.0622,442.22,414.36,183.47,80.98,457.00,472.50,206.00,165.00,0.3139,59.99,1,-1,2.3789,ACCEPT,0,7235,614,11265,0,0,7491,0,0,0,0
18,0,1,1,ACCEPT,16.5643,3.6219,7490,1,6,0.1498,447.95,429.55,183.47,80.98,464.50,487.00,213.00,168.00,0.3167,59.79,1,0,1.9466,LOW_CONF,0,8253,621,10761,0,0,7490,0,0,0,0
19,0,1,1,ACCEPT,17.2705,3.1699,7370,0,4,0.4261,447.95,439.67,176.41,77.87,473.00,499.00,218.00,174.00,0.2852,64.40,1,-1,2.2226,ACCEPT,0,8305,454,11344,0,0,7370,0,0,0,0
20,0,1,1,ACCEPT,13.1514,2.1307,4777,-1,4,0.4945,442.44,449.42,183.47,80.98,481.00,500.50,210.00,205.00,0.2840,64.00,1,1,2.2238,ACCEPT,0,8867,481,11302,0,0,4777,0,0,0,0
21,0,1,1,ACCEPT,10.0445,1.5659,3492,0,7,0.4112,442.44,467.14,190.81,84.22,490.00,503.50,188.00,237.00,0.2454,59.87,1,1,2.1216,ACCEPT,0,7025,545,12102,0,0,3492,0,0,0,0
22,0,1,1,ACCEPT,11.9045,2.1045,4230,1,7,0.2213,448.41,485.52,190.81,84.22,495.50,501.50,173.00,237.00,0.2483,49.73,1,0,1.9329,LOW_CONF,0,6423,423,14231,0,0,4230,0,0,0,0
23,0,1,1,ACCEPT,14.8967,3.6499,5672,-1,2,0.7786,442.44,490.77,206.38,91.09,465.50,523.50,231.00,219.00,0.3456,40.04,1,2,2.1273,ACCEPT,0,7485,442,13509,0,0,5672,0,0,0,0
24,0,1,1,ACCEPT,14.5947,2.9145,4739,-1,3,0.6151,435.98,499.30,206.38,91.09,445.50,538.00,319.00,218.00,0.2703,39.86,1,1,1.9824,LOW_CONF,0,5524,682,8320,0,0,4739,0,0,0,0
25,0,1,1,ACCEPT,10.5813,2.7122,3176,0,6,0.2827,435.98,516.36,214.64,94.74,431.50,528.50,353.00,247.00,0.2332,12.94,1,1,2.1165,ACCEPT,0,4200,511,9707,0,0,3176,0,0,0,0
26,0,1,1,ACCEPT,8.6249,1.6935,2591,2,6,0.2748,449.39,534.08,214.64,94.74,428.50,533.00,361.00,246.00,0.2290,20.92,1,1,1.4550,LOW_CONF,0,4864,667,10144,0,0,2591,0,0,0,0
27,0,1,1,ACCEPT,12.8102,2.2582,5747,1,8,0.0531,456.09,557.70,214.64,94.74,429.00,557.50,358.00,163.00,0.3485,27.09,1,0,2.2756,ACCEPT,0,8338,412,12100,0,0,5747,0,0,0,0
28,0,1,1,ACCEPT,14.5943,2.9422,8250,0,2,0.7892,456.09,563.61,214.64,94.74,426.00,567.00,362.00,190.00,0.2956,30.28,1,0,2.2892,ACCEPT,0,12438,450,16025,0,0,8250,0,0,0,0
29,0,1,1,ACCEPT,13.2999,2.0461,9001,0,1,0.9497,456.09,566.56,214.64,94.74,425.50,590.50,367.00,243.00,0.2280,38.85,1,0,2.2594,ACCEPT,0,14965,485,15197,0,0,9001,0,0,0,0
30,0,1,1,ACCEPT,10.6649,1.7217,6310,-1,1,0.9170,449.39,569.52,223.22,98.53,430.50,617.50,359.00,303.00,0.2022,51.57,1,1,2.1918,ACCEPT,0,9370,335,11222,0,0,6310,0,0,0,0
31,0,1,1,ACCEPT,8.2243,1.1982,3826,1,-2,0.9882,456.36,563.36,232.15,102.47,460.50,625.00,275.00,320.00,0.2703,61.78,1,1,2.0742,ACCEPT,0,6519,539,11930,0,0,3826,0,0,0,0
32,0,1,1,ACCEPT,7.0523,1.5932,3615,0,2,0.7989,456.36,569.77,232.15,102.47,465.50,625.50,187.00,321.00,0.2964,56.48,1,1,1.8539,LOW_CONF,0,7175,664,9278,0,0,3615,0,0,0,0
33,0,1,0,NEGATIVE_PEAK,-4.8323,1.0913,-2176,-4,-2,0.2822,456.36,569.77,232.15,102.47,489.00,632.00,214.00,288.00,0.2961,70.27,0,0,0.0000,NOT_RUN,0,9907,399,0,0,0,2176,0,0,0,0
34,0,1,0,LOW_PSR,4.6593,1.0315,1932,3,2,0.0797,456.36,569.77,232.15,102.47,478.00,613.00,290.00,294.00,0.2790,48.35,0,0,0.0000,NOT_RUN,0,9026,444,0,0,0,1932,0,0,0,0
35,0,1,0,LOW_PSR,4.1003,1.0102,1885,4,6,0.0674,456.36,569.77,232.15,102.47,475.50,629.50,329.00,261.00,0.2770,62.73,0,0,0.0000,NOT_RUN,0,10465,585,0,0,0,1885,0,0,0,0
