frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,95.00,174.00,60.00,48.00,95.00,174.00,60.00,48.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,826,32025,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,63.6664,17.1212,5085,0,0,1.0000,95.00,174.00,60.00,48.00,95.50,174.00,59.00,48.00,0.9833,0.50,1,0,3.3600,ACCEPT,0,2065,743,29660,0,0,5085,0,0,0,0
2,0,1,1,ACCEPT,63.5053,16.9765,5059,0,0,1.0000,95.00,174.00,60.00,48.00,95.00,174.50,58.00,49.00,0.9476,0.50,1,0,3.3610,ACCEPT,0,2039,643,29931,0,0,5059,0,0,0,0
3,0,1,1,ACCEPT,62.3529,15.6168,5013,0,0,1.0000,95.00,174.00,60.00,48.00,95.00,174.50,58.00,49.00,0.9476,0.50,1,0,3.3396,ACCEPT,0,2064,545,30385,0,0,5013,0,0,0,0
4,0,1,1,ACCEPT,55.4226,13.2881,4704,0,0,1.0000,95.00,174.00,60.00,48.00,95.00,174.00,60.00,50.00,0.9600,0.00,1,0,3.2415,ACCEPT,0,2093,484,27968,0,0,4704,0,0,0,0
5,0,1,1,ACCEPT,46.8570,11.4112,4496,0,-1,0.9858,95.00,172.50,60.00,48.00,94.00,173.50,56.00,51.00,0.8819,1.41,1,0,2.9105,ACCEPT,0,2210,439,28474,0,0,4496,0,0,0,0
6,0,1,1,ACCEPT,41.9699,9.5781,4291,0,0,1.0000,95.00,172.50,60.00,48.00,94.00,173.00,56.00,48.00,0.9147,1.12,1,0,2.9314,ACCEPT,0,2224,347,26735,0,0,4291,0,0,0,0
7,0,1,1,ACCEPT,36.5099,8.6199,3991,0,0,1.0000,95.00,172.50,60.00,48.00,92.00,172.00,56.00,48.00,0.8839,3.04,1,0,2.9359,ACCEPT,0,2246,254,28081,0,0,3991,0,0,0,0
8,0,1,1,ACCEPT,29.9128,6.2879,3691,-1,0,0.9843,93.12,172.50,60.00,48.00,89.00,172.50,58.00,47.00,0.8521,4.12,1,0,2.9593,ACCEPT,0,2287,214,24805,0,0,3691,0,0,0,0
9,0,1,1,ACCEPT,23.2785,5.0311,3235,0,0,1.0000,93.12,172.50,60.00,48.00,87.50,172.50,59.00,45.00,0.7794,5.62,1,0,2.9101,ACCEPT,0,2214,163,24194,0,0,3235,0,0,0,0
10,0,1,1,ACCEPT,17.3721,3.8585,2755,0,1,0.9503,93.12,174.00,60.00,48.00,85.50,175.50,61.00,47.00,0.7338,7.77,1,0,2.8459,ACCEPT,0,2394,162,21130,0,0,2755,0,0,0,0
11,0,1,1,ACCEPT,12.9091,1.8962,2319,1,0,0.9931,95.00,174.00,60.00,48.00,84.50,177.50,61.00,47.00,0.6202,11.07,1,0,3.4871,ACCEPT,0,2641,148,22350,0,0,2319,0,0,0,0
12,0,1,1,ACCEPT,12.1277,1.5740,2479,0,0,1.0000,95.00,174.00,60.00,48.00,82.00,181.00,60.00,48.00,0.5027,14.76,1,0,3.1535,ACCEPT,0,2807,175,23144,0,0,2479,0,0,0,0
13,0,1,1,ACCEPT,11.9242,1.4070,2717,0,0,1.0000,95.00,174.00,60.00,48.00,79.50,184.50,63.00,45.00,0.4080,18.72,1,0,3.2110,ACCEPT,0,2964,201,23830,0,0,2717,0,0,0,0
14,0,1,1,ACCEPT,10.9831,1.3154,2682,0,0,1.0000,95.00,174.00,60.00,48.00,77.50,187.00,65.00,48.00,0.3559,21.80,1,0,3.2933,ACCEPT,0,3173,193,28032,0,0,2682,0,0,0,0
