frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,277.50,433.00,31.00,22.00,277.50,433.00,31.00,22.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,324,10038,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,7.0188,1.4232,602,18,-4,0.2409,294.94,430.25,29.81,21.15,274.00,438.50,24.00,21.00,0.0723,22.50,1,-1,3.0851,ACCEPT,0,1178,233,8106,0,0,602,0,0,0,0
2,0,1,1,ACCEPT,6.8080,1.3248,416,0,0,1.0000,294.94,430.25,29.81,21.15,271.00,438.50,26.00,21.00,0.0452,25.32,1,0,3.2383,ACCEPT,0,711,208,3273,0,0,416,0,0,0,0
3,0,1,1,ACCEPT,8.5459,1.4275,187,4,1,0.1176,298.69,430.91,29.81,21.15,275.50,430.50,25.00,19.00,0.0781,23.19,1,0,3.2878,ACCEPT,0,242,202,5155,0,0,187,0,0,0,0
4,0,1,1,ACCEPT,7.3611,1.4451,237,5,1,0.2700,303.38,431.56,29.81,21.15,281.00,422.50,22.00,15.00,0.0343,24.14,1,0,3.5330,ACCEPT,0,412,220,4763,0,0,237,0,0,0,0
5,0,1,1,ACCEPT,7.7126,1.6068,376,5,-2,0.1649,308.06,430.25,29.81,21.15,287.00,411.00,30.00,16.00,0.0000,28.53,1,0,3.5514,ACCEPT,0,715,234,10097,0,0,376,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-5.3202,1.1537,-578,1,-16,0.1194,308.06,430.25,29.81,21.15,283.50,407.50,29.00,15.00,0.0000,33.48,0,0,0.0000,NOT_RUN,0,1472,147,0,0,0,578,0,0,0,0
7,0,1,0,LOW_PSR,4.8621,1.0553,477,13,3,0.3019,308.06,430.25,29.81,21.15,285.00,407.00,30.00,14.00,0.0000,32.75,0,0,0.0000,NOT_RUN,0,1221,131,0,0,0,477,0,0,0,0
8,0,1,0,LOW_PSR,4.7308,1.2148,543,9,-5,0.2689,308.06,430.25,29.81,21.15,285.00,404.00,28.00,14.00,0.0000,34.94,0,0,0.0000,NOT_RUN,0,1248,171,0,0,0,543,0,0,0,0
9,0,1,1,ACCEPT,5.6390,1.2655,696,2,-4,0.1480,309.94,427.62,29.81,21.15,286.00,404.00,30.00,12.00,0.0000,33.63,1,0,3.4062,ACCEPT,0,1263,229,2101,0,0,696,0,0,0,0
