frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,131.50,350.00,25.00,18.00,131.50,350.00,25.00,18.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,739,7199,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,14.9801,3.0140,859,0,-11,0.1653,131.50,343.81,25.00,18.00,129.00,344.50,24.00,19.00,0.7622,2.59,1,0,3.1818,ACCEPT,0,755,613,1569,0,0,859,0,0,0,0
2,0,1,1,ACCEPT,12.1121,2.5152,166,-1,-10,0.1024,130.72,338.19,25.00,18.00,129.00,339.50,22.00,19.00,0.7584,2.16,1,0,3.2382,ACCEPT,0,159,521,1114,0,0,166,0,0,0,0
3,0,1,1,ACCEPT,9.3328,2.0566,109,0,-10,0.2385,130.72,332.56,25.00,18.00,130.00,336.00,24.00,18.00,0.6465,3.51,1,0,3.1700,ACCEPT,0,146,497,1878,0,0,109,0,0,0,0
4,0,1,1,ACCEPT,9.9514,1.8056,260,-2,-10,0.2038,129.16,326.94,25.00,18.00,129.00,330.50,26.00,19.00,0.6545,3.57,1,0,3.0436,ACCEPT,0,321,502,872,0,0,260,0,0,0,0
5,0,1,1,ACCEPT,11.6128,2.5323,157,1,-7,0.1847,129.94,323.00,25.00,18.00,129.00,326.50,26.00,19.00,0.6401,3.62,1,0,2.7676,ACCEPT,0,170,484,1084,0,0,157,0,0,0,0
6,0,1,1,ACCEPT,7.7625,1.6289,158,-1,-7,0.3608,129.16,319.06,25.00,18.00,129.00,322.50,24.00,17.00,0.6484,3.44,1,0,2.7835,ACCEPT,0,225,416,1421,0,0,158,0,0,0,0
7,0,1,1,ACCEPT,6.3441,1.4750,177,1,-7,0.1469,129.94,315.12,25.00,18.00,128.50,318.50,25.00,17.00,0.6139,3.67,1,0,2.5586,ACCEPT,0,293,346,1805,0,0,177,0,0,0,0
8,0,1,1,ACCEPT,5.9942,1.2739,200,-2,-6,0.4000,128.38,311.75,24.04,17.31,128.00,315.00,26.00,18.00,0.6438,3.27,1,-1,2.4782,ACCEPT,0,392,290,2116,0,0,200,0,0,0,0
9,0,1,1,ACCEPT,7.1529,1.6303,269,1,-7,0.4833,129.12,307.92,24.04,17.31,128.50,312.00,25.00,16.00,0.5828,4.13,1,0,2.5634,ACCEPT,0,418,267,6066,0,0,269,0,0,0,0
10,0,1,1,ACCEPT,6.5235,1.4326,659,-2,-6,0.4097,127.62,304.64,24.04,17.31,127.50,308.50,25.00,17.00,0.6128,3.86,1,0,2.7185,ACCEPT,0,1070,297,3036,0,0,659,0,0,0,0
11,0,1,1,ACCEPT,7.2091,1.8630,544,-1,-6,0.3309,126.88,301.36,23.11,16.64,127.50,306.50,27.00,15.00,0.4548,5.18,1,-1,2.7668,ACCEPT,0,753,261,4927,0,0,544,0,0,0,0
12,0,1,1,ACCEPT,8.0932,1.9186,1084,-1,-4,0.2159,126.16,299.30,23.11,16.64,127.50,303.50,25.00,17.00,0.5479,4.41,1,0,2.7859,ACCEPT,0,1542,241,2938,0,0,1084,0,0,0,0
13,0,1,1,ACCEPT,8.7794,2.1533,618,0,-5,0.1586,126.16,296.72,22.22,16.00,128.00,301.00,26.00,18.00,0.5226,4.66,1,-1,2.7101,ACCEPT,0,893,206,4749,0,0,618,0,0,0,0
14,0,1,1,ACCEPT,8.6014,1.9700,1050,-1,-6,0.1371,125.47,293.72,22.22,16.00,128.00,297.00,26.00,18.00,0.5612,4.14,1,0,2.4819,ACCEPT,0,1556,206,2087,0,0,1050,0,0,0,0
15,0,1,1,ACCEPT,8.4671,1.8159,434,2,-7,0.0645,126.84,290.22,22.22,16.00,127.50,293.50,23.00,17.00,0.6360,3.35,1,0,2.1736,ACCEPT,0,655,207,3976,0,0,434,0,0,0,0
16,0,1,1,ACCEPT,10.7086,2.2846,1156,-2,-4,0.0234,125.47,288.22,21.37,15.39,127.50,290.00,25.00,14.00,0.6733,2.70,1,-1,2.5588,ACCEPT,0,1293,263,2863,0,0,1156,0,0,0,0
17,0,1,1,ACCEPT,12.5521,2.4745,923,1,-6,0.0249,126.14,285.31,20.55,14.79,129.00,287.00,26.00,14.00,0.6351,3.32,1,-1,2.6679,ACCEPT,0,923,196,5892,0,0,923,0,0,0,0
18,0,1,1,ACCEPT,11.6285,2.4199,1827,-1,-4,0.0624,125.50,283.44,19.76,14.23,128.00,283.50,26.00,15.00,0.7207,2.50,1,-1,2.3008,ACCEPT,0,2005,194,12629,0,0,1827,0,0,0,0
19,0,1,1,ACCEPT,11.1483,2.9604,3665,0,-6,0.0742,125.50,280.81,18.27,13.15,128.00,281.00,26.00,14.00,0.6601,2.51,1,-2,2.0913,ACCEPT,0,4427,175,3687,0,0,3665,0,0,0,0
