frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,140.50,186.50,177.00,53.00,140.50,186.50,177.00,53.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1069,16237,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,64.6620,14.2415,5426,0,0,1.0000,140.50,186.50,177.00,53.00,140.50,186.50,177.00,53.00,1.0000,0.00,1,0,3.3660,ACCEPT,0,2325,897,16085,0,0,5426,0,0,0,0
2,0,1,1,ACCEPT,36.1518,8.6723,4076,0,2,0.6249,140.50,189.81,177.00,53.00,138.00,192.50,182.00,61.00,0.8450,3.67,1,0,3.1958,ACCEPT,0,1835,835,13031,0,0,4076,0,0,0,0
3,0,1,1,ACCEPT,38.5979,9.3508,3918,0,0,1.0000,140.50,189.81,177.00,53.00,138.00,192.50,182.00,61.00,0.8450,3.67,1,0,3.2005,ACCEPT,0,1722,713,13733,0,0,3918,0,0,0,0
4,0,1,1,ACCEPT,31.6707,5.8694,3686,0,1,0.8177,140.50,191.47,170.19,50.96,139.00,199.00,178.00,68.00,0.7166,7.68,1,-1,3.0330,ACCEPT,0,1750,868,9977,0,0,3686,0,0,0,0
5,0,1,1,ACCEPT,32.9593,6.7347,3630,0,1,0.9204,140.50,193.06,170.19,50.96,139.00,199.00,178.00,68.00,0.7166,6.12,1,0,3.2365,ACCEPT,0,1863,418,15688,0,0,3630,0,0,0,0
6,0,1,1,ACCEPT,31.0722,6.6661,3993,0,0,1.0000,140.50,193.06,163.65,49.00,136.50,204.50,179.00,71.00,0.6218,12.12,1,-1,2.9991,ACCEPT,0,2158,632,11342,0,0,3993,0,0,0,0
7,0,1,1,ACCEPT,31.2204,6.7149,4405,0,0,1.0000,140.50,193.06,163.65,49.00,136.50,204.50,179.00,71.00,0.6218,12.12,1,0,3.1942,ACCEPT,0,2461,348,15603,0,0,4405,0,0,0,0
8,0,1,1,ACCEPT,25.0846,5.7441,4130,-1,-1,0.8431,135.39,191.53,170.19,50.96,139.00,205.00,182.00,78.00,0.6110,13.94,1,1,3.0795,ACCEPT,0,2635,515,13193,0,0,4130,0,0,0,0
9,0,1,1,ACCEPT,26.4460,5.0088,4528,1,-1,0.9304,140.70,189.94,163.65,49.00,139.00,205.00,182.00,78.00,0.5548,15.16,1,-1,2.7032,ACCEPT,0,2856,517,11847,0,0,4528,0,0,0,0
10,0,1,1,ACCEPT,21.1903,3.1759,4008,-1,-2,0.6891,135.59,186.88,163.65,49.00,138.00,203.00,180.00,80.00,0.5459,16.30,1,0,3.2086,ACCEPT,0,3446,357,18222,0,0,4008,0,0,0,0
11,0,1,1,ACCEPT,22.2379,2.9891,4678,0,0,1.0000,135.59,186.88,163.65,49.00,138.00,203.00,180.00,80.00,0.5459,16.30,1,0,3.2151,ACCEPT,0,3665,386,16667,0,0,4678,0,0,0,0
12,0,1,1,ACCEPT,19.7645,3.0791,4280,0,-3,0.3886,135.59,182.28,163.65,49.00,136.50,195.50,183.00,75.00,0.5801,13.25,1,0,3.1237,ACCEPT,0,4056,441,13719,0,0,4280,0,0,0,0
13,0,1,1,ACCEPT,20.5217,2.6432,4763,0,0,1.0000,135.59,182.28,163.65,49.00,136.50,195.50,183.00,75.00,0.5801,13.25,1,0,3.1309,ACCEPT,0,4169,426,12702,0,0,4763,0,0,0,0
14,0,1,1,ACCEPT,18.4881,3.0147,4100,0,-3,0.4137,135.59,177.69,157.35,47.12,136.50,193.00,179.00,78.00,0.5310,15.34,1,-1,2.8947,ACCEPT,0,3617,391,15587,0,0,4100,0,0,0,0
15,0,1,1,ACCEPT,19.2013,2.5187,4909,0,0,1.0000,135.59,177.69,157.35,47.12,136.50,193.00,179.00,78.00,0.5310,15.34,1,0,3.0897,ACCEPT,0,4191,455,13421,0,0,4909,0,0,0,0
16,0,1,1,ACCEPT,18.4791,2.7650,3965,0,-3,0.3856,135.59,173.28,151.30,45.30,135.00,190.00,180.00,78.00,0.4823,16.73,1,-1,2.7898,ACCEPT,0,3367,244,18562,0,0,3965,0,0,0,0
17,0,1,1,ACCEPT,18.2407,2.4024,4752,0,0,1.0000,135.59,173.28,151.30,45.30,135.00,190.00,180.00,78.00,0.4823,16.73,1,0,2.9850,ACCEPT,0,4093,406,12508,0,0,4752,0,0,0,0
18,0,1,1,ACCEPT,17.9037,3.0054,3877,0,-2,0.8099,135.59,170.44,151.30,45.30,135.50,188.50,175.00,81.00,0.4802,18.06,1,0,2.7369,ACCEPT,0,3354,300,19162,0,0,3877,0,0,0,0
19,0,1,1,ACCEPT,18.4971,2.7989,4691,0,0,1.0000,135.59,170.44,151.30,45.30,135.50,188.50,175.00,81.00,0.4802,18.06,1,0,2.7620,ACCEPT,0,4024,275,16473,0,0,4691,0,0,0,0
20,0,1,1,ACCEPT,18.6287,3.8414,4310,0,-1,0.9624,135.59,169.02,145.48,43.56,135.00,189.00,174.00,86.00,0.4235,19.99,1,-1,2.6736,ACCEPT,0,4297,336,16207,0,0,4310,0,0,0,0
21,0,1,1,ACCEPT,19.1027,3.7540,4640,0,0,1.0000,135.59,169.02,145.48,43.56,135.00,189.00,174.00,86.00,0.4235,19.99,1,0,2.8654,ACCEPT,0,4549,217,14697,0,0,4640,0,0,0,0
22,0,1,1,ACCEPT,17.9326,4.3835,4423,0,-1,0.9665,135.59,167.66,145.48,43.56,135.00,188.00,172.00,84.00,0.4368,20.35,1,0,2.6871,ACCEPT,0,4582,283,15495,0,0,4423,0,0,0,0
23,0,1,1,ACCEPT,19.5450,4.8536,4941,0,0,1.0000,135.59,167.66,145.48,43.56,135.00,188.00,172.00,84.00,0.4368,20.35,1,0,2.7213,ACCEPT,0,4817,274,15456,0,0,4941,0,0,0,0
24,0,1,1,ACCEPT,17.4523,3.5875,4140,0,-1,0.9746,135.59,166.30,139.89,41.89,135.50,183.00,169.00,76.00,0.4562,16.70,1,-1,2.6163,ACCEPT,0,4042,450,14415,0,0,4140,0,0,0,0
25,0,1,1,ACCEPT,18.4220,4.1277,4202,0,1,0.9548,135.59,167.61,139.89,41.89,135.50,183.00,169.00,76.00,0.4562,15.39,1,0,2.7979,ACCEPT,0,4135,232,16468,0,0,4202,0,0,0,0
26,0,1,1,ACCEPT,16.5272,2.6860,3575,0,-1,0.9871,135.59,166.30,139.89,41.89,136.50,177.50,169.00,63.00,0.5373,11.24,1,0,2.6815,ACCEPT,0,3752,430,13949,0,0,3575,0,0,0,0
27,0,1,1,ACCEPT,18.6852,4.0899,3914,0,1,0.9808,135.59,167.61,139.89,41.89,136.50,177.50,169.00,63.00,0.5503,9.93,1,0,2.7482,ACCEPT,0,3555,423,12191,0,0,3914,0,0,0,0
28,0,1,1,ACCEPT,16.4819,2.3442,3024,0,-1,0.9385,135.59,166.30,134.51,40.28,136.00,171.00,168.00,50.00,0.6449,4.72,1,-1,2.5329,ACCEPT,0,3513,351,11203,0,0,3024,0,0,0,0
