frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,262.50,304.50,79.00,33.00,262.50,304.50,79.00,33.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1678,22504,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,25.8307,4.5232,8463,0,12,0.0405,262.50,316.88,79.00,33.00,264.00,315.50,82.00,35.00,0.8889,2.03,1,0,3.0581,ACCEPT,0,8277,1374,19684,0,0,8463,0,0,0,0
2,0,1,1,ACCEPT,23.1633,4.2717,6540,2,13,0.0338,267.44,330.28,79.00,33.00,269.00,332.00,86.00,36.00,0.8318,2.32,1,0,2.9462,ACCEPT,0,6270,1212,19265,0,0,6540,0,0,0,0
3,0,1,1,ACCEPT,30.6141,5.6345,7894,3,11,0.0683,274.84,341.62,79.00,33.00,274.00,342.50,82.00,33.00,0.9145,1.22,1,0,2.9067,ACCEPT,0,5397,1316,18491,0,0,7894,0,0,0,0
4,0,1,1,ACCEPT,31.7563,5.5445,10091,-1,8,0.0222,272.38,349.88,79.00,33.00,272.00,352.00,78.00,30.00,0.8628,2.16,1,0,3.1689,ACCEPT,0,6654,1256,18577,0,0,10091,0,0,0,0
5,0,1,1,ACCEPT,47.5784,12.1834,15278,-1,-2,0.5513,269.91,347.81,79.00,33.00,268.50,348.50,81.00,33.00,0.9267,1.57,1,0,2.9814,ACCEPT,0,6869,907,18800,0,0,15278,0,0,0,0
6,0,1,1,ACCEPT,34.2017,7.2901,13195,0,-3,0.3163,269.91,344.72,79.00,33.00,269.00,344.00,86.00,30.00,0.8413,1.16,1,0,2.9705,ACCEPT,0,7293,441,20332,0,0,13195,0,0,0,0
7,0,1,1,ACCEPT,33.5420,7.4424,11439,1,-4,0.1638,272.38,340.59,82.16,34.32,272.50,340.50,85.00,33.00,0.9306,0.16,1,1,2.8442,ACCEPT,0,6542,478,19765,0,0,11439,0,0,0,0
8,0,1,1,ACCEPT,31.5844,7.4307,12060,3,-7,0.0646,280.06,333.05,82.16,34.32,277.50,334.00,81.00,30.00,0.8233,2.73,1,0,2.7452,ACCEPT,0,7660,561,15782,0,0,12060,0,0,0,0
9,0,1,1,ACCEPT,34.1104,7.7780,14257,-2,1,0.4958,274.94,334.12,79.00,33.00,275.00,335.00,80.00,32.00,0.9362,0.88,1,-1,2.8694,ACCEPT,0,8065,646,18853,0,0,14257,0,0,0,0
