frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,264.00,438.50,136.00,103.00,264.00,438.50,136.00,103.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3327,23905,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,56.9181,12.6946,10600,1,-1,0.9345,268.25,435.28,141.44,107.12,266.00,437.00,134.00,104.00,0.9171,2.83,1,1,2.9697,ACCEPT,0,4132,2754,22950,0,0,10600,0,0,0,0
2,0,1,1,ACCEPT,50.5746,10.8621,9928,1,1,0.9181,272.67,438.62,136.00,103.00,270.50,437.00,133.00,102.00,0.9384,2.71,1,-1,2.7320,ACCEPT,0,4332,2506,21112,0,0,9928,0,0,0,0
3,0,1,1,ACCEPT,18.8777,3.3143,5757,2,0,0.5807,281.17,438.62,130.77,99.04,284.00,438.50,120.00,101.00,0.9013,2.83,1,-1,2.5333,ACCEPT,0,4483,1847,15345,0,0,5757,0,0,0,0
4,0,1,1,ACCEPT,8.1566,1.0056,2171,7,6,0.2160,309.83,457.19,120.90,91.57,302.50,445.00,121.00,110.00,0.7033,14.22,1,-2,2.5233,ACCEPT,0,3916,1504,14004,0,0,2171,0,0,0,0
5,0,1,1,ACCEPT,6.4961,1.4739,1776,4,-6,0.1802,324.95,440.03,120.90,91.57,323.00,464.50,100.00,113.00,0.5334,24.55,1,3,2.8045,MAX_STEP,0,3302,966,14854,0,0,1776,0,0,0,0
6,0,1,1,ACCEPT,7.5411,1.5309,2232,2,2,0.0470,332.52,445.75,120.90,91.57,326.00,487.00,90.00,120.00,0.3616,41.76,1,0,2.4397,ACCEPT,0,3314,1136,16137,0,0,2232,0,0,0,0
7,0,1,1,ACCEPT,6.1663,1.0067,1813,-3,21,0.2857,321.17,505.80,120.90,91.57,350.50,528.00,87.00,114.00,0.4015,36.78,1,-1,1.9198,LOW_CONF,0,4029,1004,13573,0,0,1813,0,0,0,0
8,0,1,1,ACCEPT,6.7602,1.5171,2174,-2,16,0.0350,313.61,551.55,120.90,91.57,353.00,555.50,98.00,87.00,0.4390,39.59,1,-1,1.9667,LOW_CONF,0,4324,272,27583,0,0,2174,0,0,0,0
9,0,1,1,ACCEPT,7.6631,1.6097,2685,10,7,0.3337,351.42,571.56,120.90,91.57,356.00,572.50,118.00,81.00,0.8217,4.67,1,-4,2.1314,MAX_STEP,0,5942,755,25029,0,0,2685,0,0,0,0
10,0,1,1,ACCEPT,8.4307,1.4678,3574,-3,-4,0.2577,340.08,560.12,120.90,91.57,357.00,570.00,110.00,94.00,0.6169,19.59,1,-6,1.2755,MAX_STEP,0,5561,857,32767,0,0,3574,0,0,0,0
11,0,1,0,LOW_PSR,4.5531,1.2297,621,-8,8,0.2029,340.08,560.12,120.90,91.57,358.50,449.00,97.00,74.00,0.0000,112.64,0,0,0.0000,NOT_RUN,0,3252,1212,0,0,0,621,0,0,0,0
12,0,1,0,LOW_PSR,4.0706,1.0063,478,17,2,0.9582,340.08,560.12,120.90,91.57,346.00,376.50,100.00,69.00,0.0000,183.72,0,0,0.0000,NOT_RUN,0,1883,858,0,0,0,478,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-5.9227,1.4087,-879,-15,3,0.1968,340.08,560.12,120.90,91.57,343.00,315.50,112.00,77.00,0.0000,244.64,0,0,0.0000,NOT_RUN,0,2404,204,0,0,0,879,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-5.5829,1.2603,-828,-15,0,0.1280,340.08,560.12,120.90,91.57,349.00,336.00,100.00,88.00,0.0000,224.30,0,0,0.0000,NOT_RUN,0,2489,361,0,0,0,828,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-5.6739,1.3472,-842,-15,2,0.1354,340.08,560.12,120.90,91.57,338.50,382.00,99.00,62.00,0.0000,178.13,0,0,0.0000,NOT_RUN,0,2525,260,0,0,0,842,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-5.7779,1.4470,-819,-15,5,0.5971,340.08,560.12,120.90,91.57,333.50,419.50,111.00,57.00,0.0000,140.78,0,0,0.0000,NOT_RUN,0,2223,243,0,0,0,819,0,0,0,0
