frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,212.00,524.00,28.00,20.00,212.00,524.00,28.00,20.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,244,13366,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,18.6319,5.0641,790,3,14,0.0089,214.62,532.75,28.00,20.00,213.00,533.50,28.00,19.00,0.8277,1.79,1,0,3.1052,ACCEPT,0,853,132,18961,0,0,790,0,0,0,0
2,0,1,1,ACCEPT,12.0375,2.9873,1174,7,14,0.0392,220.75,541.50,28.00,20.00,219.50,543.00,27.00,20.00,0.7904,1.95,1,0,2.9259,ACCEPT,0,1342,138,14936,0,0,1174,0,0,0,0
3,0,1,1,ACCEPT,12.4494,3.1073,1709,7,12,0.0515,226.88,549.00,26.92,19.23,225.50,551.00,31.00,20.00,0.7148,2.43,1,-1,2.7037,ACCEPT,0,1750,129,12680,0,0,1709,0,0,0,0
4,0,1,1,ACCEPT,13.8468,2.3167,1397,4,0,0.0931,230.25,549.00,26.92,19.23,229.00,550.50,28.00,19.00,0.7852,1.95,1,0,2.8282,ACCEPT,0,1359,113,11804,0,0,1397,0,0,0,0
5,0,1,1,ACCEPT,11.0905,1.7642,1115,2,-2,0.6395,231.94,547.81,26.92,19.23,230.50,549.50,27.00,19.00,0.7592,2.22,1,0,2.9623,ACCEPT,0,1321,97,12300,0,0,1115,0,0,0,0
6,0,1,1,ACCEPT,5.2225,1.1449,948,2,-15,0.2785,233.62,538.91,26.92,19.23,232.00,541.00,26.00,20.00,0.7222,2.65,1,0,2.8481,ACCEPT,0,1964,121,12304,0,0,948,0,0,0,0
7,0,1,1,ACCEPT,8.3708,1.7990,1495,5,-14,0.0656,237.84,530.59,26.92,19.23,237.00,531.00,26.00,16.00,0.7824,0.94,1,0,2.7287,ACCEPT,0,2607,155,9212,0,0,1495,0,0,0,0
8,0,1,1,ACCEPT,7.9574,2.1566,1033,4,-18,0.3107,241.22,519.91,26.92,19.23,239.50,520.00,25.00,16.00,0.7320,1.72,1,0,2.9468,ACCEPT,0,1782,187,9867,0,0,1033,0,0,0,0
9,0,1,1,ACCEPT,14.1657,4.1005,1509,0,-8,0.0232,241.22,515.16,26.92,19.23,239.50,516.50,29.00,19.00,0.7742,2.18,1,0,3.0401,ACCEPT,0,1615,113,13981,0,0,1509,0,0,0,0
10,0,1,1,ACCEPT,13.9122,2.7401,2288,-3,0,0.3055,238.69,515.16,26.92,19.23,236.50,513.50,27.00,17.00,0.7166,2.74,1,0,2.9764,ACCEPT,0,2948,62,13796,0,0,2288,0,0,0,0
11,0,1,1,ACCEPT,9.1291,2.1596,1894,-4,17,0.0322,235.31,525.25,26.92,19.23,234.00,524.00,26.00,18.00,0.7954,1.81,1,0,3.0938,ACCEPT,0,2852,112,10417,0,0,1894,0,0,0,0
12,0,1,1,ACCEPT,10.1431,2.4497,1411,-3,15,0.0085,232.78,534.16,26.92,19.23,231.00,533.50,26.00,19.00,0.8191,1.90,1,0,3.1431,ACCEPT,0,1987,82,14428,0,0,1411,0,0,0,0
13,0,1,1,ACCEPT,10.4174,2.4310,2149,-1,22,0.1094,231.94,547.22,26.92,19.23,232.50,547.00,27.00,20.00,0.9229,0.60,1,0,3.0598,ACCEPT,0,3234,120,11647,0,0,2149,0,0,0,0
14,0,1,1,ACCEPT,15.7332,3.8959,2844,4,14,0.0394,235.31,555.53,26.92,19.23,234.50,553.50,27.00,19.00,0.7649,2.19,1,0,3.1234,ACCEPT,0,3175,119,15589,0,0,2844,0,0,0,0
15,0,1,1,ACCEPT,13.7978,3.1479,3469,6,12,0.0721,240.38,562.66,26.92,19.23,240.00,561.50,30.00,19.00,0.8002,1.22,1,0,2.9764,ACCEPT,0,3185,103,15479,0,0,3469,0,0,0,0
16,0,1,1,ACCEPT,16.1979,2.7268,2795,5,-1,0.0404,244.59,562.06,26.92,19.23,243.50,561.00,29.00,16.00,0.7790,1.52,1,0,2.9389,ACCEPT,0,2531,79,18897,0,0,2795,0,0,0,0
17,0,1,1,ACCEPT,16.7505,3.5545,3487,2,3,0.2005,246.28,563.84,26.92,19.23,245.00,561.50,28.00,17.00,0.7109,2.67,1,0,3.1111,ACCEPT,0,3187,69,13677,0,0,3487,0,0,0,0
18,0,1,1,ACCEPT,9.4525,2.2809,3134,-1,-13,0.1190,245.44,556.12,26.92,19.23,244.00,555.00,26.00,14.00,0.6593,1.83,1,0,3.0892,ACCEPT,0,4490,91,10909,0,0,3134,0,0,0,0
19,0,1,1,ACCEPT,9.7676,2.4842,2437,-1,-17,0.0181,244.59,546.03,26.92,19.23,244.00,547.00,26.00,16.00,0.7961,1.14,1,0,3.0791,ACCEPT,0,4264,105,12866,0,0,2437,0,0,0,0
20,0,1,1,ACCEPT,9.9184,3.0104,2881,4,-22,0.0146,247.97,532.97,26.92,19.23,246.50,533.00,27.00,16.00,0.7527,1.47,1,0,3.1299,ACCEPT,0,4505,151,8644,0,0,2881,0,0,0,0
21,0,1,1,ACCEPT,11.5757,3.3424,2470,4,-16,0.1526,251.34,523.47,26.92,19.23,250.50,524.00,29.00,18.00,0.8730,1.00,1,0,3.1995,ACCEPT,0,3369,123,13181,0,0,2470,0,0,0,0
22,0,1,1,ACCEPT,15.5773,4.0790,3769,2,-14,0.0080,253.03,515.16,26.92,19.23,252.00,515.50,28.00,17.00,0.8253,1.09,1,0,3.1715,ACCEPT,0,3422,95,13561,0,0,3769,0,0,0,0
23,0,1,1,ACCEPT,14.9584,3.6958,4143,-2,-3,0.3640,251.34,513.38,26.92,19.23,251.00,513.50,30.00,21.00,0.8218,0.37,1,0,3.0782,ACCEPT,0,4199,62,14438,0,0,4143,0,0,0,0
24,0,1,1,ACCEPT,10.7242,2.7044,4473,-4,7,0.1107,247.97,517.53,26.92,19.23,247.00,516.50,28.00,17.00,0.8289,1.41,1,0,3.1940,ACCEPT,0,5600,74,8839,0,0,4473,0,0,0,0
25,0,1,1,ACCEPT,8.8405,1.9827,2298,-5,20,0.0866,243.75,529.41,26.92,19.23,243.50,528.50,29.00,19.00,0.8474,0.94,1,0,3.1149,ACCEPT,0,2887,106,9660,0,0,2298,0,0,0,0
26,0,1,1,ACCEPT,11.0316,2.9108,2416,-3,22,0.0257,241.22,542.47,26.92,19.23,240.50,542.50,27.00,17.00,0.8408,0.72,1,0,3.1091,ACCEPT,0,2870,120,10214,0,0,2416,0,0,0,0
27,0,1,1,ACCEPT,11.4200,3.3683,1317,0,27,0.0896,241.22,558.50,26.92,19.23,239.00,558.50,26.00,17.00,0.7526,2.22,1,0,3.1158,ACCEPT,0,2178,162,11436,0,0,1317,0,0,0,0
