frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,200.00,466.00,44.00,40.00,200.00,466.00,44.00,40.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,294,16898,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,49.9465,12.3597,3436,0,-3,0.1708,200.00,462.25,44.00,40.00,199.00,462.00,46.00,42.00,0.9110,1.03,1,0,3.3005,ACCEPT,0,1659,227,15298,0,0,3436,0,0,0,0
2,0,1,1,ACCEPT,36.4489,8.4554,2748,-1,-3,0.1266,198.62,458.50,44.00,40.00,199.50,459.00,45.00,42.00,0.9160,1.01,1,0,3.1892,ACCEPT,0,1712,180,17652,0,0,2748,0,0,0,0
3,0,1,1,ACCEPT,28.7593,5.1532,2556,0,-4,0.0293,198.62,453.50,44.00,40.00,198.50,455.50,45.00,45.00,0.8691,2.00,1,0,2.9928,ACCEPT,0,1709,170,16269,0,0,2556,0,0,0,0
4,0,1,1,ACCEPT,19.6244,3.7734,2015,0,-4,0.3226,198.62,448.50,44.00,40.00,199.00,452.50,46.00,45.00,0.7931,4.02,1,0,2.8277,ACCEPT,0,1827,212,12878,0,0,2015,0,0,0,0
5,0,1,1,ACCEPT,15.9395,3.0098,1529,0,-3,0.4467,198.62,444.75,44.00,40.00,198.50,447.00,47.00,46.00,0.8141,2.25,1,0,2.8833,ACCEPT,0,1439,146,14440,0,0,1529,0,0,0,0
6,0,1,1,ACCEPT,12.8518,2.2987,1262,-1,-3,0.4643,197.25,441.00,44.00,40.00,196.50,445.00,47.00,46.00,0.7779,4.07,1,0,3.1518,ACCEPT,0,1369,143,14715,0,0,1262,0,0,0,0
7,0,1,1,ACCEPT,12.1385,2.3868,1234,-1,-2,0.5551,195.88,438.50,44.00,40.00,197.00,442.00,50.00,46.00,0.7485,3.68,1,0,3.2617,ACCEPT,0,1388,138,16408,0,0,1234,0,0,0,0
8,0,1,1,ACCEPT,11.0836,2.1369,1498,-1,-3,0.1709,194.50,434.75,44.00,40.00,193.00,439.00,48.00,46.00,0.7534,4.51,1,0,3.1576,ACCEPT,0,1816,124,21574,0,0,1498,0,0,0,0
9,0,1,1,ACCEPT,11.9087,2.0278,2115,-2,-2,0.2842,191.75,432.25,44.00,40.00,194.00,435.00,52.00,46.00,0.7358,3.55,1,0,3.1858,ACCEPT,0,2417,118,18368,0,0,2115,0,0,0,0
10,0,1,1,ACCEPT,12.2148,1.6628,2012,-1,-2,0.4990,190.38,429.75,44.00,40.00,191.00,432.00,50.00,46.00,0.7652,2.34,1,0,3.3688,ACCEPT,0,2424,166,22996,0,0,2012,0,0,0,0
11,0,1,1,ACCEPT,12.1283,1.7463,3304,-1,-3,0.2878,189.00,426.00,44.00,40.00,189.50,431.00,51.00,46.00,0.6869,5.02,1,0,3.1043,ACCEPT,0,3875,163,22464,0,0,3304,0,0,0,0
12,0,1,1,ACCEPT,12.3659,1.6353,2919,-2,-1,0.6040,186.25,424.75,44.00,40.00,188.00,428.50,56.00,45.00,0.6621,4.14,1,0,3.1218,ACCEPT,0,3728,125,23061,0,0,2919,0,0,0,0
13,0,1,1,ACCEPT,13.1377,1.6708,2989,0,-2,0.6524,186.25,422.25,44.00,40.00,186.00,427.00,54.00,46.00,0.6572,4.76,1,0,3.1093,ACCEPT,0,3532,114,18499,0,0,2989,0,0,0,0
14,0,1,1,ACCEPT,13.5471,2.0875,3102,-1,-1,0.8817,184.88,421.00,44.00,40.00,185.50,426.50,55.00,45.00,0.6245,5.54,1,0,3.0586,ACCEPT,0,3731,111,14951,0,0,3102,0,0,0,0
15,0,1,1,ACCEPT,14.3726,2.6713,3072,-2,0,0.7943,182.12,421.00,44.00,40.00,183.50,425.50,57.00,45.00,0.6302,4.71,1,0,3.0408,ACCEPT,0,3704,78,15524,0,0,3072,0,0,0,0
16,0,1,1,ACCEPT,13.8199,2.8317,3129,-1,0,0.8913,180.75,421.00,44.00,40.00,182.50,425.50,59.00,47.00,0.6092,4.83,1,0,3.0607,ACCEPT,0,3399,81,13516,0,0,3129,0,0,0,0
17,0,1,1,ACCEPT,9.2806,2.4063,2505,-2,0,0.6299,178.00,421.00,44.00,40.00,179.50,427.50,55.00,43.00,0.5957,6.67,1,0,3.0110,ACCEPT,0,3624,71,13066,0,0,2505,0,0,0,0
18,0,1,1,ACCEPT,10.2336,2.3446,2701,-2,1,0.9019,175.25,422.25,44.00,40.00,178.00,430.00,58.00,46.00,0.5391,8.22,1,0,2.9582,ACCEPT,0,3734,120,10987,0,0,2701,0,0,0,0
19,0,1,1,ACCEPT,11.4753,2.5983,3001,-2,4,0.5255,172.50,427.25,44.00,40.00,172.50,434.50,53.00,45.00,0.5979,7.25,1,0,2.9552,ACCEPT,0,3838,151,22030,0,0,3001,0,0,0,0
20,0,1,1,ACCEPT,12.1464,2.3707,4099,-3,4,0.5384,168.38,432.25,44.00,40.00,172.00,440.00,60.00,48.00,0.5238,8.56,1,0,3.0465,ACCEPT,0,5974,97,18018,0,0,4099,0,0,0,0
21,0,1,1,ACCEPT,12.7729,2.5705,3920,-2,4,0.5367,165.62,437.25,44.00,40.00,168.00,445.50,60.00,45.00,0.5103,8.59,1,0,3.0195,ACCEPT,0,5648,94,15273,0,0,3920,0,0,0,0
22,0,1,1,ACCEPT,13.1452,2.8536,3373,-2,5,0.3617,162.88,443.50,44.00,40.00,165.00,452.50,64.00,47.00,0.4671,9.25,1,0,2.9400,ACCEPT,0,4563,122,17399,0,0,3373,0,0,0,0
23,0,1,1,ACCEPT,10.5374,2.1733,3738,-2,5,0.1292,160.12,449.75,44.00,40.00,164.50,463.00,69.00,50.00,0.3664,13.95,1,0,2.6536,ACCEPT,0,5808,102,18949,0,0,3738,0,0,0,0
24,0,1,1,ACCEPT,10.5767,2.4570,3145,-3,6,0.1256,156.00,457.25,44.00,40.00,164.50,471.00,73.00,54.00,0.3451,16.17,1,0,3.0016,ACCEPT,0,6373,121,17276,0,0,3145,0,0,0,0
25,0,1,1,ACCEPT,11.0857,2.2957,3967,-4,8,0.0850,150.50,467.25,44.00,40.00,161.00,482.50,84.00,57.00,0.2877,18.52,1,0,2.9276,ACCEPT,0,7193,122,22910,0,0,3967,0,0,0,0
26,0,1,1,ACCEPT,12.4096,2.4290,4943,-4,7,0.2096,145.00,476.00,44.00,40.00,153.00,490.00,84.00,58.00,0.3024,16.12,1,0,2.9779,ACCEPT,0,7843,156,16282,0,0,4943,0,0,0,0
27,0,1,1,ACCEPT,12.8834,2.1197,5649,-4,6,0.2562,139.50,483.50,44.00,40.00,146.50,497.50,87.00,63.00,0.2951,15.65,1,0,3.1057,ACCEPT,0,8438,148,18022,0,0,5649,0,0,0,0
28,0,1,1,ACCEPT,9.3314,1.5321,3147,-5,4,0.2854,132.62,488.50,44.00,40.00,141.50,507.50,91.00,69.00,0.2412,20.97,1,0,3.1032,ACCEPT,0,5490,94,18667,0,0,3147,0,0,0,0
29,0,1,1,ACCEPT,8.3088,1.4777,3811,-6,4,0.1039,124.38,493.50,44.00,40.00,137.00,520.50,106.00,77.00,0.1624,29.81,1,0,3.1181,ACCEPT,0,7500,130,13793,0,0,3811,0,0,0,0
30,0,1,1,ACCEPT,5.5212,1.3144,2195,-7,7,0.1900,114.75,502.25,44.00,40.00,127.50,529.00,117.00,82.00,0.1530,29.63,1,0,3.1322,ACCEPT,0,6806,76,16538,0,0,2195,0,0,0,0
31,0,1,1,ACCEPT,7.5421,1.6592,2824,-7,4,0.0701,105.12,507.25,44.00,40.00,118.50,536.00,125.00,88.00,0.1384,31.71,1,0,2.8872,ACCEPT,0,7818,81,21751,0,0,2824,0,0,0,0
32,0,1,1,ACCEPT,7.0048,1.4146,2211,-8,4,0.5274,94.12,512.25,44.00,40.00,112.50,543.50,133.00,101.00,0.1282,36.25,1,0,2.8339,ACCEPT,0,5511,69,14858,0,0,2211,0,0,0,0
33,0,1,1,ACCEPT,9.0985,2.0911,2250,-5,0,0.4591,87.25,512.25,44.00,40.00,107.00,545.50,142.00,107.00,0.1158,38.67,1,0,2.9295,ACCEPT,0,5672,94,19536,0,0,2250,0,0,0,0
34,0,1,1,ACCEPT,8.8886,1.9852,2813,-5,-1,0.3896,80.38,511.00,44.00,40.00,101.50,550.50,149.00,121.00,0.0976,44.79,1,0,3.0183,ACCEPT,0,5783,97,19840,0,0,2813,0,0,0,0
35,0,1,1,ACCEPT,6.2821,1.2316,1824,-2,-4,0.0625,77.62,506.00,44.00,40.00,100.00,550.00,164.00,132.00,0.0813,49.36,1,0,2.9800,ACCEPT,0,6195,47,19022,0,0,1824,0,0,0,0
36,0,1,1,ACCEPT,5.2249,1.1868,1442,-7,-1,0.1491,68.00,504.75,44.00,40.00,97.50,547.00,175.00,140.00,0.0718,51.53,1,0,2.9649,ACCEPT,0,5183,46,17411,0,0,1442,0,0,0,0
37,0,1,1,ACCEPT,6.2842,1.2799,1733,-7,0,0.0519,58.38,504.75,44.00,40.00,98.50,541.00,191.00,150.00,0.0614,54.07,1,0,2.8533,ACCEPT,0,6720,58,13514,0,0,1733,0,0,0,0
38,0,1,0,LOW_PSR,4.7897,1.0611,1215,-2,-8,0.0807,58.38,504.75,44.00,40.00,106.50,527.50,209.00,155.00,0.0543,53.23,0,0,0.0000,NOT_RUN,0,5401,109,0,0,0,1215,0,0,0,0
39,0,1,0,LOW_PSR,4.4800,1.0452,971,-13,11,0.8229,58.38,504.75,44.00,40.00,104.00,514.00,204.00,170.00,0.0507,46.55,0,0,0.0000,NOT_RUN,0,5636,93,0,0,0,971,0,0,0,0
40,0,1,1,ACCEPT,5.5123,1.1528,1237,-12,8,0.0283,41.88,514.75,44.00,40.00,104.50,496.50,205.00,177.00,0.0485,65.23,1,0,2.8177,ACCEPT,0,4313,62,14209,0,0,1237,0,0,0,0
41,0,1,0,LOW_PSR,4.1211,1.2559,849,-2,-1,0.9105,41.88,514.75,44.00,40.00,115.00,489.50,226.00,183.00,0.0426,77.36,0,0,0.0000,NOT_RUN,0,7685,69,0,0,0,849,0,0,0,0
42,0,1,0,LOW_PSR,3.7451,1.0220,603,-4,21,0.1857,41.88,514.75,44.00,40.00,124.00,477.50,244.00,195.00,0.0370,90.18,0,0,0.0000,NOT_RUN,0,5032,110,0,0,0,603,0,0,0,0
43,0,1,1,ACCEPT,6.5684,1.4837,1273,-4,10,0.0597,36.38,527.25,44.00,40.00,135.50,460.50,267.00,211.00,0.0312,119.50,1,0,3.0990,ACCEPT,0,5221,124,13124,0,0,1273,0,0,0,0
44,0,1,1,ACCEPT,6.0020,1.0210,1167,-4,4,0.3453,30.88,532.25,44.00,40.00,139.00,453.50,274.00,225.00,0.0285,133.76,1,0,3.1872,ACCEPT,0,4121,62,15307,0,0,1167,0,0,0,0
45,0,1,0,LOW_PSR,4.1960,1.0671,986,-3,-3,0.0903,30.88,532.25,44.00,40.00,143.00,450.50,280.00,239.00,0.0263,138.76,0,0,0.0000,NOT_RUN,0,5025,72,0,0,0,986,0,0,0,0
46,0,1,1,ACCEPT,5.5662,1.1430,1119,0,7,0.3539,30.88,541.00,44.00,40.00,147.00,439.50,290.00,259.00,0.0234,154.23,1,0,2.7281,ACCEPT,0,4812,62,13718,0,0,1119,0,0,0,0
47,0,1,0,LOW_PSR,4.8600,1.1254,1032,-4,-3,0.2045,30.88,541.00,44.00,40.00,151.50,437.50,299.00,263.00,0.0224,158.94,0,0,0.0000,NOT_RUN,0,3208,147,0,0,0,1032,0,0,0,0
48,0,1,0,LOW_PSR,4.4979,1.0572,942,-17,24,0.3142,30.88,541.00,44.00,40.00,154.50,434.50,305.00,269.00,0.0215,163.17,0,0,0.0000,NOT_RUN,0,3197,143,0,0,0,942,0,0,0,0
49,0,1,0,LOW_PSR,4.5907,1.1456,897,-18,23,0.7860,30.88,541.00,44.00,40.00,154.50,426.50,305.00,279.00,0.0207,168.50,0,0,0.0000,NOT_RUN,0,3412,154,0,0,0,897,0,0,0,0
50,0,1,0,LOW_PSR,4.7720,1.2005,1030,-21,22,0.5689,30.88,541.00,44.00,40.00,152.50,415.50,301.00,299.00,0.0196,174.77,0,0,0.0000,NOT_RUN,0,3791,149,0,0,0,1030,0,0,0,0
51,0,1,0,LOW_PSR,4.8285,1.2334,856,-1,-2,0.8400,30.88,541.00,44.00,40.00,158.50,407.00,313.00,294.00,0.0157,185.05,0,0,0.0000,NOT_RUN,0,3384,160,0,0,0,856,0,0,0,0
52,0,1,0,LOW_PSR,4.7976,1.0306,1146,-20,15,0.3019,30.88,541.00,44.00,40.00,156.00,397.50,310.00,299.00,0.0123,190.39,0,0,0.0000,NOT_RUN,0,4609,139,0,0,0,1146,0,0,0,0
53,0,1,0,LOW_PSR,4.8405,1.0198,1082,-9,8,0.3373,30.88,541.00,44.00,40.00,155.00,386.50,308.00,309.00,0.0092,198.18,0,0,0.0000,NOT_RUN,0,4088,154,0,0,0,1082,0,0,0,0
54,0,1,1,ACCEPT,5.4400,1.2495,641,-11,-3,0.1716,15.75,537.25,44.00,40.00,146.50,368.00,291.00,310.00,0.0023,213.87,1,0,2.8439,ACCEPT,0,2143,171,16354,0,0,641,0,0,0,0
55,0,1,1,ACCEPT,7.1530,1.2964,468,2,-2,0.8654,18.50,534.75,44.00,40.00,146.00,341.50,290.00,303.00,0.0000,231.52,1,0,2.7770,ACCEPT,0,1260,154,19865,0,0,468,0,0,0,0
56,0,1,1,ACCEPT,7.1689,1.3978,903,4,17,0.2414,24.00,556.00,44.00,40.00,146.00,314.00,290.00,314.00,0.0000,271.01,1,0,2.9967,ACCEPT,0,3015,145,16806,0,0,903,0,0,0,0
57,0,1,1,ACCEPT,8.0467,1.3554,492,-1,21,0.0020,22.62,582.25,44.00,40.00,146.00,287.50,290.00,315.00,0.0000,319.53,1,0,2.8934,ACCEPT,0,1303,116,20031,0,0,492,0,0,0,0
58,0,1,1,ACCEPT,7.5954,1.2942,651,0,19,0.0768,22.62,606.00,44.00,40.00,143.00,259.50,284.00,319.00,0.0000,366.81,1,0,2.9582,ACCEPT,0,1883,81,20300,0,0,651,0,0,0,0
59,0,1,1,ACCEPT,6.8828,2.0303,402,0,16,0.4229,22.62,626.00,42.31,38.46,147.00,244.00,292.00,334.00,0.0000,401.74,1,-1,2.6978,ACCEPT,0,1193,50,12211,0,0,402,0,0,0,0
60,0,1,1,ACCEPT,5.2208,1.0466,292,7,-2,0.4041,31.92,623.59,42.31,38.46,153.50,225.50,305.00,325.00,0.0000,416.24,1,0,3.1588,ACCEPT,0,1144,58,17436,0,0,292,0,0,0,0
