frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,670.50,911.50,341.00,183.00,670.50,911.50,341.00,183.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,4602,17443,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,32.8278,8.7301,4269,0,-2,0.7653,670.50,900.06,327.88,175.96,669.50,907.50,333.00,177.00,0.9055,7.50,1,-1,2.6481,ACCEPT,0,2850,3274,18253,0,0,4269,0,0,0,0
2,0,1,1,ACCEPT,23.2253,5.3429,3553,1,-2,0.7889,680.75,889.06,327.88,175.96,681.00,888.00,312.00,190.00,0.8844,1.09,1,0,2.3538,ACCEPT,0,2966,2525,12537,0,0,3553,0,0,0,0
3,0,1,1,ACCEPT,16.3880,3.5670,1862,0,-1,0.9646,680.75,883.56,315.27,169.19,693.00,872.50,296.00,207.00,0.7640,16.51,1,-1,2.5547,ACCEPT,0,2288,1535,32767,0,0,1862,0,0,0,0
4,0,1,1,ACCEPT,11.9718,1.1706,2505,0,0,1.0000,680.75,883.56,315.27,169.19,712.00,861.50,278.00,237.00,0.6041,38.25,1,-7,1.6710,MAX_STEP,0,3114,1072,25282,0,0,2505,0,0,0,0
5,0,1,1,ACCEPT,12.7861,1.6514,2094,0,3,0.3625,680.75,899.41,315.27,169.19,714.50,868.50,279.00,255.00,0.5576,45.76,1,-8,1.5018,MAX_STEP,0,2505,1020,22239,0,0,2094,0,0,0,0
6,0,1,1,ACCEPT,10.7196,2.2252,1433,0,6,0.3580,680.75,931.09,315.27,169.19,720.00,888.50,266.00,289.00,0.4851,57.92,1,-7,1.7381,MAX_STEP,0,1827,827,15771,0,0,1433,0,0,0,0
7,0,1,1,ACCEPT,8.5550,1.5462,971,-1,3,0.1740,670.89,946.94,315.27,169.19,729.00,906.00,262.00,310.00,0.4082,71.08,1,-12,1.6213,MAX_STEP,0,1627,827,19428,0,0,971,0,0,0,0
8,0,1,1,ACCEPT,7.2465,1.3799,850,0,5,0.3965,670.89,973.34,315.27,169.19,740.00,926.00,244.00,344.00,0.3504,83.77,1,-15,1.6608,MAX_STEP,0,1942,779,21658,0,0,850,0,0,0,0
9,0,1,1,ACCEPT,6.5223,1.2867,902,-1,3,0.1042,661.03,989.19,315.27,169.19,739.50,942.50,245.00,353.00,0.3228,91.31,1,-4,1.8549,MAX_STEP,0,2489,754,24284,0,0,902,0,0,0,0
10,0,1,0,LOW_PSR,4.8694,1.0016,640,-2,11,0.6141,661.03,989.19,315.27,169.19,741.50,971.50,235.00,359.00,0.3144,82.39,0,0,0.0000,NOT_RUN,0,2447,719,0,0,0,640,0,0,0,0
11,0,1,0,LOW_PSR,4.6317,1.0822,698,-3,15,0.7980,661.03,989.19,315.27,169.19,745.50,1000.50,247.00,375.00,0.2953,85.22,0,0,0.0000,NOT_RUN,0,2812,751,0,0,0,698,0,0,0,0
12,0,1,1,ACCEPT,5.8478,1.1302,1042,16,-9,0.2198,818.78,941.66,315.27,169.19,739.50,1027.50,241.00,379.00,0.3030,116.85,1,0,2.2996,ACCEPT,0,3488,672,27315,0,0,1042,0,0,0,0
13,0,1,1,ACCEPT,12.3965,2.1151,4006,-2,2,0.8994,799.06,952.22,341.00,183.00,727.00,1041.50,232.00,369.00,0.3608,114.74,1,2,2.2391,ACCEPT,0,5133,1691,19069,0,0,4006,0,0,0,0
14,0,1,1,ACCEPT,15.5411,2.4125,4205,-4,4,0.3042,756.44,975.09,341.00,183.00,695.50,1053.00,243.00,388.00,0.3696,98.91,1,4,2.2368,MAX_STEP,0,3945,1757,18410,0,0,4205,0,0,0,0
15,0,1,1,ACCEPT,15.1362,1.9772,3994,-4,2,0.6715,713.81,986.53,341.00,183.00,672.50,1055.50,253.00,395.00,0.3990,80.40,1,3,2.4101,MAX_STEP,0,3846,1399,18404,0,0,3994,0,0,0,0
16,0,1,1,ACCEPT,13.5083,1.8452,3456,-3,0,0.7769,681.84,986.53,368.83,197.93,654.00,1045.50,250.00,423.00,0.3828,65.21,1,2,2.1802,ACCEPT,0,3896,1218,16019,0,0,3456,0,0,0,0
17,0,1,1,ACCEPT,16.2988,2.6364,4068,-1,2,0.7412,670.31,998.91,398.92,214.08,655.50,1040.00,233.00,438.00,0.3626,43.68,1,2,2.5147,ACCEPT,0,3789,1935,14607,0,0,4068,0,0,0,0
18,0,1,1,ACCEPT,15.1938,2.1318,4771,-1,5,0.0656,657.84,1032.34,398.92,214.08,654.00,1050.00,224.00,484.00,0.3288,18.07,1,3,2.3827,MAX_STEP,0,5281,2251,13130,0,0,4771,0,0,0,0
19,0,1,1,ACCEPT,16.1532,2.0915,5210,-1,3,0.2917,645.38,1052.41,398.92,214.08,648.00,1056.00,224.00,500.00,0.3209,4.45,1,3,2.2163,MAX_STEP,0,5324,1700,14231,0,0,5210,0,0,0,0
20,0,1,1,ACCEPT,13.8814,1.8225,5030,-1,6,0.0223,632.91,1092.53,398.92,214.08,638.00,1077.00,210.00,552.00,0.2875,16.35,1,6,2.2689,MAX_STEP,0,4846,1490,17603,0,0,5030,0,0,0,0
21,0,1,1,ACCEPT,14.4919,1.9954,5633,-1,4,0.0456,620.44,1119.28,414.88,222.65,630.00,1098.50,206.00,591.00,0.2726,22.88,1,1,2.2311,ACCEPT,0,5913,1412,19441,0,0,5633,0,0,0,0
22,0,1,1,ACCEPT,14.3215,2.0104,5030,-1,8,0.0638,607.47,1174.91,414.88,222.65,619.50,1123.00,201.00,590.00,0.2693,53.28,1,0,2.1153,ACCEPT,0,5861,1174,19424,0,0,5030,0,0,0,0
23,0,1,1,ACCEPT,12.8252,1.9156,4515,0,5,0.0470,607.47,1209.67,414.88,222.65,621.00,1151.50,206.00,609.00,0.2667,59.72,1,0,1.6553,LOW_CONF,0,5466,886,17204,0,0,4515,0,0,0,0
24,0,1,1,ACCEPT,11.2169,1.6542,3803,-1,6,0.0032,594.50,1251.39,414.88,222.65,629.50,1192.50,213.00,621.00,0.2676,68.51,1,-6,1.8878,MAX_STEP,0,5733,1342,16239,0,0,3803,0,0,0,0
25,0,1,1,ACCEPT,9.7434,1.2124,3414,0,4,0.0035,594.50,1279.20,414.88,222.65,638.00,1228.50,222.00,659.00,0.2612,66.81,1,-8,1.8712,MAX_STEP,0,5737,1628,13360,0,0,3414,0,0,0,0
26,0,1,1,ACCEPT,12.2864,1.8891,3527,1,7,0.2254,607.47,1327.88,414.88,222.65,655.50,1262.00,237.00,666.00,0.2672,81.53,1,-10,2.1855,MAX_STEP,0,5287,1326,16705,0,0,3527,0,0,0,0
27,0,1,1,ACCEPT,11.3995,1.6771,3792,0,5,0.2323,607.47,1362.64,414.88,222.65,665.00,1310.50,242.00,681.00,0.2650,77.64,1,-12,2.0890,MAX_STEP,0,6068,1420,14486,0,0,3792,0,0,0,0
28,0,1,1,ACCEPT,12.3133,2.1350,3527,1,11,0.2467,620.44,1439.12,414.88,222.65,685.00,1380.00,242.00,648.00,0.2759,87.54,1,-15,2.0541,MAX_STEP,0,6185,1417,17903,0,0,3527,0,0,0,0
