frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,173.00,337.50,86.00,67.00,173.00,337.50,86.00,67.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,889,18326,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,32.1433,6.3158,6379,1,-1,0.7785,175.69,335.41,86.00,67.00,177.50,335.50,89.00,71.00,0.9055,1.81,1,0,2.9894,ACCEPT,0,3279,676,15761,0,0,6379,0,0,0,0
2,0,1,1,ACCEPT,24.1813,4.2273,5783,1,-1,0.6433,178.38,333.31,86.00,67.00,181.00,334.00,90.00,78.00,0.8100,2.71,1,0,2.5769,ACCEPT,0,3760,634,14635,0,0,5783,0,0,0,0
3,0,1,1,ACCEPT,23.6836,6.3351,5841,1,-1,0.6418,181.06,331.22,89.44,69.68,186.00,333.50,88.00,77.00,0.8142,5.44,1,1,2.9359,ACCEPT,0,3913,639,15067,0,0,5841,0,0,0,0
4,0,1,1,ACCEPT,26.7759,6.8583,6968,1,0,0.8862,183.86,331.22,89.44,69.68,190.50,335.00,97.00,78.00,0.7769,7.64,1,0,3.0042,ACCEPT,0,3732,529,14488,0,0,6968,0,0,0,0
5,0,1,1,ACCEPT,31.8348,7.1209,7541,0,2,0.5872,183.86,335.56,89.44,69.68,189.50,338.00,93.00,76.00,0.8128,6.14,1,0,2.9082,ACCEPT,0,4190,358,13982,0,0,7541,0,0,0,0
6,0,1,1,ACCEPT,38.2546,7.6250,7015,1,2,0.5675,186.66,339.91,89.44,69.68,190.00,340.50,90.00,75.00,0.8643,3.40,1,0,3.1776,ACCEPT,0,3957,316,14228,0,0,7015,0,0,0,0
7,0,1,1,ACCEPT,40.4277,9.2325,8023,0,2,0.6665,186.66,344.25,89.44,69.68,189.00,341.50,96.00,77.00,0.8431,3.61,1,0,3.1158,ACCEPT,0,3824,425,13555,0,0,8023,0,0,0,0
8,0,1,1,ACCEPT,35.0464,7.6255,8777,0,0,1.0000,186.66,344.25,89.44,69.68,189.50,343.00,99.00,82.00,0.7677,3.11,1,0,2.9962,ACCEPT,0,4961,324,15454,0,0,8777,0,0,0,0
9,0,1,1,ACCEPT,28.1150,4.8130,9135,0,-1,0.9434,186.66,342.08,89.44,69.68,192.00,343.00,94.00,84.00,0.7422,5.42,1,0,2.9443,ACCEPT,0,6132,336,15417,0,0,9135,0,0,0,0
10,0,1,1,ACCEPT,25.4359,4.0366,10354,0,0,1.0000,186.66,342.08,89.44,69.68,193.50,346.50,99.00,83.00,0.7282,8.15,1,0,2.8151,ACCEPT,0,6059,334,14615,0,0,10354,0,0,0,0
11,0,1,1,ACCEPT,23.4930,6.6250,9328,0,2,0.7231,186.66,346.42,93.02,72.47,189.50,350.00,97.00,84.00,0.8135,4.57,1,1,2.6701,ACCEPT,0,6010,255,14412,0,0,9328,0,0,0,0
12,0,1,1,ACCEPT,24.7821,5.4478,8504,-1,3,0.3027,183.75,353.22,93.02,72.47,188.50,358.00,97.00,84.00,0.7835,6.74,1,0,2.4841,ACCEPT,0,5055,178,16957,0,0,8504,0,0,0,0
13,0,1,1,ACCEPT,29.7084,7.1616,8773,-2,3,0.1816,177.94,360.02,93.02,72.47,181.50,363.50,93.00,81.00,0.8319,4.98,1,0,2.7358,ACCEPT,0,4857,188,17674,0,0,8773,0,0,0,0
14,0,1,1,ACCEPT,32.4171,6.6424,9140,-1,3,0.2242,175.03,366.81,93.02,72.47,178.00,369.00,94.00,82.00,0.8318,3.69,1,0,2.8275,ACCEPT,0,4737,195,18542,0,0,9140,0,0,0,0
15,0,1,1,ACCEPT,31.4800,6.7210,10962,-1,2,0.6769,172.12,371.34,93.02,72.47,175.00,372.50,96.00,79.00,0.8642,3.10,1,0,2.6876,ACCEPT,0,6182,281,20043,0,0,10962,0,0,0,0
16,0,1,1,ACCEPT,30.8115,5.9709,13154,0,0,1.0000,172.12,371.34,93.02,72.47,173.50,373.00,99.00,86.00,0.7917,2.15,1,0,2.4929,ACCEPT,0,7377,298,20529,0,0,13154,0,0,0,0
17,0,1,1,ACCEPT,25.9396,4.4781,13170,0,0,1.0000,172.12,371.34,96.74,75.37,174.00,374.00,100.00,90.00,0.8064,3.25,1,1,2.4341,ACCEPT,0,7778,308,16894,0,0,13170,0,0,0,0
18,0,1,1,ACCEPT,24.6078,4.6261,11889,-1,0,0.8603,169.11,371.34,96.74,75.37,173.50,372.50,99.00,91.00,0.7612,4.54,1,0,2.7261,ACCEPT,0,9430,315,16525,0,0,11889,0,0,0,0
19,0,1,1,ACCEPT,25.5212,4.8271,12203,-2,1,0.5359,163.08,373.70,96.74,75.37,170.00,379.50,104.00,101.00,0.6550,9.03,1,0,2.7668,ACCEPT,0,7234,207,17131,0,0,12203,0,0,0,0
20,0,1,1,ACCEPT,30.0087,5.6923,10565,-1,3,0.3506,160.06,380.78,96.74,75.37,166.00,384.00,106.00,94.00,0.7148,6.75,1,0,2.6362,ACCEPT,0,6271,259,16722,0,0,10565,0,0,0,0
21,0,1,1,ACCEPT,31.3343,6.6287,11176,-2,2,0.3276,154.03,385.50,96.74,75.37,160.50,390.00,105.00,100.00,0.6664,7.88,1,0,2.8697,ACCEPT,0,7011,284,15774,0,0,11176,0,0,0,0
22,0,1,1,ACCEPT,29.4519,6.8469,10332,-1,2,0.4810,151.02,390.22,96.74,75.37,161.00,396.50,112.00,105.00,0.5959,11.80,1,0,2.9188,ACCEPT,0,6359,274,14942,0,0,10332,0,0,0,0
23,0,1,1,ACCEPT,26.1866,5.4863,10852,0,3,0.3535,151.02,397.30,96.74,75.37,157.50,399.50,105.00,99.00,0.6728,6.85,1,0,2.7130,ACCEPT,0,7913,263,15438,0,0,10852,0,0,0,0
24,0,1,1,ACCEPT,22.1728,4.5032,7079,2,3,0.1225,157.05,404.38,96.74,75.37,162.50,406.50,105.00,101.00,0.6718,5.85,1,0,2.7022,ACCEPT,0,5981,363,9564,0,0,7079,0,0,0,0
25,0,1,1,ACCEPT,19.7629,4.0137,4391,3,5,0.1683,166.09,416.17,96.74,75.37,171.50,415.00,105.00,100.00,0.6790,5.53,1,0,2.5809,ACCEPT,0,3769,344,12962,0,0,4391,0,0,0,0
26,0,1,1,ACCEPT,22.7791,4.9367,6546,1,2,0.6722,169.11,420.89,96.74,75.37,179.00,421.00,116.00,104.00,0.6017,9.89,1,0,2.5639,ACCEPT,0,4062,288,20685,0,0,6546,0,0,0,0
27,0,1,1,ACCEPT,18.4075,4.4092,8739,-3,-3,0.3314,160.06,413.81,96.74,75.37,169.00,415.50,108.00,99.00,0.6436,9.10,1,0,2.6660,ACCEPT,0,7988,428,7664,0,0,8739,0,0,0,0
28,0,1,1,ACCEPT,17.4514,3.7035,2848,-4,-5,0.0428,148.00,402.02,96.74,75.37,155.00,403.00,104.00,94.00,0.7016,7.07,1,0,2.6962,ACCEPT,0,2813,443,7623,0,0,2848,0,0,0,0
29,0,1,1,ACCEPT,22.6882,5.2130,3696,-4,-4,0.0262,135.94,392.58,96.74,75.37,145.00,394.00,110.00,98.00,0.6483,9.17,1,0,2.6840,ACCEPT,0,3090,348,11113,0,0,3696,0,0,0,0
30,0,1,1,ACCEPT,23.8882,5.4559,5996,-3,-4,0.0737,126.89,383.14,96.74,75.37,138.00,386.50,106.00,87.00,0.7005,11.61,1,0,2.6886,ACCEPT,0,4776,247,17126,0,0,5996,0,0,0,0
31,0,1,1,ACCEPT,24.5087,4.5515,8789,-1,-2,0.6840,123.88,378.42,96.74,75.37,132.00,381.00,104.00,86.00,0.7489,8.52,1,0,2.7608,ACCEPT,0,6403,266,18058,0,0,8789,0,0,0,0
32,0,1,1,ACCEPT,31.3444,7.6701,11996,0,-1,0.9531,123.88,376.06,96.74,75.37,132.00,377.50,104.00,91.00,0.7092,8.25,1,0,2.7786,ACCEPT,0,6617,342,16948,0,0,11996,0,0,0,0
33,0,1,1,ACCEPT,30.6597,6.8892,15797,1,0,0.9594,126.89,376.06,96.74,75.37,136.00,378.50,106.00,89.00,0.7116,9.43,1,0,2.6159,ACCEPT,0,8357,349,16458,0,0,15797,0,0,0,0
34,0,1,1,ACCEPT,22.8907,4.9393,12131,2,1,0.3542,132.92,378.42,96.74,75.37,143.00,381.00,106.00,94.00,0.6632,10.40,1,0,2.6773,ACCEPT,0,7774,406,12097,0,0,12131,0,0,0,0
35,0,1,1,ACCEPT,15.9012,3.7781,6215,5,5,0.1562,148.00,390.22,96.74,75.37,157.50,391.00,107.00,94.00,0.6702,9.53,1,0,2.8287,ACCEPT,0,7079,414,7786,0,0,6215,0,0,0,0
36,0,1,1,ACCEPT,13.0259,2.8292,3726,5,6,0.0676,163.08,404.38,96.74,75.37,173.00,409.00,110.00,98.00,0.6386,10.95,1,0,2.8772,ACCEPT,0,4634,397,8021,0,0,3726,0,0,0,0
37,0,1,1,ACCEPT,18.3035,3.5411,5779,3,5,0.1713,172.12,416.17,96.74,75.37,191.00,420.50,124.00,109.00,0.4957,19.36,1,0,2.7736,ACCEPT,0,4211,275,10627,0,0,5779,0,0,0,0
38,0,1,1,ACCEPT,17.0623,3.6053,6230,-1,-1,0.9838,169.11,413.81,96.74,75.37,189.00,419.50,122.00,111.00,0.4786,20.69,1,0,2.8881,ACCEPT,0,7325,367,14066,0,0,6230,0,0,0,0
39,0,1,1,ACCEPT,14.1738,3.0420,8256,-5,-3,0.2059,154.03,406.73,96.74,75.37,164.00,411.50,134.00,99.00,0.5496,11.05,1,0,2.6575,ACCEPT,0,9952,336,13775,0,0,8256,0,0,0,0
40,0,1,1,ACCEPT,10.9847,2.1839,7183,-5,-4,0.2326,138.95,397.30,89.44,69.68,156.00,406.00,116.00,92.00,0.5460,19.14,1,-2,2.2893,ACCEPT,0,8298,290,17386,0,0,7183,0,0,0,0
41,0,1,1,ACCEPT,16.3352,3.8475,11758,-4,-1,0.0636,127.77,395.12,86.00,67.00,146.00,401.50,112.00,93.00,0.5026,19.32,1,-1,2.3376,ACCEPT,0,11679,243,16836,0,0,11758,0,0,0,0
42,0,1,1,ACCEPT,19.3300,4.9815,13181,-1,0,0.8087,125.08,395.12,86.00,67.00,141.50,400.50,113.00,91.00,0.5312,17.28,1,0,2.6226,ACCEPT,0,11617,369,10448,0,0,13181,0,0,0,0
43,0,1,1,ACCEPT,21.1418,4.7828,13435,-1,1,0.9362,122.39,397.22,86.00,67.00,137.00,400.00,110.00,90.00,0.5546,14.87,1,0,2.5489,ACCEPT,0,10614,407,10181,0,0,13435,0,0,0,0
44,0,1,1,ACCEPT,20.1612,3.9371,14894,1,0,0.8845,125.08,397.22,86.00,67.00,140.00,398.50,110.00,91.00,0.5454,14.98,1,0,2.6336,ACCEPT,0,12780,259,16265,0,0,14894,0,0,0,0
45,0,1,1,ACCEPT,16.6661,3.0803,11437,2,1,0.3350,130.45,399.31,86.00,67.00,146.50,404.50,113.00,93.00,0.5236,16.86,1,0,2.8485,ACCEPT,0,12212,301,18424,0,0,11437,0,0,0,0
46,0,1,1,ACCEPT,9.6508,1.8037,6412,5,3,0.2048,143.89,405.59,86.00,67.00,154.00,407.50,108.00,95.00,0.5616,10.29,1,0,2.8135,ACCEPT,0,11163,435,17876,0,0,6412,0,0,0,0
47,0,1,1,ACCEPT,8.1483,1.5072,5774,7,4,0.3514,162.70,413.97,86.00,67.00,171.50,413.00,111.00,94.00,0.5522,8.85,1,0,2.8658,ACCEPT,0,9830,352,17338,0,0,5774,0,0,0,0
48,0,1,1,ACCEPT,11.4507,1.9684,8043,6,3,0.5080,178.83,420.25,86.00,67.00,195.50,418.00,127.00,96.00,0.4726,16.82,1,0,2.8180,ACCEPT,0,8516,180,7712,0,0,8043,0,0,0,0
49,0,1,1,ACCEPT,11.6651,2.1158,4384,1,1,0.8068,181.52,422.34,86.00,67.00,201.50,419.00,131.00,102.00,0.4312,20.26,1,0,2.7070,ACCEPT,0,4720,169,11643,0,0,4384,0,0,0,0
50,0,1,1,ACCEPT,7.7947,1.7540,4620,-4,-4,0.2307,170.77,413.97,86.00,67.00,188.00,415.00,120.00,94.00,0.5087,17.27,1,0,2.9246,ACCEPT,0,9384,331,11892,0,0,4620,0,0,0,0
