frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,530.50,632.00,89.00,70.00,530.50,632.00,89.00,70.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1098,14400,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,36.9184,8.1263,4055,0,0,1.0000,530.50,632.00,89.00,70.00,525.50,628.50,85.00,73.00,0.8129,6.10,1,0,3.2859,ACCEPT,0,2416,901,13252,0,0,4055,0,0,0,0
2,0,1,1,ACCEPT,24.2954,5.0990,3141,0,0,1.0000,530.50,632.00,89.00,70.00,528.00,628.50,80.00,73.00,0.8205,4.30,1,0,2.9037,ACCEPT,0,2374,828,10787,0,0,3141,0,0,0,0
3,0,1,1,ACCEPT,21.7830,3.7564,2915,0,0,1.0000,530.50,632.00,89.00,70.00,523.50,627.50,87.00,71.00,0.7571,8.32,1,0,3.3210,ACCEPT,0,2215,754,10904,0,0,2915,0,0,0,0
4,0,1,1,ACCEPT,20.1246,4.1704,3132,0,0,1.0000,530.50,632.00,92.56,72.80,524.00,628.00,86.00,72.00,0.7790,7.63,1,1,3.3085,ACCEPT,0,2215,702,12163,0,0,3132,0,0,0,0
5,0,1,1,ACCEPT,21.0667,5.1566,3754,0,0,1.0000,530.50,632.00,92.56,72.80,526.50,628.50,89.00,73.00,0.8350,5.32,1,0,3.1585,ACCEPT,0,2614,619,10097,0,0,3754,0,0,0,0
6,0,1,1,ACCEPT,19.1229,4.2335,3264,0,0,1.0000,530.50,632.00,92.56,72.80,526.00,628.00,94.00,74.00,0.8179,6.02,1,0,2.9063,ACCEPT,0,2777,614,11924,0,0,3264,0,0,0,0
7,0,1,1,ACCEPT,18.5487,4.1350,4503,1,0,0.9751,533.39,632.00,92.56,72.80,527.00,629.50,96.00,77.00,0.8192,6.86,1,0,2.2798,ACCEPT,0,4123,544,9872,0,0,4503,0,0,0,0
8,0,1,1,ACCEPT,16.7765,3.8326,4235,0,0,1.0000,533.39,632.00,92.56,72.80,531.00,630.00,100.00,78.00,0.8639,3.12,1,0,2.7197,ACCEPT,0,4416,435,11149,0,0,4235,0,0,0,0
9,0,1,1,ACCEPT,14.2833,3.4352,4191,0,0,1.0000,533.39,632.00,92.56,72.80,537.00,629.50,86.00,77.00,0.8665,4.39,1,0,3.2303,ACCEPT,0,4401,484,9180,0,0,4191,0,0,0,0
10,0,1,1,ACCEPT,13.7507,3.1533,3270,0,0,1.0000,533.39,632.00,92.56,72.80,539.00,630.50,90.00,75.00,0.8513,5.81,1,0,3.0704,ACCEPT,0,3709,405,7393,0,0,3270,0,0,0,0
11,0,1,1,ACCEPT,13.0522,2.2508,2935,0,0,1.0000,533.39,632.00,92.56,72.80,538.50,632.00,91.00,70.00,0.8616,5.11,1,0,2.8325,ACCEPT,0,3770,338,9557,0,0,2935,0,0,0,0
12,0,1,1,ACCEPT,13.0497,1.9494,3310,0,0,1.0000,533.39,632.00,92.56,72.80,540.50,630.50,93.00,71.00,0.8250,7.27,1,0,3.1027,ACCEPT,0,4077,368,9923,0,0,3310,0,0,0,0
13,0,1,1,ACCEPT,14.0168,2.0426,3689,0,0,1.0000,533.39,632.00,92.56,72.80,540.50,630.00,93.00,78.00,0.8042,7.39,1,0,3.1728,ACCEPT,0,4290,316,12146,0,0,3689,0,0,0,0
14,0,1,1,ACCEPT,14.0105,2.0138,4223,0,0,1.0000,533.39,632.00,92.56,72.80,541.50,627.00,93.00,74.00,0.7398,9.53,1,0,3.1677,ACCEPT,0,5215,291,13119,0,0,4223,0,0,0,0
15,0,1,1,ACCEPT,15.0495,2.2505,4861,0,0,1.0000,533.39,632.00,92.56,72.80,542.00,628.00,94.00,72.00,0.7507,9.49,1,0,3.0625,ACCEPT,0,5536,264,14208,0,0,4861,0,0,0,0
16,0,1,1,ACCEPT,16.0409,2.5005,5536,0,0,1.0000,533.39,632.00,92.56,72.80,542.50,628.50,95.00,73.00,0.7536,9.76,1,0,3.2011,ACCEPT,0,5886,294,12803,0,0,5536,0,0,0,0
17,0,1,1,ACCEPT,17.1609,2.9717,6098,0,0,1.0000,533.39,632.00,92.56,72.80,542.00,629.50,94.00,67.00,0.7704,8.97,1,0,3.2112,ACCEPT,0,6018,290,12046,0,0,6098,0,0,0,0
18,0,1,1,ACCEPT,18.4702,3.3940,6822,0,0,1.0000,533.39,632.00,92.56,72.80,542.50,629.50,93.00,69.00,0.7700,9.45,1,0,3.1984,ACCEPT,0,6304,272,12000,0,0,6822,0,0,0,0
19,0,1,1,ACCEPT,19.6894,3.4838,7431,0,0,1.0000,533.39,632.00,92.56,72.80,542.50,630.00,93.00,70.00,0.7803,9.33,1,0,3.0628,ACCEPT,0,6609,247,11410,0,0,7431,0,0,0,0
20,0,1,1,ACCEPT,19.3225,3.4653,7395,0,0,1.0000,533.39,632.00,92.56,72.80,542.00,630.50,94.00,71.00,0.7999,8.74,1,0,2.9572,ACCEPT,0,7231,247,11802,0,0,7395,0,0,0,0
