frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,176.00,655.00,34.00,30.00,176.00,655.00,34.00,30.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,167,25166,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,43.9244,7.3789,3778,0,1,0.8047,176.00,655.94,34.00,30.00,177.00,656.50,36.00,29.00,0.9109,1.15,1,0,3.2113,ACCEPT,0,2115,159,21628,0,0,3778,0,0,0,0
2,0,1,1,ACCEPT,19.8599,4.0391,2169,2,3,0.4781,178.12,658.75,34.00,30.00,177.00,662.00,38.00,26.00,0.7214,3.44,1,0,3.1105,ACCEPT,0,2039,105,30351,0,0,2169,0,0,0,0
3,0,1,1,ACCEPT,12.7693,2.0544,1888,3,1,0.6780,181.31,659.69,34.00,30.00,178.00,666.50,36.00,23.00,0.5096,7.58,1,0,2.9855,ACCEPT,0,2744,97,31025,0,0,1888,0,0,0,0
4,0,1,1,ACCEPT,8.3524,1.3341,1749,2,-2,0.3499,183.44,657.81,34.00,30.00,179.50,667.00,37.00,22.00,0.4071,10.00,1,0,3.0902,ACCEPT,0,3308,169,20868,0,0,1749,0,0,0,0
5,0,1,1,ACCEPT,7.6504,1.0866,2410,4,16,0.0378,187.69,672.81,34.00,30.00,179.50,669.50,37.00,23.00,0.5055,8.83,1,0,2.3750,ACCEPT,0,3834,187,24864,0,0,2410,0,0,0,0
6,0,1,1,ACCEPT,10.0122,1.3112,4218,-3,-4,0.2449,184.50,669.06,31.43,27.74,179.50,669.50,37.00,25.00,0.6849,5.02,1,-2,2.5807,ACCEPT,0,4957,249,21517,0,0,4218,0,0,0,0
7,0,1,1,ACCEPT,10.2360,1.6659,5121,-6,-4,0.2417,178.59,665.62,29.06,25.64,176.50,666.00,39.00,34.00,0.5621,2.13,1,-2,2.1361,ACCEPT,0,5826,176,31011,0,0,5121,0,0,0,0
8,0,1,1,ACCEPT,15.5813,2.8545,8929,-1,-5,0.2042,177.69,661.64,27.95,24.66,175.00,663.00,44.00,32.00,0.4894,3.01,1,-1,2.6760,ACCEPT,0,7452,185,25059,0,0,8929,0,0,0,0
9,0,1,1,ACCEPT,10.2957,1.6579,5592,1,-5,0.2110,178.56,657.81,25.84,22.80,174.50,657.50,45.00,27.00,0.4848,4.07,1,-2,2.2239,ACCEPT,0,6329,211,25289,0,0,5592,0,0,0,0
