frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,437.50,415.50,107.00,9.00,437.50,415.50,107.00,9.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,656,29429,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,8.7563,2.7000,675,-1,-19,0.1067,434.16,410.16,107.00,9.00,436.00,409.00,108.00,14.00,0.6239,2.18,1,0,3.3338,ACCEPT,0,1431,530,13817,0,0,675,0,0,0,0
2,0,1,1,ACCEPT,5.6085,1.4346,307,4,9,0.2215,447.53,412.69,111.28,9.36,437.00,398.50,110.00,15.00,0.0000,17.67,1,1,2.7629,ACCEPT,0,834,536,8462,0,0,307,0,0,0,0
3,0,1,1,ACCEPT,6.1904,1.0369,281,-2,8,0.8007,440.56,415.06,111.28,9.36,445.50,392.50,105.00,23.00,0.0000,23.10,1,0,2.6975,ACCEPT,0,735,431,15292,0,0,281,0,0,0,0
4,0,1,1,ACCEPT,7.5650,2.2313,357,5,-16,0.0504,457.98,410.31,111.28,9.36,455.50,394.00,111.00,30.00,0.0913,16.50,1,0,2.8863,ACCEPT,0,1050,217,16171,0,0,357,0,0,0,0
5,0,1,1,ACCEPT,5.5596,1.0995,210,2,-2,0.6571,464.95,409.72,111.28,9.36,455.50,408.00,115.00,30.00,0.2756,9.61,1,0,3.2135,ACCEPT,0,864,162,14145,0,0,210,0,0,0,0
6,0,1,1,ACCEPT,5.2535,1.3636,135,0,8,0.4815,464.95,412.09,111.28,9.36,457.50,411.50,115.00,31.00,0.2735,7.48,1,0,3.4347,ACCEPT,0,523,189,13884,0,0,135,0,0,0,0
7,0,1,1,ACCEPT,5.7484,1.1577,279,-1,1,0.8351,461.47,412.39,111.28,9.36,457.50,420.00,113.00,30.00,0.2961,8.58,1,0,2.7934,ACCEPT,0,673,285,13350,0,0,279,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-3.5905,1.0435,-24,-31,-1,0.9583,461.47,412.39,111.28,9.36,454.00,440.50,116.00,33.00,0.0000,29.08,0,0,0.0000,NOT_RUN,0,135,247,0,0,0,24,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-3.7492,1.0377,-55,6,4,0.4364,461.47,412.39,111.28,9.36,455.00,455.50,118.00,25.00,0.0000,43.59,0,0,0.0000,NOT_RUN,0,249,104,0,0,0,55,0,0,0,0
10,0,1,1,ACCEPT,5.0313,1.0820,66,-19,-7,0.2576,395.27,410.31,111.28,9.36,456.00,460.50,118.00,21.00,0.0000,78.79,1,-13,1.5196,MAX_STEP,0,228,139,14809,0,0,66,0,0,0,0
11,0,1,1,ACCEPT,6.1398,1.3111,177,-3,-8,0.0791,384.81,407.94,111.28,9.36,450.00,460.00,120.00,24.00,0.0000,83.43,1,0,2.4168,ACCEPT,0,759,448,12000,0,0,177,0,0,0,0
12,0,1,1,ACCEPT,5.7764,1.3813,221,2,-1,0.5158,391.78,407.64,111.28,9.36,446.50,461.50,117.00,27.00,0.0000,76.78,1,1,1.9233,LOW_CONF,0,929,420,9724,0,0,221,0,0,0,0
13,0,1,0,LOW_PSR,3.5257,1.0288,107,5,-10,0.7944,391.78,407.64,111.28,9.36,443.50,464.50,121.00,29.00,0.0000,76.86,0,0,0.0000,NOT_RUN,0,895,451,0,0,0,107,0,0,0,0
14,0,1,0,LOW_PSR,4.8783,1.0880,136,1,10,0.6176,391.78,407.64,111.28,9.36,435.50,486.00,119.00,28.00,0.0000,89.73,0,0,0.0000,NOT_RUN,0,786,504,0,0,0,136,0,0,0,0
15,0,1,1,ACCEPT,6.4962,1.3507,181,6,-9,0.1105,412.69,404.97,111.28,9.36,423.00,507.50,126.00,25.00,0.0000,103.05,1,0,3.1872,ACCEPT,0,621,793,5602,0,0,181,0,0,0,0
16,0,1,1,ACCEPT,6.0904,1.1769,173,3,-4,0.5318,423.14,403.78,111.28,9.36,424.00,519.50,124.00,25.00,0.0000,115.72,1,0,2.3523,ACCEPT,0,753,374,13496,0,0,173,0,0,0,0
17,0,1,1,ACCEPT,5.6072,1.0968,136,2,-2,0.5809,430.11,403.19,111.28,9.36,427.50,519.00,119.00,24.00,0.0000,115.84,1,0,2.8396,ACCEPT,0,596,373,10145,0,0,136,0,0,0,0
18,0,1,1,ACCEPT,5.0388,1.1086,194,6,-6,0.2268,451.02,401.41,111.28,9.36,426.50,517.00,117.00,28.00,0.0000,118.16,1,-12,0.9224,MAX_STEP,0,1001,410,9710,0,0,194,0,0,0,0
19,0,1,1,ACCEPT,5.4080,1.1210,139,-3,-6,0.4101,440.56,399.62,111.28,9.36,422.50,522.00,117.00,30.00,0.0000,123.70,1,0,2.4903,ACCEPT,0,696,233,20809,0,0,139,0,0,0,0
20,0,1,1,ACCEPT,5.4762,1.3533,226,3,-3,0.2257,451.02,398.73,111.28,9.36,425.00,526.50,116.00,31.00,0.0000,130.39,1,0,2.9956,ACCEPT,0,1075,340,14532,0,0,226,0,0,0,0
21,0,1,1,ACCEPT,6.0729,1.0402,233,1,-10,0.0815,454.50,395.77,111.28,9.36,428.00,536.50,114.00,31.00,0.0000,143.21,1,0,2.5508,ACCEPT,0,939,271,12874,0,0,233,0,0,0,0
22,0,1,1,ACCEPT,6.6107,1.1908,337,3,-2,0.0504,464.95,395.17,111.28,9.36,431.50,547.50,113.00,27.00,0.0000,155.96,1,0,3.1087,ACCEPT,0,865,298,13494,0,0,337,0,0,0,0
23,0,1,1,ACCEPT,5.1408,1.0222,230,7,0,0.0348,489.34,395.17,111.28,9.36,439.00,553.00,112.00,24.00,0.0000,165.66,1,0,3.0690,ACCEPT,0,972,305,10635,0,0,230,0,0,0,0
24,0,1,1,ACCEPT,8.4445,1.6796,173,-1,-1,0.7052,485.86,394.88,111.28,9.36,442.00,563.00,122.00,24.00,0.0000,173.75,1,0,2.8153,ACCEPT,0,310,278,10752,0,0,173,0,0,0,0
25,0,1,1,ACCEPT,7.0246,1.2000,228,3,-5,0.1842,496.31,393.39,111.28,9.36,444.00,573.00,114.00,28.00,0.0000,187.07,1,0,2.7922,ACCEPT,0,521,410,6775,0,0,228,0,0,0,0
26,0,1,1,ACCEPT,7.1857,1.0294,280,2,2,0.4786,503.28,393.98,115.73,9.73,440.50,578.50,117.00,33.00,0.0000,194.90,1,1,2.5442,ACCEPT,0,748,331,10975,0,0,280,0,0,0,0
27,0,1,1,ACCEPT,6.5558,1.0847,256,-3,-15,0.6992,492.45,389.53,115.73,9.73,430.50,584.50,109.00,41.00,0.0000,204.58,1,0,3.2419,ACCEPT,0,551,790,6241,0,0,256,0,0,0,0
28,0,1,0,NEGATIVE_PEAK,-6.2024,1.2138,-193,-1,-2,0.6995,492.45,389.53,115.73,9.73,424.00,588.00,108.00,48.00,0.0000,209.94,0,0,0.0000,NOT_RUN,0,376,489,0,0,0,193,0,0,0,0
29,0,1,1,ACCEPT,6.9009,1.1573,309,-3,4,0.0744,481.62,390.72,120.36,10.12,417.00,582.00,104.00,48.00,0.0000,201.90,1,1,2.0136,ACCEPT,0,664,757,10380,0,0,309,0,0,0,0
30,0,1,1,ACCEPT,6.9358,1.3879,322,6,-11,0.3758,504.22,387.28,115.73,9.73,418.00,578.50,100.00,47.00,0.0000,209.76,1,-1,2.1245,ACCEPT,0,1039,339,9690,0,0,322,0,0,0,0
31,0,1,0,NEGATIVE_PEAK,-5.4688,1.1402,-187,6,11,0.7861,504.22,387.28,115.73,9.73,423.00,567.00,100.00,48.00,0.0000,197.22,0,0,0.0000,NOT_RUN,0,569,283,0,0,0,187,0,0,0,0
32,0,1,1,ACCEPT,5.3729,1.0850,166,-6,7,0.3313,482.56,389.36,111.28,9.36,423.00,574.50,94.00,45.00,0.0000,194.49,1,-1,2.4843,ACCEPT,0,482,319,9787,0,0,166,0,0,0,0
33,0,1,0,NEGATIVE_PEAK,-6.2879,1.3257,-232,6,-6,0.3793,482.56,389.36,111.28,9.36,417.50,575.00,93.00,50.00,0.0000,196.71,0,0,0.0000,NOT_RUN,0,559,360,0,0,0,232,0,0,0,0
34,0,1,1,ACCEPT,5.8563,1.1017,195,-5,-4,0.6462,465.14,388.17,111.28,9.36,410.50,582.00,93.00,56.00,0.0000,201.38,1,0,2.7871,ACCEPT,0,567,428,9783,0,0,195,0,0,0,0
35,0,1,1,ACCEPT,6.0230,1.1345,270,9,10,0.1444,496.50,391.14,111.28,9.36,409.50,583.00,89.00,54.00,0.0000,210.66,1,0,2.9967,ACCEPT,0,936,292,12067,0,0,270,0,0,0,0
