frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,277.50,560.50,57.00,23.00,277.50,560.50,57.00,23.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1487,17062,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,5.7270,1.2023,826,-1,8,0.1017,275.72,566.25,57.00,23.00,262.00,565.00,40.00,24.00,0.5169,13.78,1,0,3.1269,ACCEPT,0,2458,750,20916,0,0,826,0,0,0,0
2,0,1,1,ACCEPT,5.4316,1.1216,747,-6,7,0.1633,265.03,571.28,54.81,22.12,259.50,568.50,37.00,21.00,0.5367,6.19,1,-1,2.4795,ACCEPT,0,2179,274,20504,0,0,747,0,0,0,0
3,0,1,1,ACCEPT,5.0970,1.0792,586,3,2,0.4266,270.19,572.66,54.81,22.12,265.00,570.50,42.00,27.00,0.6554,5.62,1,0,3.4462,ACCEPT,0,2148,307,22899,0,0,586,0,0,0,0
4,0,1,1,ACCEPT,5.9622,1.0579,768,-4,16,0.0677,263.31,583.66,54.81,22.12,280.00,570.50,50.00,25.00,0.1777,21.25,1,0,3.2663,ACCEPT,0,1702,230,24031,0,0,768,0,0,0,0
5,0,1,1,ACCEPT,10.2396,1.3421,1989,1,0,0.9422,265.03,583.66,52.70,21.26,288.00,565.50,36.00,29.00,0.0740,29.28,1,-1,2.5686,ACCEPT,0,3026,795,9930,0,0,1989,0,0,0,0
6,0,1,1,ACCEPT,7.2484,1.2270,919,0,8,0.6714,265.03,589.03,52.70,21.26,293.00,553.50,36.00,33.00,0.0000,45.22,1,0,3.1385,ACCEPT,0,1957,553,15191,0,0,919,0,0,0,0
7,0,1,1,ACCEPT,6.9330,1.1935,950,1,-8,0.6411,266.67,583.66,52.70,21.26,297.00,540.50,34.00,33.00,0.0000,52.75,1,0,3.1498,ACCEPT,0,2192,653,8227,0,0,950,0,0,0,0
8,0,1,1,ACCEPT,9.4511,1.1976,709,0,-3,0.8928,266.67,581.64,52.70,21.26,297.50,525.50,35.00,33.00,0.0000,64.05,1,0,2.9854,ACCEPT,0,1434,621,10328,0,0,709,0,0,0,0
9,0,1,1,ACCEPT,9.8751,1.3025,1184,-4,0,0.0101,260.11,581.64,54.81,22.12,292.50,514.50,37.00,37.00,0.0000,74.55,1,1,2.4038,ACCEPT,0,2471,916,8663,0,0,1184,0,0,0,0
10,0,1,1,ACCEPT,11.4029,1.4864,1424,-2,2,0.4466,256.67,583.02,54.81,22.12,291.00,510.50,32.00,33.00,0.0000,80.23,1,0,3.0305,ACCEPT,0,2448,817,10866,0,0,1424,0,0,0,0
11,0,1,1,ACCEPT,10.9609,1.5573,1833,-1,7,0.6307,254.95,587.83,54.81,22.12,290.00,504.50,34.00,35.00,0.0000,90.40,1,0,3.1331,ACCEPT,0,3322,665,13478,0,0,1833,0,0,0,0
12,0,1,1,ACCEPT,10.1312,1.2093,1612,0,7,0.7823,254.95,592.64,54.81,22.12,292.00,500.00,34.00,42.00,0.0000,99.77,1,0,3.3099,ACCEPT,0,2695,479,18671,0,0,1612,0,0,0,0
13,0,1,1,ACCEPT,11.6342,1.6119,2031,-1,13,0.1192,253.23,601.58,54.81,22.12,291.00,500.50,32.00,27.00,0.0000,107.90,1,0,3.1724,ACCEPT,0,3313,492,13995,0,0,2031,0,0,0,0
14,0,1,1,ACCEPT,13.9093,1.9770,2578,-1,13,0.1435,251.52,610.52,54.81,22.12,294.50,502.50,23.00,15.00,0.0000,116.25,1,0,3.2986,ACCEPT,0,3297,606,13933,0,0,2578,0,0,0,0
15,0,1,1,ACCEPT,12.7233,1.7171,2428,0,13,0.0634,251.52,619.45,54.81,22.12,0.00,0.00,0.00,0.00,0.0000,668.57,1,0,3.1820,ACCEPT,0,3633,659,10250,0,0,2428,0,0,0,0
16,0,1,1,ACCEPT,16.7937,2.4875,2985,0,12,0.1367,251.52,627.70,54.81,22.12,297.00,463.00,26.00,18.00,0.0000,170.87,1,0,3.1545,ACCEPT,0,3491,640,11270,0,0,2985,0,0,0,0
17,0,1,1,ACCEPT,18.2003,2.6847,3619,0,13,0.0158,251.52,636.64,54.81,22.12,287.50,459.00,43.00,36.00,0.0000,181.25,1,0,3.1214,ACCEPT,0,4447,563,14741,0,0,3619,0,0,0,0
18,0,1,1,ACCEPT,17.9894,2.4818,3760,2,13,0.1077,254.95,645.58,54.81,22.12,282.50,451.00,55.00,58.00,0.0000,196.52,1,0,3.0164,ACCEPT,0,5313,539,12838,0,0,3760,0,0,0,0
19,0,1,1,ACCEPT,20.1442,2.9100,4074,0,13,0.0295,254.95,654.52,54.81,22.12,265.50,429.00,47.00,58.00,0.0000,225.76,1,0,3.2400,ACCEPT,0,4309,676,11412,0,0,4074,0,0,0,0
20,0,1,1,ACCEPT,21.8528,3.2210,3221,-2,14,0.0379,251.52,664.14,54.81,22.12,270.50,418.50,41.00,57.00,0.0000,246.37,1,0,3.3326,ACCEPT,0,3128,634,11557,0,0,3221,0,0,0,0
21,0,1,1,ACCEPT,18.8363,2.6757,3267,-1,20,0.0263,249.80,677.89,54.81,22.12,283.00,405.00,54.00,64.00,0.0000,274.90,1,0,3.1819,ACCEPT,0,3572,474,11745,0,0,3267,0,0,0,0
22,0,1,1,ACCEPT,9.2687,1.8882,1216,-3,31,0.0576,244.64,699.20,54.81,22.12,294.50,403.00,51.00,64.00,0.0000,300.37,1,0,3.2887,ACCEPT,0,3135,553,7737,0,0,1216,0,0,0,0
23,0,1,1,ACCEPT,6.0289,1.1280,476,-3,16,0.0483,239.48,710.20,54.81,22.12,305.50,400.50,25.00,65.00,0.0000,316.66,1,0,3.3115,ACCEPT,0,2427,433,5679,0,0,476,0,0,0,0
24,0,1,1,ACCEPT,5.7636,1.0459,319,-1,4,0.7241,237.77,712.95,54.81,22.12,304.00,395.00,28.00,72.00,0.0000,324.78,1,0,3.2422,ACCEPT,0,1622,505,7092,0,0,319,0,0,0,0
25,0,1,1,ACCEPT,7.5136,1.3318,586,1,7,0.5683,239.48,717.77,54.81,22.12,307.50,368.50,39.00,77.00,0.0000,355.83,1,10,1.1291,MAX_STEP,0,2217,597,8048,0,0,586,0,0,0,0
26,0,1,1,ACCEPT,6.9320,1.2036,609,-2,11,0.5780,236.05,725.33,54.81,22.12,315.50,349.00,43.00,70.00,0.0000,384.62,1,0,3.0807,ACCEPT,0,2474,679,6332,0,0,609,0,0,0,0
27,0,1,1,ACCEPT,7.7142,1.1241,616,0,16,0.3831,236.05,736.33,54.81,22.12,315.50,331.00,47.00,78.00,0.0000,413.04,1,0,2.9762,ACCEPT,0,2224,626,8565,0,0,616,0,0,0,0
28,0,1,1,ACCEPT,7.2882,1.0046,654,1,19,0.3012,237.77,749.39,54.81,22.12,313.00,301.00,44.00,62.00,0.0000,454.66,1,0,3.1467,ACCEPT,0,2380,556,9975,0,0,654,0,0,0,0
29,0,1,1,ACCEPT,8.7204,1.4330,652,0,12,0.4402,237.77,757.64,54.81,22.12,317.00,288.50,42.00,83.00,0.0000,475.78,1,0,3.3526,ACCEPT,0,2016,344,10755,0,0,652,0,0,0,0
30,0,1,1,ACCEPT,7.1046,1.1780,397,1,10,0.1889,239.48,764.52,54.81,22.12,325.50,264.00,37.00,80.00,0.0000,507.85,1,0,2.6626,ACCEPT,0,1447,358,10276,0,0,397,0,0,0,0
31,0,1,1,ACCEPT,6.8409,1.2599,349,6,5,0.0458,249.80,767.95,54.81,22.12,330.50,239.50,37.00,57.00,0.0000,534.58,1,0,3.3319,ACCEPT,0,1247,292,19210,0,0,349,0,0,0,0
32,0,1,1,ACCEPT,8.6399,1.2978,706,3,12,0.1303,254.95,776.20,54.81,22.12,338.50,230.00,35.00,64.00,0.0000,552.56,1,0,2.9297,ACCEPT,0,2092,397,10258,0,0,706,0,0,0,0
33,0,1,1,ACCEPT,9.4300,1.4018,607,2,11,0.2537,258.39,783.77,54.81,22.12,340.50,218.50,37.00,47.00,0.0000,571.20,1,0,3.1247,ACCEPT,0,1606,329,8588,0,0,607,0,0,0,0
34,0,1,1,ACCEPT,6.4392,1.0383,461,2,0,0.6855,261.83,783.77,54.81,22.12,337.50,207.00,47.00,36.00,0.0000,581.71,1,0,2.8431,ACCEPT,0,1523,420,9616,0,0,461,0,0,0,0
35,0,1,1,ACCEPT,9.4873,1.2494,556,-1,11,0.5432,260.11,791.33,54.81,22.12,341.50,203.50,35.00,31.00,0.0000,593.44,1,0,3.3108,ACCEPT,0,1352,273,10919,0,0,556,0,0,0,0
36,0,1,1,ACCEPT,8.3786,1.2353,525,-1,2,0.7029,258.39,792.70,54.81,22.12,340.50,205.50,29.00,35.00,0.0000,592.92,1,0,3.3151,ACCEPT,0,1315,272,8186,0,0,525,0,0,0,0
37,0,1,1,ACCEPT,7.1679,1.1255,287,-3,9,0.1045,253.23,798.89,54.81,22.12,330.00,206.50,36.00,37.00,0.0000,597.34,1,0,3.2623,ACCEPT,0,835,317,7580,0,0,287,0,0,0,0
38,0,1,1,ACCEPT,7.2443,1.1455,307,-3,17,0.1466,248.08,810.58,54.81,22.12,322.50,222.00,39.00,42.00,0.0000,593.26,1,0,3.4937,ACCEPT,0,864,300,9232,0,0,307,0,0,0,0
39,0,1,1,ACCEPT,18.7994,3.1174,1275,0,19,0.2361,248.08,823.64,54.81,22.12,321.50,233.50,37.00,41.00,0.0000,594.69,1,0,3.1711,ACCEPT,0,1165,270,24125,0,0,1275,0,0,0,0
40,0,1,1,ACCEPT,19.8547,2.8876,2157,0,7,0.0111,248.08,828.45,54.81,22.12,320.00,251.50,34.00,45.00,0.0000,581.42,1,0,3.2372,ACCEPT,0,2154,467,12851,0,0,2157,0,0,0,0
41,0,1,1,ACCEPT,20.8957,4.0690,1827,0,5,0.3153,248.08,831.89,54.81,22.12,315.50,268.50,37.00,43.00,0.0000,567.41,1,0,3.0845,ACCEPT,0,1823,585,11595,0,0,1827,0,0,0,0
42,0,1,1,ACCEPT,18.5027,2.8690,1862,-1,0,0.8770,246.36,831.89,54.81,22.12,314.00,285.00,32.00,42.00,0.0000,551.06,1,0,3.2625,ACCEPT,0,1696,610,10836,0,0,1862,0,0,0,0
43,0,1,1,ACCEPT,18.6569,2.6144,1417,-1,-1,0.8469,244.64,831.20,54.81,22.12,311.00,299.00,30.00,46.00,0.0000,536.32,1,0,3.2451,ACCEPT,0,1528,488,10690,0,0,1417,0,0,0,0
44,0,1,1,ACCEPT,25.0227,5.1459,1940,-1,4,0.1959,242.92,833.95,54.81,22.12,299.00,327.00,42.00,36.00,0.0000,510.05,1,0,3.1717,ACCEPT,0,1800,645,11509,0,0,1940,0,0,0,0
45,0,1,1,ACCEPT,17.5046,3.0972,1530,1,0,0.9405,244.64,833.95,54.81,22.12,294.00,338.00,52.00,46.00,0.0000,498.40,1,0,3.1968,ACCEPT,0,1528,473,13012,0,0,1530,0,0,0,0
46,0,1,1,ACCEPT,18.5077,2.1813,1239,1,-3,0.6731,246.36,831.89,54.81,22.12,280.50,352.00,37.00,46.00,0.0000,481.10,1,0,3.2338,ACCEPT,0,1290,430,12422,0,0,1239,0,0,0,0
47,0,1,1,ACCEPT,12.1947,1.2966,966,1,-3,0.7505,248.08,829.83,54.81,22.12,266.00,372.50,30.00,41.00,0.0000,457.68,1,0,3.2879,ACCEPT,0,1416,658,13235,0,0,966,0,0,0,0
48,0,1,1,ACCEPT,11.2192,1.3394,955,1,-5,0.4942,249.80,826.39,54.81,22.12,278.50,375.50,35.00,47.00,0.0000,451.80,1,0,3.2864,ACCEPT,0,1511,536,10578,0,0,955,0,0,0,0
49,0,1,1,ACCEPT,20.3570,3.9082,1661,1,-1,0.8718,251.52,825.70,54.81,22.12,283.00,385.50,32.00,29.00,0.0000,441.33,1,0,3.3324,ACCEPT,0,1652,415,15790,0,0,1661,0,0,0,0
50,0,1,1,ACCEPT,16.8563,2.6077,1356,1,-6,0.3075,253.23,821.58,54.81,22.12,304.50,432.00,33.00,34.00,0.0000,392.94,1,0,3.2950,ACCEPT,0,1566,580,14464,0,0,1356,0,0,0,0
51,0,1,1,ACCEPT,9.9732,1.2706,986,2,-10,0.2860,256.67,814.70,54.81,22.12,304.00,436.50,30.00,57.00,0.0000,381.15,1,0,3.2436,ACCEPT,0,1611,542,12497,0,0,986,0,0,0,0
52,0,1,1,ACCEPT,8.6222,1.3595,832,0,-13,0.7344,256.67,805.77,54.81,22.12,302.00,451.00,26.00,64.00,0.0000,357.65,1,0,3.3216,ACCEPT,0,1430,487,11878,0,0,832,0,0,0,0
