frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,56.00,538.00,16.00,18.00,56.00,538.00,16.00,18.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,423,29221,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,10.9518,2.0861,1235,15,-7,0.1279,63.50,534.06,16.00,18.00,65.00,536.50,18.00,17.00,0.6476,2.86,1,0,3.3467,ACCEPT,0,1869,59,22540,0,0,1235,0,0,0,0
2,0,1,1,ACCEPT,18.3643,3.8859,2281,14,0,0.0057,70.50,534.06,16.00,18.00,75.00,535.50,16.00,15.00,0.4852,4.72,1,0,3.1253,ACCEPT,0,2152,143,11462,0,0,2281,0,0,0,0
3,0,1,1,ACCEPT,10.8501,1.9318,85,-31,-8,0.2588,55.00,529.56,16.00,18.00,90.00,532.50,14.00,15.00,0.0000,35.12,1,-5,1.8496,MAX_STEP,0,115,101,14020,0,0,85,0,0,0,0
4,0,1,0,NEGATIVE_PEAK,-4.7064,1.1667,-7,-7,-11,0.5714,55.00,529.56,16.00,18.00,99.50,531.50,15.00,15.00,0.0000,44.54,0,0,0.0000,NOT_RUN,0,24,95,0,0,0,7,0,0,0,0
5,0,1,1,ACCEPT,5.2625,1.2500,15,8,-9,0.0667,59.00,524.50,16.00,18.00,116.00,528.50,14.00,13.00,0.0000,57.14,1,0,3.1150,ACCEPT,0,54,79,15361,0,0,15,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-4.6227,1.2000,-6,-7,-1,0.0000,59.00,524.50,16.00,18.00,125.00,528.50,14.00,13.00,0.0000,66.12,0,0,0.0000,NOT_RUN,0,27,79,0,0,0,6,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-3.6845,1.0000,-3,0,-1,0.6667,59.00,524.50,16.00,18.00,135.50,525.00,15.00,14.00,0.0000,76.50,0,0,0.0000,NOT_RUN,0,25,79,0,0,0,4,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-4.9376,1.4286,-10,-5,-1,0.7000,59.00,524.50,16.00,18.00,151.00,521.50,14.00,13.00,0.0000,92.05,0,0,0.0000,NOT_RUN,0,41,79,0,0,0,10,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-4.3072,1.1429,-8,-1,-1,0.7500,59.00,524.50,16.00,18.00,163.50,519.50,13.00,13.00,0.0000,104.62,0,0,0.0000,NOT_RUN,0,30,79,0,0,0,8,0,0,0,0
