frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,188.00,350.00,66.00,46.00,188.00,350.00,66.00,46.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2648,12540,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,43.2642,7.1380,8951,0,0,1.0000,188.00,350.00,66.00,46.00,191.00,351.50,64.00,45.00,0.8557,3.35,1,0,2.8164,ACCEPT,0,4825,2470,12022,0,0,8951,0,0,0,0
2,0,1,1,ACCEPT,26.9322,6.3519,7419,-1,-1,0.8907,185.94,348.56,66.00,46.00,193.50,352.00,61.00,40.00,0.6782,8.31,1,0,2.5584,ACCEPT,0,5648,1917,15025,0,0,7419,0,0,0,0
3,0,1,1,ACCEPT,17.9333,3.9210,7595,0,-2,0.7523,185.94,345.69,68.64,47.84,196.00,350.00,64.00,34.00,0.5393,10.95,1,1,2.3656,ACCEPT,0,7148,1540,16714,0,0,7595,0,0,0,0
4,0,1,1,ACCEPT,14.3139,3.3650,5071,0,-2,0.8880,185.94,342.69,68.64,47.84,197.00,346.00,64.00,36.00,0.5528,11.55,1,3,3.2280,MAX_STEP,0,6679,1669,12695,0,0,5071,0,0,0,0
5,0,1,1,ACCEPT,6.3001,1.2639,2845,0,-9,0.4917,185.94,329.19,63.46,44.23,195.50,341.00,63.00,44.00,0.4508,15.20,1,-2,2.4633,ACCEPT,0,5878,1377,12798,0,0,2845,0,0,0,0
6,0,1,1,ACCEPT,11.6050,2.8318,3939,0,-3,0.2851,185.94,325.06,66.00,46.00,196.50,338.00,63.00,48.00,0.4351,16.70,1,1,3.2069,ACCEPT,0,5786,623,15581,0,0,3939,0,0,0,0
7,0,1,1,ACCEPT,14.2822,3.2673,4620,0,-2,0.6797,185.94,322.19,66.00,46.00,198.00,338.00,64.00,48.00,0.3704,19.89,1,0,3.3368,ACCEPT,0,5841,981,13795,0,0,4620,0,0,0,0
8,0,1,1,ACCEPT,14.6236,3.4890,5530,0,-4,0.1468,185.94,316.44,66.00,46.00,200.00,342.50,68.00,37.00,0.1726,29.61,1,0,2.9877,ACCEPT,0,6654,658,15027,0,0,5530,0,0,0,0
9,0,1,1,ACCEPT,16.9039,2.9067,7450,-1,-5,0.1305,183.88,309.25,66.00,46.00,200.00,341.50,66.00,37.00,0.0920,36.06,1,0,3.1293,ACCEPT,0,7299,504,15608,0,0,7450,0,0,0,0
10,0,1,1,ACCEPT,20.6496,5.3811,9616,0,-4,0.3561,183.88,303.50,66.00,46.00,197.50,335.50,69.00,51.00,0.1569,34.78,1,0,2.9388,ACCEPT,0,8471,538,14350,0,0,9616,0,0,0,0
11,0,1,1,ACCEPT,23.3156,5.5405,10322,-1,-2,0.5580,181.81,300.62,63.46,44.23,197.50,337.50,69.00,49.00,0.0864,40.07,1,-1,2.8276,ACCEPT,0,8679,491,16933,0,0,10322,0,0,0,0
12,0,1,1,ACCEPT,21.9908,4.8751,12334,-1,-4,0.2706,179.83,295.12,61.02,42.53,196.00,338.50,68.00,45.00,0.0033,46.29,1,-1,2.8451,ACCEPT,0,12490,385,20745,0,0,12334,0,0,0,0
13,0,1,1,ACCEPT,17.8406,2.9539,11012,-1,-6,0.2828,177.92,287.16,63.46,44.23,200.50,339.00,67.00,36.00,0.0000,56.55,1,1,2.9706,ACCEPT,0,11823,554,14043,0,0,11012,0,0,0,0
14,0,1,1,ACCEPT,18.1005,3.5680,9844,-1,-4,0.2659,175.94,281.66,61.02,42.53,202.50,339.00,69.00,32.00,0.0000,63.20,1,-1,3.1338,ACCEPT,0,9555,517,14843,0,0,9844,0,0,0,0
15,0,1,1,ACCEPT,21.1465,4.4598,9428,-1,-2,0.4279,174.03,279.00,58.67,40.89,201.50,342.00,69.00,28.00,0.0000,68.73,1,-1,2.6719,ACCEPT,0,8941,596,11967,0,0,9428,0,0,0,0
16,0,1,1,ACCEPT,20.5395,3.3948,9750,-1,-6,0.0097,172.20,271.31,58.67,40.89,199.00,337.50,70.00,33.00,0.0000,71.41,1,0,2.9244,ACCEPT,0,9980,534,13371,0,0,9750,0,0,0,0
17,0,1,1,ACCEPT,23.7065,5.2871,11177,0,-4,0.0207,172.20,266.19,58.67,40.89,196.00,335.50,74.00,39.00,0.0000,73.28,1,2,1.9365,LOW_CONF,0,10172,619,14299,0,0,11177,0,0,0,0
18,0,1,1,ACCEPT,25.9686,5.6240,12491,-1,-5,0.0407,170.38,259.78,61.02,42.53,197.00,337.50,70.00,37.00,0.0000,82.15,1,1,2.7245,ACCEPT,0,10321,552,14535,0,0,12491,0,0,0,0
19,0,1,1,ACCEPT,31.1767,4.9461,14492,0,-5,0.0489,170.38,253.14,63.46,44.23,200.50,339.00,67.00,30.00,0.0000,90.99,1,1,2.9429,ACCEPT,0,9354,409,14932,0,0,14492,0,0,0,0
20,0,1,1,ACCEPT,29.0792,4.9557,13202,-1,-4,0.1835,168.39,247.64,63.46,44.23,200.50,340.00,69.00,30.00,0.0000,97.78,1,0,3.0041,ACCEPT,0,7411,425,17766,0,0,13202,0,0,0,0
21,0,1,1,ACCEPT,27.8734,4.0369,13798,-1,-4,0.1228,166.41,242.14,63.46,44.23,198.00,336.50,70.00,39.00,0.0000,99.51,1,0,3.0081,ACCEPT,0,7831,418,17048,0,0,13798,0,0,0,0
22,0,1,1,ACCEPT,28.8265,4.3839,12012,-1,-4,0.1253,164.42,236.64,66.00,46.00,196.00,332.50,68.00,49.00,0.0000,100.93,1,1,2.9269,ACCEPT,0,8175,479,16677,0,0,12012,0,0,0,0
23,0,1,1,ACCEPT,26.6351,4.4865,12172,-1,-4,0.0733,162.36,230.89,66.00,46.00,192.50,335.50,65.00,45.00,0.0000,108.86,1,0,2.8315,ACCEPT,0,8661,560,12412,0,0,12172,0,0,0,0
24,0,1,1,ACCEPT,29.7716,5.7478,13243,-1,-4,0.0141,160.30,225.14,66.00,46.00,193.50,339.00,67.00,40.00,0.0000,118.60,1,0,2.8005,ACCEPT,0,9733,649,12809,0,0,13243,0,0,0,0
25,0,1,1,ACCEPT,33.0432,6.4405,14871,-1,-4,0.0262,158.23,219.39,66.00,46.00,195.50,338.50,71.00,37.00,0.0000,124.80,1,0,2.8092,ACCEPT,0,9526,639,12954,0,0,14871,0,0,0,0
26,0,1,1,ACCEPT,38.0181,8.1304,14716,-1,-4,0.0185,156.17,213.64,66.00,46.00,195.50,340.50,71.00,29.00,0.0000,132.82,1,0,2.7512,ACCEPT,0,8767,562,11100,0,0,14716,0,0,0,0
27,0,1,1,ACCEPT,40.9747,7.5294,12913,-1,-5,0.0102,154.11,206.45,66.00,46.00,193.00,339.50,70.00,27.00,0.0000,138.61,1,0,2.7672,ACCEPT,0,7159,557,12585,0,0,12913,0,0,0,0
28,0,1,1,ACCEPT,40.3852,7.7939,14146,-3,-8,0.0245,147.92,194.95,61.02,42.53,189.00,336.50,70.00,41.00,0.0000,147.39,1,-2,2.8788,ACCEPT,0,7796,554,12033,0,0,14146,0,0,0,0
29,0,1,1,ACCEPT,44.7698,8.3731,14519,-1,-4,0.0144,146.02,189.64,61.02,42.53,191.50,340.00,67.00,34.00,0.0000,157.09,1,0,2.9649,ACCEPT,0,7257,525,14359,0,0,14519,0,0,0,0
30,0,1,1,ACCEPT,45.3722,9.9089,14031,-1,-3,0.3189,144.11,185.66,58.67,40.89,192.50,341.00,71.00,32.00,0.0000,162.71,1,-1,2.8429,ACCEPT,0,6938,430,16900,0,0,14031,0,0,0,0
31,0,1,1,ACCEPT,44.4286,7.7269,13723,-1,-4,0.1100,142.28,180.53,58.67,40.89,192.50,342.00,71.00,30.00,0.0000,169.10,1,0,2.9487,ACCEPT,0,6437,571,16084,0,0,13723,0,0,0,0
32,0,1,1,ACCEPT,44.6539,8.5712,14391,-2,-7,0.0645,138.62,171.56,58.67,40.89,188.50,335.50,71.00,49.00,0.0000,171.36,1,0,2.8602,ACCEPT,0,7345,598,15846,0,0,14391,0,0,0,0
33,0,1,1,ACCEPT,50.0429,9.7042,13945,-1,-5,0.0026,136.80,165.16,58.67,40.89,188.00,337.00,72.00,48.00,0.0000,179.31,1,0,2.9580,ACCEPT,0,6335,497,16983,0,0,13945,0,0,0,0
34,0,1,1,ACCEPT,47.4055,8.8865,12210,-1,-2,0.6372,134.97,162.59,56.42,39.32,186.00,339.50,68.00,43.00,0.0000,184.12,1,-1,2.4855,ACCEPT,0,5722,471,17031,0,0,12210,0,0,0,0
35,0,1,1,ACCEPT,44.9631,7.8885,12101,-1,-5,0.0163,133.20,156.42,56.42,39.32,188.00,341.00,70.00,38.00,0.0000,192.54,1,0,2.5628,ACCEPT,0,5982,561,18621,0,0,12101,0,0,0,0
36,0,1,1,ACCEPT,48.0478,7.5132,13967,-1,-8,0.0596,131.44,146.55,58.67,40.89,190.50,344.00,75.00,32.00,0.0000,206.10,1,1,2.8946,ACCEPT,0,6309,501,19281,0,0,13967,0,0,0,0
37,0,1,1,ACCEPT,56.6580,10.4468,13560,-1,-6,0.0622,129.61,138.86,58.67,40.89,190.00,344.50,74.00,33.00,0.0000,214.32,1,0,2.8457,ACCEPT,0,5316,538,18044,0,0,13560,0,0,0,0
38,0,1,1,ACCEPT,52.3047,9.7801,12851,-1,-2,0.4695,127.78,136.30,58.67,40.89,189.50,343.00,73.00,32.00,0.0000,215.72,1,0,2.8439,ACCEPT,0,5253,606,15842,0,0,12851,0,0,0,0
39,0,1,1,ACCEPT,54.5330,11.3524,14724,-2,-7,0.0166,124.12,127.33,58.67,40.89,186.50,339.00,67.00,40.00,0.0000,220.67,1,0,2.5437,ACCEPT,0,6322,603,17216,0,0,14724,0,0,0,0
40,0,1,1,ACCEPT,59.6672,12.4434,13862,-1,-6,0.0390,122.30,119.64,58.67,40.89,187.50,343.00,69.00,38.00,0.0000,232.68,1,0,2.7349,ACCEPT,0,5220,537,18828,0,0,13862,0,0,0,0
