frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,221.00,300.50,114.00,117.00,221.00,300.50,114.00,117.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2097,11135,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,46.1999,9.4082,2766,1,0,0.8861,224.56,300.50,114.00,117.00,224.00,299.00,116.00,120.00,0.9582,1.60,1,0,2.6798,ACCEPT,0,1450,694,16142,0,0,2766,0,0,0,0
2,0,1,1,ACCEPT,32.3881,6.5746,2071,2,-3,0.2685,231.69,289.53,114.00,117.00,231.00,290.50,118.00,121.00,0.9342,1.19,1,0,2.3918,ACCEPT,0,1510,173,32767,0,0,2071,0,0,0,0
3,0,1,1,ACCEPT,29.1044,5.2308,2856,5,-4,0.0294,249.50,274.91,114.00,117.00,249.50,274.50,113.00,117.00,0.9844,0.41,1,0,2.2253,ACCEPT,0,2223,140,27219,0,0,2856,0,0,0,0
4,0,1,1,ACCEPT,51.5090,11.2744,3698,4,-2,0.0598,263.75,267.59,114.00,117.00,263.00,267.50,110.00,121.00,0.9341,0.76,1,0,2.9723,ACCEPT,0,1797,669,11700,0,0,3698,0,0,0,0
5,0,1,1,ACCEPT,42.9354,9.2235,2435,-1,1,0.6567,260.19,271.25,114.00,117.00,255.00,274.00,114.00,122.00,0.8736,5.87,1,0,2.3822,ACCEPT,0,1283,199,28866,0,0,2435,0,0,0,0
6,0,1,1,ACCEPT,48.8683,12.9259,4188,-3,0,0.4217,249.50,271.25,114.00,117.00,248.50,273.50,107.00,119.00,0.9050,2.46,1,0,3.0214,ACCEPT,0,1861,613,12977,0,0,4188,0,0,0,0
7,0,1,1,ACCEPT,45.4295,9.7985,2675,0,0,1.0000,249.50,271.25,114.00,117.00,247.00,270.50,102.00,117.00,0.8839,2.61,1,0,3.0300,ACCEPT,0,1543,498,4875,0,0,2675,0,0,0,0
8,0,1,1,ACCEPT,15.7613,2.2165,430,3,-6,0.0977,260.19,249.31,114.00,117.00,256.00,247.00,110.00,134.00,0.8157,4.78,1,0,2.3276,ACCEPT,0,505,318,18215,0,0,430,0,0,0,0
9,0,1,1,ACCEPT,13.7855,2.5046,1097,10,-13,0.0994,295.81,201.78,114.00,117.00,301.00,199.50,92.00,117.00,0.7790,5.67,1,-1,1.6667,LOW_CONF,0,1405,290,22713,0,0,1097,0,0,0,0
10,0,1,1,ACCEPT,9.0542,1.5606,1158,4,9,0.1218,310.06,234.69,114.00,117.00,303.00,289.50,100.00,119.00,0.3337,55.27,1,0,2.5176,ACCEPT,0,2198,356,4529,0,0,1158,0,0,0,0
11,0,1,1,ACCEPT,9.6919,2.2260,650,-9,18,0.2077,278.00,300.50,114.00,117.00,271.00,302.50,102.00,115.00,0.8495,7.28,1,0,1.9260,LOW_CONF,0,946,480,26604,0,0,650,0,0,0,0
12,0,1,1,ACCEPT,35.5969,6.8998,3236,-5,-5,0.0377,260.19,282.22,114.00,117.00,258.00,280.00,104.00,118.00,0.8802,3.12,1,0,2.9247,ACCEPT,0,1985,370,8500,0,0,3236,0,0,0,0
13,0,1,1,ACCEPT,47.4712,9.7923,2546,-1,-2,0.3421,256.62,274.91,114.00,117.00,253.50,271.50,109.00,117.00,0.8934,4.62,1,0,3.0586,ACCEPT,0,1161,671,10197,0,0,2546,0,0,0,0
14,0,1,1,ACCEPT,39.0444,9.3324,3257,-1,-3,0.1944,253.06,263.94,118.56,121.68,251.00,262.50,106.00,117.00,0.8597,2.51,1,1,2.1661,ACCEPT,0,1708,924,4481,0,0,3257,0,0,0,0
15,0,1,1,ACCEPT,36.4822,7.6310,2564,2,-4,0.0456,260.47,248.75,114.00,117.00,261.50,246.50,105.00,113.00,0.8859,2.48,1,-1,2.5187,ACCEPT,0,1198,164,21960,0,0,2564,0,0,0,0
16,0,1,1,ACCEPT,46.5460,10.8058,6289,3,0,0.4172,271.16,248.75,114.00,117.00,267.00,247.50,106.00,119.00,0.9090,4.34,1,0,3.0829,ACCEPT,0,2729,566,10751,0,0,6289,0,0,0,0
17,0,1,1,ACCEPT,33.0938,5.3837,4770,-2,3,0.2522,264.03,259.72,114.00,117.00,261.00,261.50,104.00,117.00,0.8861,3.52,1,0,2.1904,ACCEPT,0,3421,466,19950,0,0,4770,0,0,0,0
18,0,1,1,ACCEPT,22.2468,3.2996,3524,-7,4,0.1342,239.09,274.34,114.00,117.00,235.00,275.50,104.00,119.00,0.8960,4.25,1,0,2.5120,ACCEPT,0,3188,713,28150,0,0,3524,0,0,0,0
19,0,1,1,ACCEPT,24.9123,4.4778,4133,-10,-1,0.0743,203.47,270.69,114.00,117.00,198.00,271.00,104.00,114.00,0.8814,5.48,1,0,2.0497,ACCEPT,0,3339,602,27728,0,0,4133,0,0,0,0
20,0,1,1,ACCEPT,36.7006,7.3256,6300,-2,-4,0.0216,196.34,256.06,114.00,117.00,192.00,252.00,104.00,118.00,0.8541,5.95,1,-1,1.9286,LOW_CONF,0,3194,509,8725,0,0,6300,0,0,0,0
21,0,1,1,ACCEPT,24.9277,5.5000,4686,5,1,0.2593,214.16,259.72,114.00,117.00,207.50,254.50,97.00,109.00,0.7769,8.46,1,0,2.2116,ACCEPT,0,4329,506,28464,0,0,4686,0,0,0,0
22,0,1,1,ACCEPT,15.7361,2.9354,3587,8,7,0.1854,242.66,285.31,114.00,117.00,246.00,287.00,92.00,100.00,0.6898,3.75,1,0,2.1416,ACCEPT,0,5176,524,14506,0,0,3587,0,0,0,0
23,0,1,1,ACCEPT,20.1624,4.0228,2828,10,8,0.1429,278.28,314.56,114.00,117.00,278.50,315.50,93.00,103.00,0.7182,0.96,1,0,2.3778,ACCEPT,0,2727,384,16348,0,0,2828,0,0,0,0
24,0,1,1,ACCEPT,38.3057,7.1294,5012,4,3,0.0792,292.53,325.53,114.00,117.00,290.50,327.50,99.00,115.00,0.8403,2.83,1,0,2.1791,ACCEPT,0,2550,601,7301,0,0,5012,0,0,0,0
25,0,1,1,ACCEPT,35.6687,7.0795,5168,1,-3,0.2862,296.09,314.56,114.00,117.00,295.00,314.50,102.00,125.00,0.8432,1.10,1,0,3.1578,ACCEPT,0,2792,1151,5735,0,0,5168,0,0,0,0
26,0,1,1,ACCEPT,36.9905,6.2013,4899,1,-4,0.0390,299.66,299.94,114.00,117.00,298.00,299.00,100.00,116.00,0.8636,1.90,1,0,2.6937,ACCEPT,0,2643,309,10768,0,0,4899,0,0,0,0
27,0,1,1,ACCEPT,44.6084,9.5658,5596,1,-2,0.6460,303.22,292.62,114.00,117.00,299.00,294.00,104.00,118.00,0.8924,4.44,1,0,2.8259,ACCEPT,0,2578,517,6423,0,0,5596,0,0,0,0
28,0,1,1,ACCEPT,40.0787,7.8119,4320,-3,-2,0.4053,292.53,285.31,114.00,117.00,292.00,287.50,102.00,119.00,0.8646,2.25,1,0,2.3800,ACCEPT,0,2164,578,22538,0,0,4320,0,0,0,0
29,0,1,1,ACCEPT,43.6356,10.3828,6510,-4,-1,0.1607,278.28,281.66,114.00,117.00,277.50,281.50,103.00,117.00,0.9012,0.80,1,0,2.4433,ACCEPT,0,3006,399,16125,0,0,6510,0,0,0,0
30,0,1,1,ACCEPT,46.9202,11.0058,5646,-2,0,0.4957,271.16,281.66,114.00,117.00,267.50,280.00,105.00,116.00,0.8959,4.01,1,0,2.5996,ACCEPT,0,2630,306,7819,0,0,5646,0,0,0,0
31,0,1,1,ACCEPT,46.0348,10.5881,3907,-3,2,0.3691,260.47,288.97,114.00,117.00,257.00,288.00,100.00,118.00,0.8642,3.60,1,0,2.6243,ACCEPT,0,1910,211,15641,0,0,3907,0,0,0,0
32,0,1,1,ACCEPT,39.5177,7.5583,6160,-3,3,0.1930,249.78,299.94,114.00,117.00,246.50,297.50,101.00,121.00,0.8540,4.09,1,0,2.2707,ACCEPT,0,3858,492,23308,0,0,6160,0,0,0,0
33,0,1,1,ACCEPT,38.9627,6.4510,5664,-6,-1,0.0159,228.41,296.28,114.00,117.00,226.00,295.50,102.00,121.00,0.8682,2.53,1,0,2.2681,ACCEPT,0,2821,532,28290,0,0,5664,0,0,0,0
34,0,1,1,ACCEPT,40.4522,6.3747,6158,-5,-3,0.0562,210.59,285.31,114.00,117.00,205.00,283.50,102.00,119.00,0.8698,5.88,1,0,2.3335,ACCEPT,0,2994,419,23809,0,0,6158,0,0,0,0
35,0,1,1,ACCEPT,40.3519,7.4435,5925,-7,-2,0.0668,185.66,278.00,114.00,117.00,182.00,277.00,98.00,116.00,0.8455,3.79,1,0,2.2839,ACCEPT,0,3360,416,20168,0,0,5925,0,0,0,0
36,0,1,1,ACCEPT,38.9656,8.5304,4632,-3,2,0.0743,174.97,285.31,109.62,112.50,169.00,284.50,104.00,119.00,0.8489,6.02,1,-1,2.8630,ACCEPT,0,2657,1025,4890,0,0,4632,0,0,0,0
37,0,1,1,ACCEPT,31.9328,6.1106,4974,2,4,0.0382,181.81,299.38,114.00,117.00,178.50,302.50,99.00,119.00,0.8273,4.55,1,1,2.4257,ACCEPT,0,3414,274,10418,0,0,4974,0,0,0,0
38,0,1,1,ACCEPT,42.7423,10.7232,6005,1,3,0.2786,185.38,310.34,114.00,117.00,182.50,310.00,105.00,118.00,0.9139,2.90,1,0,3.2120,ACCEPT,0,2872,1341,6000,0,0,6005,0,0,0,0
39,0,1,1,ACCEPT,36.0018,8.2258,4080,3,0,0.6196,196.06,310.34,114.00,117.00,190.00,311.00,106.00,118.00,0.8864,6.10,1,0,2.1895,ACCEPT,0,2877,615,24226,0,0,4080,0,0,0,0
40,0,1,1,ACCEPT,17.8474,3.0760,3479,9,3,0.0181,228.12,321.31,114.00,117.00,226.00,321.00,98.00,118.00,0.8534,2.15,1,0,2.4649,ACCEPT,0,4597,675,23734,0,0,3479,0,0,0,0
41,0,1,1,ACCEPT,22.8679,5.9148,3401,10,1,0.0232,263.75,324.97,114.00,117.00,268.50,323.00,101.00,118.00,0.8588,5.14,1,0,2.2913,ACCEPT,0,2980,533,24667,0,0,3401,0,0,0,0
42,0,1,1,ACCEPT,43.1639,10.3004,5418,6,1,0.0351,285.12,328.62,114.00,117.00,282.00,328.50,104.00,119.00,0.8983,3.13,1,0,2.3555,ACCEPT,0,2686,235,16139,0,0,5418,0,0,0,0
43,0,1,1,ACCEPT,45.3177,10.1549,6032,2,1,0.6404,292.25,332.28,109.62,112.50,288.00,333.00,106.00,118.00,0.8833,4.31,1,-1,2.5563,ACCEPT,0,2618,1238,4592,0,0,6032,0,0,0,0
44,0,1,1,ACCEPT,37.5770,7.8333,3666,-1,-1,0.6956,288.83,328.77,114.00,117.00,285.00,327.50,102.00,121.00,0.8682,4.03,1,1,2.4766,ACCEPT,0,2198,243,13051,0,0,3666,0,0,0,0
45,0,1,1,ACCEPT,36.9401,8.3552,6609,-4,-2,0.0695,274.58,321.45,114.00,117.00,271.50,320.00,101.00,118.00,0.8659,3.40,1,0,2.3263,ACCEPT,0,3367,283,19939,0,0,6609,0,0,0,0
46,0,1,1,ACCEPT,42.4878,9.8418,7155,-2,0,0.5515,267.45,321.45,114.00,117.00,265.00,319.00,102.00,116.00,0.8593,3.47,1,0,2.8118,ACCEPT,0,3550,262,11659,0,0,7155,0,0,0,0
47,0,1,1,ACCEPT,26.4105,5.4920,4443,-4,0,0.2636,253.20,321.45,114.00,117.00,250.50,323.00,101.00,114.00,0.8626,3.11,1,0,2.4066,ACCEPT,0,3965,571,24180,0,0,4443,0,0,0,0
48,0,1,1,ACCEPT,29.5254,6.8706,5998,-9,1,0.1020,221.14,325.11,114.00,117.00,213.00,325.50,112.00,117.00,0.8602,8.15,1,0,2.1550,ACCEPT,0,3631,480,19414,0,0,5998,0,0,0,0
49,0,1,1,ACCEPT,38.3173,7.8306,7165,-1,0,0.8455,217.58,325.11,114.00,117.00,209.00,326.50,108.00,117.00,0.8378,8.69,1,0,2.2461,ACCEPT,0,4032,291,10208,0,0,7165,0,0,0,0
50,0,1,1,ACCEPT,34.5864,7.9709,7939,4,1,0.0891,231.83,328.77,114.00,117.00,232.00,326.50,106.00,115.00,0.8949,2.27,1,0,2.3438,ACCEPT,0,5223,237,10304,0,0,7939,0,0,0,0
51,0,1,1,ACCEPT,40.5183,8.1466,6835,2,-2,0.5342,238.95,321.45,109.62,112.50,232.00,322.50,106.00,115.00,0.8611,7.03,1,-1,2.5295,ACCEPT,0,3580,1079,3311,0,0,6835,0,0,0,0
52,0,1,1,ACCEPT,40.4858,9.1636,3473,-1,0,0.7956,235.53,321.45,105.40,108.17,230.00,322.00,104.00,116.00,0.8422,5.56,1,-1,2.3471,ACCEPT,0,1744,872,3646,0,0,3473,0,0,0,0
53,0,1,1,ACCEPT,33.8309,7.7672,2936,0,1,0.8842,235.53,324.83,105.40,108.17,229.00,324.00,106.00,118.00,0.8138,6.58,1,0,2.6524,ACCEPT,0,1770,423,6782,0,0,2936,0,0,0,0
54,0,1,1,ACCEPT,33.5827,7.6309,3907,1,2,0.6007,238.83,331.58,109.62,112.50,233.50,330.00,103.00,118.00,0.8655,5.56,1,1,2.7266,ACCEPT,0,2576,352,11105,0,0,3907,0,0,0,0
55,0,1,1,ACCEPT,35.6119,7.6835,5947,3,2,0.2275,249.09,338.61,109.62,112.50,244.00,339.00,102.00,116.00,0.8829,5.11,1,0,2.3694,ACCEPT,0,4447,576,25618,0,0,5947,0,0,0,0
56,0,1,1,ACCEPT,36.9725,8.9488,8385,4,-1,0.1852,262.78,335.09,109.62,112.50,258.50,338.00,103.00,120.00,0.8686,5.17,1,0,2.3756,ACCEPT,0,5380,292,13456,0,0,8385,0,0,0,0
57,0,1,1,ACCEPT,24.3426,3.9912,5017,1,-5,0.0530,266.20,317.52,114.00,117.00,263.50,313.00,111.00,120.00,0.8849,5.26,1,1,2.8487,ACCEPT,0,4165,671,2630,0,0,5017,0,0,0,0
58,0,1,1,ACCEPT,22.3050,5.0691,1541,0,-10,0.0480,266.20,280.95,105.40,108.17,257.50,280.00,105.00,120.00,0.7696,8.76,1,-2,2.2455,ACCEPT,0,1287,648,2873,0,0,1541,0,0,0,0
59,0,1,1,ACCEPT,33.8930,9.5691,2354,-1,-6,0.0225,262.91,260.70,109.62,112.50,254.50,257.00,103.00,120.00,0.8052,9.19,1,1,2.8505,ACCEPT,0,1296,484,4549,0,0,2354,0,0,0,0
