frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,244.00,723.00,28.00,28.00,244.00,723.00,28.00,28.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,971,32134,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,52.1556,9.5413,4160,0,1,0.8447,244.00,723.88,28.00,28.00,245.00,724.00,28.00,28.00,0.9230,1.01,1,0,3.3612,ACCEPT,0,1763,827,31413,0,0,4160,0,0,0,0
2,0,1,1,ACCEPT,47.0048,9.1356,3773,1,2,0.5534,244.88,725.62,28.00,28.00,245.00,724.00,28.00,28.00,0.8828,1.63,1,0,3.2781,ACCEPT,0,1740,699,28698,0,0,3773,0,0,0,0
3,0,1,1,ACCEPT,47.4676,9.0912,3391,0,1,0.8900,244.88,726.50,28.00,28.00,245.00,726.00,28.00,28.00,0.9565,0.52,1,0,3.2772,ACCEPT,0,1599,604,30661,0,0,3391,0,0,0,0
4,0,1,1,ACCEPT,45.8524,8.7617,3934,-1,1,0.8060,244.00,727.38,28.00,28.00,244.00,728.00,28.00,28.00,0.9563,0.62,1,0,3.3380,ACCEPT,0,1901,584,26141,0,0,3934,0,0,0,0
5,0,1,1,ACCEPT,50.2980,9.0065,4188,0,2,0.5592,244.00,729.12,28.00,28.00,244.00,729.00,28.00,28.00,0.9911,0.12,1,0,3.3378,ACCEPT,0,1751,525,22255,0,0,4188,0,0,0,0
6,0,1,1,ACCEPT,33.8564,5.7459,3821,0,1,0.9257,244.00,730.00,28.00,28.00,245.00,729.00,28.00,28.00,0.8689,1.41,1,0,3.3531,ACCEPT,0,2469,461,24367,0,0,3821,0,0,0,0
7,0,1,1,ACCEPT,50.2429,9.8479,4727,0,1,0.9001,244.00,730.88,28.00,28.00,245.00,730.00,28.00,28.00,0.8764,1.33,1,0,3.3521,ACCEPT,0,2130,483,22660,0,0,4727,0,0,0,0
8,0,1,1,ACCEPT,46.3658,10.4309,4454,0,1,0.9946,244.00,731.75,28.00,28.00,245.00,730.00,28.00,28.00,0.8248,2.02,1,0,3.3418,ACCEPT,0,2346,469,21824,0,0,4454,0,0,0,0
9,0,1,1,ACCEPT,45.6079,9.4641,4751,0,0,1.0000,244.00,731.75,28.00,28.00,245.00,731.00,28.00,28.00,0.8840,1.25,1,0,3.3452,ACCEPT,0,2419,487,18077,0,0,4751,0,0,0,0
10,0,1,1,ACCEPT,45.9935,9.5365,4959,0,1,0.9341,244.00,732.62,28.00,28.00,244.00,732.00,28.00,28.00,0.9563,0.62,1,0,3.3284,ACCEPT,0,2427,499,17404,0,0,4959,0,0,0,0
11,0,1,1,ACCEPT,48.7266,10.2801,4955,0,0,1.0000,244.00,732.62,28.00,28.00,244.00,732.00,28.00,28.00,0.9563,0.62,1,0,3.3340,ACCEPT,0,2423,500,17044,0,0,4955,0,0,0,0
12,0,1,1,ACCEPT,47.2962,9.9087,4776,0,0,1.0000,244.00,732.62,28.00,28.00,244.00,732.00,28.00,28.00,0.9563,0.62,1,0,3.3450,ACCEPT,0,2395,466,17903,0,0,4776,0,0,0,0
13,0,1,1,ACCEPT,47.7983,9.9340,4669,-1,1,0.9747,243.12,733.50,28.00,28.00,243.00,734.00,28.00,28.00,0.9565,0.52,1,0,3.3323,ACCEPT,0,2291,509,15841,0,0,4669,0,0,0,0
14,0,1,1,ACCEPT,47.5270,12.5220,4558,0,-1,0.9719,243.12,732.62,28.00,28.00,244.00,732.00,28.00,28.00,0.8996,1.08,1,0,3.3411,ACCEPT,0,2305,460,15076,0,0,4558,0,0,0,0
15,0,1,1,ACCEPT,50.8611,12.2737,4664,0,0,1.0000,243.12,732.62,28.00,28.00,244.00,732.00,28.00,28.00,0.8996,1.08,1,0,3.3396,ACCEPT,0,2190,462,14979,0,0,4664,0,0,0,0
16,0,1,1,ACCEPT,50.1690,11.9320,4737,0,0,1.0000,243.12,732.62,28.00,28.00,244.00,731.00,28.00,28.00,0.8391,1.85,1,0,3.3419,ACCEPT,0,2282,458,15257,0,0,4737,0,0,0,0
17,0,1,1,ACCEPT,47.6938,11.1602,4598,0,-1,0.8273,243.12,731.75,28.00,28.00,244.00,730.00,28.00,28.00,0.8318,1.96,1,0,3.3569,ACCEPT,0,2224,469,15710,0,0,4598,0,0,0,0
18,0,1,1,ACCEPT,49.7292,10.1807,4846,0,-1,0.8983,243.12,730.88,28.00,28.00,243.00,730.00,28.00,28.00,0.9313,0.88,1,0,3.3483,ACCEPT,0,2278,526,15737,0,0,4846,0,0,0,0
19,0,1,1,ACCEPT,49.0912,11.4978,5174,-1,-1,0.9010,242.25,730.00,28.00,28.00,242.00,730.00,28.00,28.00,0.9823,0.25,1,0,3.2859,ACCEPT,0,2557,496,18867,0,0,5174,0,0,0,0
20,0,1,1,ACCEPT,49.2916,11.9028,5511,1,0,0.9753,243.12,730.00,28.00,28.00,243.00,728.00,28.00,28.00,0.8595,2.00,1,0,3.3311,ACCEPT,0,2533,489,16742,0,0,5511,0,0,0,0
21,0,1,1,ACCEPT,47.7322,11.4860,5318,0,-1,0.8264,243.12,729.12,28.00,28.00,243.00,728.00,28.00,28.00,0.9149,1.13,1,0,3.3359,ACCEPT,0,2587,495,18363,0,0,5318,0,0,0,0
22,0,1,1,ACCEPT,47.3069,10.9730,5684,0,-2,0.6388,243.12,727.38,28.00,28.00,243.00,725.00,28.00,28.00,0.8367,2.38,1,0,3.3253,ACCEPT,0,2887,494,20861,0,0,5684,0,0,0,0
23,0,1,1,ACCEPT,51.4280,12.2218,6612,0,-1,0.8717,243.12,726.50,28.00,28.00,243.00,725.00,28.00,28.00,0.8907,1.51,1,0,3.3460,ACCEPT,0,3110,496,23879,0,0,6612,0,0,0,0
24,0,1,1,ACCEPT,44.1018,8.8506,6815,0,-3,0.2756,243.12,723.88,28.00,28.00,243.00,724.00,28.00,28.00,0.9823,0.18,1,0,3.3593,ACCEPT,0,3547,463,22661,0,0,6815,0,0,0,0
25,0,1,1,ACCEPT,51.2210,11.2000,7056,0,-1,0.8562,243.12,723.00,28.00,28.00,243.00,722.00,28.00,28.00,0.9230,1.01,1,0,3.3399,ACCEPT,0,3135,461,21035,0,0,7056,0,0,0,0
26,0,1,1,ACCEPT,49.3437,11.2149,6942,0,-2,0.7506,243.12,721.25,28.00,28.00,244.00,720.00,28.00,28.00,0.8613,1.53,1,0,3.3340,ACCEPT,0,3220,466,19157,0,0,6942,0,0,0,0
27,0,1,1,ACCEPT,49.7484,11.9086,6907,0,-2,0.6172,243.12,719.50,28.00,28.00,243.00,719.00,28.00,28.00,0.9565,0.52,1,0,3.3392,ACCEPT,0,3333,473,19589,0,0,6907,0,0,0,0
28,0,1,1,ACCEPT,47.1024,10.1308,6737,0,-3,0.3971,243.12,716.88,28.00,28.00,244.00,716.00,28.00,28.00,0.8841,1.24,1,0,3.3464,ACCEPT,0,3276,467,20115,0,0,6737,0,0,0,0
29,0,1,1,ACCEPT,48.0785,9.7119,6944,0,-3,0.3610,243.12,714.25,28.00,28.00,243.00,714.00,28.00,28.00,0.9736,0.28,1,0,3.3403,ACCEPT,0,3299,481,20513,0,0,6944,0,0,0,0
30,0,1,1,ACCEPT,50.3935,10.7107,6812,0,-2,0.6417,243.12,712.50,28.00,28.00,244.00,711.00,28.00,28.00,0.8465,1.74,1,0,3.3273,ACCEPT,0,3164,493,22257,0,0,6812,0,0,0,0
31,0,1,1,ACCEPT,46.8973,9.3508,6798,0,-3,0.2527,243.12,709.88,28.00,28.00,243.00,709.00,28.00,28.00,0.9313,0.88,1,0,3.3373,ACCEPT,0,3314,497,22259,0,0,6798,0,0,0,0
32,0,1,1,ACCEPT,44.4726,9.2725,6806,0,-4,0.1068,243.12,706.38,28.00,28.00,243.00,706.00,28.00,28.00,0.9650,0.40,1,0,3.3295,ACCEPT,0,3415,526,21852,0,0,6806,0,0,0,0
33,0,1,1,ACCEPT,48.1191,10.4956,7221,0,-3,0.4066,243.12,703.75,28.00,28.00,243.00,703.00,28.00,28.00,0.9396,0.76,1,0,3.3265,ACCEPT,0,3431,496,23101,0,0,7221,0,0,0,0
34,0,1,1,ACCEPT,38.4169,7.8376,6176,0,-6,0.0118,243.12,698.50,28.00,28.00,243.00,698.00,28.00,28.00,0.9565,0.52,1,0,3.3331,ACCEPT,0,3624,445,23450,0,0,6176,0,0,0,0
35,0,1,1,ACCEPT,46.2078,10.7669,7020,0,-4,0.1177,243.12,695.00,28.00,28.00,244.00,694.00,28.00,28.00,0.8764,1.33,1,0,3.3468,ACCEPT,0,3605,451,23846,0,0,7020,0,0,0,0
36,0,1,1,ACCEPT,47.5336,9.3100,6908,0,-3,0.2077,243.12,692.38,28.00,28.00,244.00,691.00,28.00,28.00,0.8539,1.63,1,0,3.3343,ACCEPT,0,3535,475,22877,0,0,6908,0,0,0,0
37,0,1,1,ACCEPT,38.8617,9.0542,6519,0,-6,0.0127,243.12,687.12,28.00,28.00,243.00,685.00,28.00,28.00,0.8518,2.13,1,0,3.3084,ACCEPT,0,4234,523,22137,0,0,6519,0,0,0,0
38,0,1,1,ACCEPT,42.9472,9.4106,7265,0,-5,0.0131,243.12,682.75,28.00,28.00,243.00,682.00,28.00,28.00,0.9396,0.76,1,0,3.3306,ACCEPT,0,4202,542,23031,0,0,7265,0,0,0,0
39,0,1,1,ACCEPT,32.0922,6.2602,6160,0,-8,0.0753,243.12,675.75,28.00,28.00,243.00,675.00,28.00,28.00,0.9396,0.76,1,0,3.3428,ACCEPT,0,3488,515,21685,0,0,6160,0,0,0,0
40,0,1,1,ACCEPT,38.3546,8.2065,5843,-1,-5,0.0318,242.25,671.38,28.00,28.00,244.00,669.00,28.00,28.00,0.7513,2.95,1,0,3.2768,ACCEPT,0,2864,473,22654,0,0,5843,0,0,0,0
41,0,1,1,ACCEPT,29.3447,5.6394,5521,-1,-4,0.0757,241.38,667.88,29.12,29.12,243.00,666.00,28.00,28.00,0.7871,2.48,1,1,2.4165,ACCEPT,0,3188,469,22743,0,0,5521,0,0,0,0
42,0,1,1,ACCEPT,20.4913,2.7664,5328,1,-9,0.0268,242.28,659.72,29.12,29.12,243.00,658.00,28.00,28.00,0.8447,1.86,1,0,3.2611,ACCEPT,0,4833,856,12940,0,0,5328,0,0,0,0
43,0,1,1,ACCEPT,32.3855,6.3215,6568,0,-6,0.0196,242.28,654.28,29.12,29.12,243.00,654.00,28.00,28.00,0.9145,0.77,1,0,3.2441,ACCEPT,0,4223,674,21101,0,0,6568,0,0,0,0
44,0,1,1,ACCEPT,30.2886,6.3205,6902,0,-9,0.0423,242.28,646.12,29.12,29.12,242.00,646.00,28.00,28.00,0.9246,0.31,1,0,3.3146,ACCEPT,0,4742,500,25708,0,0,6902,0,0,0,0
45,0,1,1,ACCEPT,18.7344,2.4920,4508,-1,-6,0.0526,241.38,640.69,29.12,29.12,242.00,641.00,28.00,28.00,0.9204,0.70,1,0,3.0361,ACCEPT,0,4547,560,18601,0,0,4508,0,0,0,0
46,0,1,1,ACCEPT,10.8811,1.9187,4580,0,-2,0.6168,241.38,638.88,29.12,29.12,242.00,640.00,28.00,28.00,0.8854,1.29,1,0,3.2258,ACCEPT,0,7276,638,18772,0,0,4580,0,0,0,0
47,0,1,1,ACCEPT,6.8789,1.4193,2657,0,11,0.3436,241.38,648.84,29.12,29.12,242.00,651.00,28.00,28.00,0.8247,2.25,1,0,3.2700,ACCEPT,0,5085,648,14676,0,0,2657,0,0,0,0
48,0,1,1,ACCEPT,12.8934,2.5091,4702,0,7,0.0106,241.38,655.19,29.12,29.12,243.00,656.00,28.00,28.00,0.8449,1.82,1,0,3.2580,ACCEPT,0,6517,601,18748,0,0,4702,0,0,0,0
49,0,1,1,ACCEPT,11.6965,2.4918,3927,0,11,0.1706,241.38,665.16,29.12,29.12,243.00,665.00,28.00,28.00,0.8592,1.63,1,0,3.2369,ACCEPT,0,4893,607,18668,0,0,3927,0,0,0,0
50,0,1,1,ACCEPT,18.1317,3.4148,5474,1,7,0.0638,242.28,671.50,29.12,29.12,242.00,672.00,28.00,28.00,0.9246,0.57,1,0,3.2589,ACCEPT,0,5780,614,17615,0,0,5474,0,0,0,0
51,0,1,1,ACCEPT,22.0090,3.8049,6084,0,5,0.1128,242.28,676.03,29.12,29.12,243.00,677.00,28.00,28.00,0.8893,1.21,1,0,3.3172,ACCEPT,0,5113,670,16833,0,0,6084,0,0,0,0
52,0,1,1,ACCEPT,20.3590,3.6495,5456,1,10,0.0112,243.19,685.09,29.12,29.12,244.00,686.00,28.00,28.00,0.8874,1.22,1,0,3.2775,ACCEPT,0,4004,800,12238,0,0,5456,0,0,0,0
53,0,1,1,ACCEPT,26.9073,4.4376,5973,1,6,0.0740,244.09,690.53,29.12,29.12,245.00,691.00,28.00,28.00,0.9028,1.02,1,0,3.2656,ACCEPT,0,4455,572,19663,0,0,5973,0,0,0,0
54,0,1,1,ACCEPT,24.5786,4.2144,5799,0,8,0.0659,244.09,697.78,29.12,29.12,245.00,698.00,28.00,28.00,0.9028,0.93,1,0,3.2034,ACCEPT,0,4245,640,18292,0,0,5799,0,0,0,0
55,0,1,1,ACCEPT,28.7517,5.7013,6642,1,5,0.0533,245.00,702.31,29.12,29.12,246.00,703.00,28.00,28.00,0.8893,1.21,1,0,3.2648,ACCEPT,0,5142,576,17687,0,0,6642,0,0,0,0
56,0,1,1,ACCEPT,29.2173,5.4964,6090,1,6,0.0049,245.91,707.75,29.12,29.12,246.00,707.00,28.00,28.00,0.9126,0.76,1,0,3.2631,ACCEPT,0,4095,583,19403,0,0,6090,0,0,0,0
57,0,1,1,ACCEPT,28.3659,5.3607,5870,1,6,0.0666,246.81,713.19,29.12,29.12,247.00,714.00,28.00,28.00,0.9086,0.83,1,0,3.2530,ACCEPT,0,4236,544,21443,0,0,5870,0,0,0,0
58,0,1,1,ACCEPT,28.6651,5.4711,6237,0,5,0.0367,246.81,717.72,29.12,29.12,248.00,717.00,28.00,28.00,0.8761,1.39,1,0,3.2066,ACCEPT,0,4504,544,21127,0,0,6237,0,0,0,0
59,0,1,1,ACCEPT,30.6902,6.4280,6428,1,6,0.0487,247.72,723.16,29.12,29.12,249.00,723.00,28.00,28.00,0.8798,1.29,1,0,3.2711,ACCEPT,0,4455,564,20858,0,0,6428,0,0,0,0
60,0,1,1,ACCEPT,29.8933,6.5719,6079,1,4,0.1604,248.62,726.78,29.12,29.12,250.00,726.00,28.00,28.00,0.8613,1.58,1,0,3.2533,ACCEPT,0,4269,528,20858,0,0,6079,0,0,0,0
61,0,1,1,ACCEPT,30.8328,6.4253,6149,0,3,0.3077,248.62,729.50,29.12,29.12,250.00,729.00,28.00,28.00,0.8741,1.46,1,0,3.3123,ACCEPT,0,4140,529,21281,0,0,6149,0,0,0,0
62,0,1,1,ACCEPT,29.9274,6.3925,6303,1,4,0.0914,249.53,733.12,29.12,29.12,251.00,733.00,28.00,28.00,0.8685,1.47,1,0,3.2580,ACCEPT,0,4157,536,20727,0,0,6303,0,0,0,0
63,0,1,1,ACCEPT,30.5726,6.2778,6485,0,4,0.1540,249.53,736.75,29.12,29.12,251.00,737.00,28.00,28.00,0.8685,1.49,1,0,3.3407,ACCEPT,0,4104,549,21628,0,0,6485,0,0,0,0
64,0,1,1,ACCEPT,31.1822,7.1234,6753,0,3,0.3795,249.53,739.47,29.12,29.12,251.00,740.00,28.00,28.00,0.8685,1.56,1,0,3.1065,ACCEPT,0,4304,490,22404,0,0,6753,0,0,0,0
65,0,1,1,ACCEPT,31.8440,7.2522,6498,1,3,0.4692,250.44,742.19,29.12,29.12,251.00,742.00,28.00,28.00,0.9244,0.59,1,0,3.2376,ACCEPT,0,4215,477,22408,0,0,6498,0,0,0,0
66,0,1,1,ACCEPT,33.0547,7.2756,6468,1,1,0.8259,251.34,743.09,29.12,29.12,252.00,742.00,28.00,28.00,0.8854,1.28,1,0,3.1359,ACCEPT,0,4077,480,21568,0,0,6468,0,0,0,0
67,0,1,1,ACCEPT,33.4881,7.0171,6161,0,2,0.6418,251.34,744.91,29.12,29.12,252.00,744.00,28.00,28.00,0.8969,1.12,1,0,3.1177,ACCEPT,0,3719,464,23502,0,0,6161,0,0,0,0
68,0,1,1,ACCEPT,33.6091,6.9634,6281,0,1,0.8691,251.34,745.81,29.12,29.12,252.00,745.00,28.00,28.00,0.9027,1.04,1,0,3.1499,ACCEPT,0,4040,450,21969,0,0,6281,0,0,0,0
69,0,1,1,ACCEPT,34.3408,6.4828,6217,0,1,0.8729,251.34,746.72,29.12,29.12,252.00,746.00,28.00,28.00,0.9085,0.97,1,0,3.1897,ACCEPT,0,3913,441,20470,0,0,6217,0,0,0,0
70,0,1,1,ACCEPT,33.6708,7.5915,5519,0,0,1.0000,251.34,746.72,29.12,29.12,252.00,747.00,28.00,28.00,0.9185,0.71,1,0,3.2210,ACCEPT,0,3539,431,20055,0,0,5519,0,0,0,0
71,0,1,1,ACCEPT,33.2267,7.6383,5301,0,0,1.0000,251.34,746.72,29.12,29.12,252.00,746.00,28.00,28.00,0.9085,0.97,1,0,3.3058,ACCEPT,0,3512,392,22304,0,0,5301,0,0,0,0
72,0,1,1,ACCEPT,35.9421,8.3385,5395,-1,0,0.9577,250.44,746.72,29.12,29.12,252.00,746.00,28.00,28.00,0.8538,1.72,1,0,3.1835,ACCEPT,0,3277,431,18544,0,0,5395,0,0,0,0
73,0,1,1,ACCEPT,36.6370,8.0726,5223,0,0,1.0000,250.44,746.72,29.12,29.12,251.00,746.00,28.00,28.00,0.9144,0.91,1,0,3.1477,ACCEPT,0,3064,455,16351,0,0,5223,0,0,0,0
74,0,1,1,ACCEPT,36.4869,9.3984,4812,0,-1,0.8443,250.44,745.81,29.12,29.12,251.00,745.00,28.00,28.00,0.9085,0.99,1,0,3.1653,ACCEPT,0,2782,439,16998,0,0,4812,0,0,0,0
75,0,1,1,ACCEPT,37.9786,7.4587,4878,0,-1,0.9014,250.44,744.91,29.12,29.12,251.00,743.00,28.00,28.00,0.8425,1.99,1,0,3.1944,ACCEPT,0,2709,407,17946,0,0,4878,0,0,0,0
76,0,1,1,ACCEPT,36.9207,8.6972,4653,0,-2,0.6929,250.44,743.09,29.12,29.12,251.00,742.00,28.00,28.00,0.8911,1.23,1,0,3.2113,ACCEPT,0,2751,457,16081,0,0,4653,0,0,0,0
