frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,626.00,70.50,60.00,105.00,626.00,70.50,60.00,105.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1048,12030,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,19.1389,3.7137,2789,1,5,0.0502,627.88,86.91,60.00,105.00,632.50,89.50,65.00,95.00,0.7880,5.30,1,0,2.8978,ACCEPT,0,1872,869,16004,0,0,2789,0,0,0,0
2,0,1,1,ACCEPT,10.9640,1.5354,2733,0,3,0.3553,627.88,96.75,60.00,105.00,637.50,106.50,61.00,81.00,0.5788,13.70,1,-11,1.5214,MAX_STEP,0,3440,747,17808,0,0,2733,0,0,0,0
3,0,1,0,NEGATIVE_PEAK,-5.2807,1.0644,-2149,-4,15,0.4453,627.88,96.75,60.00,105.00,632.00,123.50,66.00,107.00,0.5365,27.07,0,0,0.0000,NOT_RUN,0,6585,553,0,0,0,2149,0,0,0,0
4,0,1,1,ACCEPT,6.0478,1.1588,2065,0,4,0.1293,627.88,109.88,60.00,105.00,628.50,165.50,65.00,139.00,0.3508,55.63,1,0,2.0942,ACCEPT,0,4627,311,22491,0,0,2065,0,0,0,0
5,0,1,1,ACCEPT,9.1088,1.4949,2909,-1,5,0.2482,626.00,126.28,60.00,105.00,627.00,190.00,66.00,162.00,0.3270,63.73,1,0,2.6549,ACCEPT,0,4277,246,18565,0,0,2909,0,0,0,0
6,0,1,1,ACCEPT,12.6725,2.0230,4228,0,4,0.1824,626.00,139.41,60.00,105.00,627.50,214.50,61.00,153.00,0.2554,75.11,1,1,1.5750,LOW_CONF,0,5190,247,15406,0,0,4228,0,0,0,0
7,0,1,1,ACCEPT,10.5716,1.9982,3345,-1,3,0.3528,624.12,149.25,60.00,105.00,625.50,221.50,65.00,151.00,0.2619,72.26,1,0,2.5867,ACCEPT,0,4178,242,15835,0,0,3345,0,0,0,0
8,0,1,1,ACCEPT,6.6890,1.5407,3277,-4,10,0.0723,616.62,182.06,62.40,109.20,620.00,251.00,62.00,142.00,0.2713,69.02,1,1,2.0492,ACCEPT,0,8563,238,14722,0,0,3277,0,0,0,0
9,0,1,1,ACCEPT,6.2265,1.0835,2789,4,-18,0.1402,624.44,120.75,62.40,109.20,619.00,289.00,58.00,148.00,0.0000,168.34,1,-7,1.5625,MAX_STEP,0,5058,163,17676,0,0,2789,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-6.1024,1.2629,-5174,10,-5,0.1707,624.44,120.75,62.40,109.20,620.50,334.00,57.00,136.00,0.0000,213.29,0,0,0.0000,NOT_RUN,0,9989,680,0,0,0,5174,0,0,0,0
11,0,1,1,ACCEPT,6.7668,1.2592,5427,1,-6,0.1463,626.39,100.31,62.40,109.20,622.50,372.00,57.00,144.00,0.0000,271.72,1,0,1.7651,LOW_CONF,0,10399,629,11256,0,0,5427,0,0,0,0
12,0,1,1,ACCEPT,11.5973,2.0394,5645,0,0,1.0000,626.39,100.31,62.40,109.20,624.00,403.50,60.00,127.00,0.0000,303.20,1,0,1.8384,LOW_CONF,0,6628,501,13234,0,0,5645,0,0,0,0
13,0,1,1,ACCEPT,10.0646,1.6984,5462,0,8,0.2232,626.39,127.56,62.40,109.20,622.50,432.50,61.00,153.00,0.0000,304.96,1,-1,1.8179,LOW_CONF,0,6621,303,14421,0,0,5462,0,0,0,0
14,0,1,1,ACCEPT,11.7559,1.8714,8178,1,5,0.1083,628.34,144.59,62.40,109.20,620.00,473.00,56.00,146.00,0.0000,328.51,1,4,1.8035,MAX_STEP,0,10007,424,13069,0,0,8178,0,0,0,0
15,0,1,1,ACCEPT,11.2659,2.1675,6145,0,6,0.1287,628.34,165.03,62.40,109.20,619.50,502.50,65.00,147.00,0.0000,337.58,1,1,1.7661,LOW_CONF,0,9304,324,14094,0,0,6145,0,0,0,0
16,0,1,1,ACCEPT,10.9023,1.9497,7949,1,7,0.0448,630.30,188.88,62.40,109.20,620.00,530.50,62.00,149.00,0.0000,341.78,1,0,1.8538,LOW_CONF,0,10056,413,12699,0,0,7949,0,0,0,0
17,0,1,1,ACCEPT,14.9706,3.0062,10624,1,1,0.6964,632.25,192.28,60.00,105.00,622.50,551.50,65.00,151.00,0.0000,359.35,1,-1,2.0526,ACCEPT,0,9282,426,15671,0,0,10624,0,0,0,0
18,0,1,1,ACCEPT,15.5841,2.7739,11126,0,4,0.1198,632.25,205.41,60.00,105.00,621.00,591.50,56.00,143.00,0.0000,386.26,1,0,1.3565,LOW_CONF,0,9392,319,18231,0,0,11126,0,0,0,0
19,0,1,1,ACCEPT,8.0985,1.8867,7294,-3,13,0.0144,626.62,248.06,60.00,105.00,621.00,614.00,58.00,142.00,0.0000,365.98,1,0,2.2081,ACCEPT,0,10374,230,21201,0,0,7294,0,0,0,0
20,0,1,1,ACCEPT,6.1087,1.2535,5934,-7,-3,0.2838,613.50,238.22,60.00,105.00,621.00,631.50,52.00,129.00,0.0000,393.35,1,0,2.6852,ACCEPT,0,12510,206,17877,0,0,5934,0,0,0,0
