frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,67.00,233.00,78.00,90.00,67.00,233.00,78.00,90.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1455,23795,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,59.7624,14.2626,3965,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.50,79.00,91.00,0.9765,0.71,1,0,3.2638,ACCEPT,0,1877,1254,24496,0,0,3965,0,0,0,0
2,0,1,1,ACCEPT,59.1164,15.1241,4023,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.00,79.00,90.00,0.9873,0.50,1,0,3.1600,ACCEPT,0,1958,1130,23403,0,0,4023,0,0,0,0
3,0,1,1,ACCEPT,59.7244,13.9410,4252,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.50,79.00,89.00,0.9765,0.71,1,0,3.1735,ACCEPT,0,2044,999,23510,0,0,4252,0,0,0,0
4,0,1,1,ACCEPT,61.4358,14.0066,4216,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.00,79.00,90.00,0.9873,0.50,1,0,3.2330,ACCEPT,0,1949,815,25474,0,0,4216,0,0,0,0
5,0,1,1,ACCEPT,58.6807,12.2493,4128,0,0,1.0000,67.00,233.00,78.00,90.00,68.00,231.50,80.00,91.00,0.9435,1.80,1,0,3.1237,ACCEPT,0,2053,657,26669,0,0,4128,0,0,0,0
6,0,1,1,ACCEPT,56.6479,11.5718,4108,0,0,1.0000,67.00,233.00,78.00,90.00,68.00,232.00,78.00,92.00,0.9538,1.41,1,0,3.0077,ACCEPT,0,1953,599,24900,0,0,4108,0,0,0,0
7,0,1,1,ACCEPT,54.9467,12.1880,4278,0,0,1.0000,67.00,233.00,78.00,90.00,68.00,232.00,78.00,92.00,0.9538,1.41,1,0,2.9433,ACCEPT,0,2036,567,24318,0,0,4278,0,0,0,0
8,0,1,1,ACCEPT,49.2439,9.9759,4140,0,0,1.0000,67.00,233.00,78.00,90.00,69.50,230.50,79.00,91.00,0.8892,3.54,1,0,2.9113,ACCEPT,0,1953,465,24542,0,0,4140,0,0,0,0
9,0,1,1,ACCEPT,41.8272,8.2567,4310,1,-1,0.9812,69.44,230.19,78.00,90.00,70.50,229.50,79.00,91.00,0.9587,1.27,1,0,2.6882,ACCEPT,0,2165,398,25345,0,0,4310,0,0,0,0
