frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,207.50,550.50,25.00,29.00,207.50,550.50,25.00,29.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,720,10399,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,31.2018,6.3807,1391,8,-2,0.0884,213.75,548.69,25.00,29.00,213.50,548.00,27.00,30.00,0.8842,0.73,1,0,3.2235,ACCEPT,0,1074,616,8140,0,0,1391,0,0,0,0
2,0,1,1,ACCEPT,24.9344,3.8211,1089,9,-3,0.1368,220.78,545.97,25.00,29.00,220.00,546.00,26.00,30.00,0.9095,0.78,1,0,3.2082,ACCEPT,0,755,648,4637,0,0,1089,0,0,0,0
3,0,1,1,ACCEPT,24.3894,4.3982,972,10,-2,0.2078,228.59,544.16,25.00,29.00,227.50,543.00,29.00,32.00,0.7812,1.59,1,0,3.2212,ACCEPT,0,588,557,8272,0,0,972,0,0,0,0
4,0,1,1,ACCEPT,24.2825,4.1844,1611,9,-1,0.1937,235.62,543.25,25.00,29.00,235.00,541.50,26.00,29.00,0.8461,1.86,1,0,3.2381,ACCEPT,0,909,473,8458,0,0,1611,0,0,0,0
5,0,1,1,ACCEPT,23.2977,3.7463,1521,9,-2,0.1611,242.66,541.44,25.00,29.00,242.00,540.00,26.00,28.00,0.8612,1.58,1,0,3.1878,ACCEPT,0,867,432,6956,0,0,1521,0,0,0,0
6,0,1,1,ACCEPT,23.5705,3.7632,1287,9,-1,0.2269,249.69,540.53,25.00,29.00,249.50,539.00,25.00,28.00,0.8853,1.54,1,0,3.2339,ACCEPT,0,884,388,5400,0,0,1287,0,0,0,0
7,0,1,1,ACCEPT,24.9115,4.2537,1140,8,-1,0.1912,255.94,539.62,25.00,29.00,255.50,539.00,25.00,28.00,0.9248,0.76,1,0,2.9381,ACCEPT,0,791,367,5663,0,0,1140,0,0,0,0
8,0,1,1,ACCEPT,24.5680,3.7632,1430,7,1,0.0790,261.41,540.53,24.04,27.88,261.00,540.00,26.00,32.00,0.8057,0.67,1,-1,2.6976,ACCEPT,0,1078,321,7959,0,0,1430,0,0,0,0
9,0,1,1,ACCEPT,26.2123,3.3244,2111,6,2,0.0753,265.91,542.28,24.04,27.88,263.50,542.50,25.00,29.00,0.7919,2.42,1,0,2.8338,ACCEPT,0,1272,277,10384,0,0,2111,0,0,0,0
